Gene,Mito,ConA,DAPI,WGA,Phalloidin,Sum
A4GALT,26.0,9.0,51.0,17.0,11.0,121.0
AARS2,21.0,7.0,27.0,18.0,89.0,166.0
ABCA2,31.0,20.0,50.0,30.0,18.0,159.0
ABCC6,15.0,8.0,61.0,16.0,9.0,121.0
ABCD2,30.0,10.0,14.0,22.0,49.0,129.0
ABCG2,53.0,22.0,19.0,40.0,12.0,150.0
ABHD14A,15.0,8.0,52.0,7.0,20.0,113.0
ABHD17B,16.0,10.0,70.0,10.0,23.0,136.0
ACAD11,53.0,16.0,23.0,12.0,20.0,130.0
ACAP3,53.0,25.0,35.0,30.0,14.0,158.0
ACBD3,14.0,10.0,27.0,59.0,16.0,123.0
ACO2,35.0,35.0,26.0,30.0,30.0,168.0
ACP2,23.0,7.0,10.0,9.0,50.0,107.0
ACRBP,23.0,15.0,11.0,9.0,50.0,110.0
ACTN1,35.0,51.0,10.0,27.0,17.0,144.0
ACTR1B,22.0,14.0,14.0,53.0,28.0,143.0
ACTR5,25.0,18.0,30.0,73.0,15.0,160.0
ACVR2A,20.0,8.0,28.0,10.0,57.0,126.0
ADA,23.0,8.0,14.0,15.0,53.0,118.0
ADAMTS7,34.0,15.0,75.0,20.0,12.0,173.0
ADGRA2,17.0,12.0,78.0,28.0,32.0,174.0
ADGRB1,28.0,18.0,53.0,14.0,18.0,140.0
ADH5,60.0,19.0,17.0,27.0,15.0,143.0
ADM,26.0,13.0,51.0,33.0,28.0,158.0
ADO,56.0,17.0,33.0,13.0,24.0,160.0
ADORA2B,38.0,18.0,30.0,54.0,28.0,178.0
ADPRH,24.0,14.0,17.0,85.0,17.0,158.0
ADRBK1,20.0,6.0,16.0,17.0,53.0,115.0
AEBP1,69.0,10.0,21.0,9.0,16.0,131.0
AGAP2,16.0,6.0,13.0,10.0,52.0,104.0
AGAP5,56.0,33.0,29.0,24.0,21.0,164.0
AGO2,55.0,21.0,44.0,22.0,19.0,180.0
AGTR1,28.0,12.0,54.0,9.0,13.0,126.0
AHCYL2,17.0,9.0,16.0,29.0,54.0,124.0
AHNAK,22.0,60.0,17.0,35.0,27.0,165.0
AIFM1,19.0,8.0,16.0,9.0,72.0,129.0
AIM2,22.0,11.0,20.0,10.0,54.0,127.0
AKIRIN1,37.0,19.0,16.0,57.0,21.0,148.0
AKT2,28.0,9.0,31.0,13.0,72.0,157.0
ALDH1A2,17.0,15.0,27.0,52.0,21.0,134.0
ALDH3A1,25.0,6.0,67.0,14.0,14.0,133.0
ALG13,19.0,37.0,22.0,54.0,15.0,150.0
ALG1L,53.0,47.0,13.0,23.0,14.0,147.0
ALG8,19.0,8.0,14.0,18.0,53.0,120.0
ALKBH6,21.0,9.0,35.0,21.0,54.0,158.0
ALYREF,66.0,15.0,28.0,19.0,30.0,172.0
AMACR,27.0,23.0,13.0,55.0,14.0,142.0
AMOTL2,46.0,14.0,59.0,23.0,15.0,162.0
ANAPC10,62.0,11.0,19.0,22.0,23.0,147.0
ANAPC2,36.0,9.0,43.0,23.0,54.0,176.0
ANKFY1,31.0,49.0,20.0,28.0,20.0,145.0
ANKHD1,26.0,19.0,54.0,25.0,32.0,170.0
ANKRD13A,53.0,19.0,25.0,15.0,39.0,160.0
ANKRD13C,20.0,9.0,15.0,20.0,53.0,119.0
ANKRD34B,58.0,31.0,30.0,13.0,17.0,159.0
ANKRD36B,30.0,32.0,27.0,65.0,18.0,171.0
ANKRD36C,21.0,7.0,58.0,10.0,26.0,135.0
ANO1,12.0,9.0,28.0,13.0,48.0,120.0
ANO10,20.0,15.0,56.0,38.0,20.0,154.0
ANXA3,19.0,12.0,55.0,12.0,15.0,116.0
AP1S1,31.0,25.0,56.0,23.0,25.0,164.0
AP2B1,52.0,21.0,23.0,17.0,13.0,138.0
AP3D1,54.0,20.0,14.0,45.0,18.0,159.0
AP5S1,37.0,19.0,22.0,58.0,15.0,158.0
APOA2,35.0,20.0,23.0,28.0,53.0,166.0
APOC2,57.0,18.0,26.0,26.0,18.0,148.0
APOO,19.0,13.0,54.0,20.0,13.0,123.0
APRT,27.0,8.0,27.0,15.0,77.0,165.0
AQP3,28.0,34.0,53.0,20.0,33.0,177.0
AQP5,27.0,14.0,24.0,22.0,53.0,146.0
AQP6,39.0,43.0,16.0,39.0,15.0,157.0
AQR,18.0,9.0,20.0,8.0,53.0,114.0
ARHGAP21,26.0,7.0,15.0,14.0,62.0,130.0
ARHGAP27,25.0,10.0,64.0,28.0,15.0,155.0
ARHGAP31,55.0,25.0,16.0,36.0,10.0,142.0
ARL4D,16.0,38.0,22.0,37.0,14.0,132.0
ARMC10,53.0,13.0,24.0,43.0,19.0,159.0
ARNT,28.0,16.0,16.0,25.0,68.0,151.0
ARPC1A,51.0,15.0,17.0,16.0,30.0,135.0
ARRB1,22.0,9.0,63.0,17.0,14.0,130.0
ARSG,26.0,9.0,63.0,16.0,15.0,130.0
ASCC2,17.0,14.0,50.0,12.0,23.0,118.0
ASMTL,36.0,9.0,30.0,13.0,59.0,148.0
ASS1,41.0,42.0,19.0,49.0,29.0,177.0
ASXL1,16.0,8.0,28.0,16.0,51.0,122.0
ATAD3A,54.0,30.0,29.0,31.0,11.0,159.0
