Gene,A549,HeLa
TSPAN6,5.176322772640463,4.54101915313356
TNMD,0.0,0.0
DPM1,6.310521900369323,6.581803148516525
SCYL3,2.017921907997262,1.6507645591169022
C1orf112,4.058316495590823,3.904002316283692
FGR,0.0,0.01435529297707
CFH,3.7729413378313352,5.156639310692087
FUCA2,5.9354597478052895,6.18685706717715
GCLC,6.777682717073553,4.2890967024199895
NFYA,3.743084055549586,3.587364990936461
STPG1,2.4462562298895643,2.060047383669939
NIPAL3,2.411426245726465,3.158660175346498
LAS1L,6.12267271882414,6.021257620560519
ENPP4,0.8073549220576041,0.0285691521967709
SEMA3F,1.584962500721156,5.393690764187454
CFTR,0.0285691521967709,0.0565835283663675
ANKIB1,4.339137384919585,3.926948247949772
CYP51A1,5.780047576061869,4.890446692679906
KRIT1,4.798050514767515,4.735522177296538
RAD52,3.140778655782796,3.277984747299765
BAD,5.733625498408233,6.43095427138573
LAP3,5.132165525478088,5.325890061039784
CD99,7.566510755857876,7.714039403651787
HS3ST1,0.2630344058337938,0.01435529297707
AOC1,0.01435529297707,1.263034405833794
WNT16,0.0426443374084937,0.1110313123887439
HECW1,2.8439838440483265,2.0250287944915226
MAD1L1,3.6678921252302334,3.902073579310743
LASP1,7.619779800583105,6.511752653767379
SNX11,4.55704241526372,3.884597920990065
TMEM176A,0.137503523749935,1.070389327891398
M6PR,6.980025300238734,6.426767932655541
KLHL13,0.7570232465074596,5.455162801244506
CYP26B1,3.040892430646901,1.8718436485093173
ICA1,0.5160151470036647,1.3448284969974411
DBNDD1,4.820689560559215,2.729008870337863
ALS2,3.745237332129749,2.7311832415722
CASP10,1.8875252707415875,1.3219280948873624
CFLAR,6.3215673760354045,4.364572432295856
TFPI,5.030336078370959,6.289465630958221
NDUFAF7,4.513490745588118,3.8308637567517576
RBM5,5.042644337408494,6.701964839175899
MTMR7,0.8559896973084807,0.8073549220576041
SLC7A2,1.3161457422933562,3.3854310371935203
ARF5,6.357552004618084,7.197708157955851
SARM1,1.3045110418099528,2.269033146455237
POLDIP2,6.726013748860151,6.1426176554465775
PLXND1,5.072963271555224,6.20906339534927
AK2,7.275007047499869,8.176522246548958
CD38,2.500802053057157,0.0426443374084937
FKBP4,6.972807513686734,6.516803117442659
KDM1A,5.742814669862893,6.299024807384316
RBM6,4.434961760187254,5.526381862561924
CAMKK1,2.845991770664573,4.386810946472217
RECQL,6.264724074238009,5.66760832567372
VPS50,3.353323291162897,3.75702324650746
HSPB6,0.0426443374084937,0.1763227726404629
ARHGAP33,1.6780719051126378,2.1176950426697547
NDUFAB1,6.98299357469431,7.856923460393151
PDK4,1.5360529002402097,5.060047383669939
SLC22A16,0.0,0.0
ZMYND10,0.4956951626240688,0.632268215499513
ABCB5,0.0,0.01435529297707
ARX,0.1763227726404629,0.0
SLC25A13,5.151371776253954,4.918386234446348
ST7,4.195347598322219,4.10936055940423
CDC27,6.208478242211705,5.329123596291566
SLC4A1,0.0,0.0
CALCR,0.0,0.01435529297707
HCCS,5.86616616903904,6.283551423174307
DVL2,4.236492618381302,4.724104519866845
PRSS22,0.1634987322828795,0.0426443374084937
UPF1,3.984589350362457,4.607034345948616
SKAP2,4.177917792195843,2.424922088210688
SLC25A5,9.29252870335344,9.166740547320432
MCUB,3.326249700837456,3.4436066514756147
HOXA11,0.7484612330040357,3.237257770900372
POLR2J,6.110405006739277,6.677790101216656
DHX33,4.3348542693316325,4.315421315945778
MEOX1,0.0,3.3291235962915664
THSD7A,2.403267722339301,0.1890338243900171
LIG3,4.565597175854225,3.476381687567235
RPAP3,5.940871478189196,4.647890091059215
ACSM3,2.488000770834068,0.2265085298086797
REXO5,2.049630767724601,2.859969548221026
CIAPIN1,6.331275267146615,6.177120502846516
SPPL2B,3.0426443374084937,4.66732447027863
FAM214B,2.4905701304462013,3.526068811667588
COPZ2,4.000901402741532,4.277984747299765
PRKAR2B,1.6915341649192002,0.1634987322828795
MSL3,4.818134760810847,4.24031432933371
CREBBP,3.0942360698457656,3.4867143730307024
TSPOAP1,0.01435529297707,1.922197848396367
MPO,0.0,0.5558161550616396
PON1,1.0496307677246008,0.070389327891398
GCFC2,4.33699741660501,3.4892860226258766
WDR54,5.395062799517578,5.394033895367782
CROT,3.4581194811745064,2.669026765509631
ABCB4,0.0,0.01435529297707
KMT2E,3.745237332129749,3.936402377725064
RHBDD2,5.518220380599588,5.120600773845165
SOX8,0.0840642647884745,0.0
IBTK,5.191404728852764,3.563158130402808
ZNF195,4.46401472450489,4.280956313831056
MYCBP2,4.364572432295856,5.137503523749935
FBXL3,3.865918814552213,4.645586385913608
ITGAL,0.2509615735332188,0.1110313123887439
PDK2,3.368768349090334,4.161081482277184
ITGA3,7.121637118290914,6.212180210044431
ZFX,3.558267634055736,3.932628157022127
LAMP2,6.155425431747197,6.084064264788474
ITGA2B,1.0772429989324606,0.2141248053528473
ASB4,0.2630344058337938,0.0
GDE1,5.985728110419125,5.557961426893197
REX1BD,3.4208865749755315,4.595742339474399
CRLF1,1.967168607532628,6.98436149044871
