,HELA_CERVIX
TSPAN6 (ENSG00000000003),4.54101915313
TNMD (ENSG00000000005),0.0
DPM1 (ENSG00000000419),6.58180314852
SCYL3 (ENSG00000000457),1.65076455912
C1orf112 (ENSG00000000460),3.90400231628
FGR (ENSG00000000938),0.0143552929771
CFH (ENSG00000000971),5.15663931069
FUCA2 (ENSG00000001036),6.18685706718
GCLC (ENSG00000001084),4.28909670242
NFYA (ENSG00000001167),3.58736499094
STPG1 (ENSG00000001460),2.06004738367
NIPAL3 (ENSG00000001461),3.15866017535
LAS1L (ENSG00000001497),6.02125762056
ENPP4 (ENSG00000001561),0.0285691521968
SEMA3F (ENSG00000001617),5.39369076419
CFTR (ENSG00000001626),0.0565835283664
ANKIB1 (ENSG00000001629),3.92694824795
CYP51A1 (ENSG00000001630),4.89044669268
KRIT1 (ENSG00000001631),4.7355221773
RAD52 (ENSG00000002016),3.2779847473
MYH16 (ENSG00000002079),0.0143552929771
BAD (ENSG00000002330),6.43095427139
LAP3 (ENSG00000002549),5.32589006104
CD99 (ENSG00000002586),7.71403940365
HS3ST1 (ENSG00000002587),0.0143552929771
AOC1 (ENSG00000002726),1.26303440583
WNT16 (ENSG00000002745),0.111031312389
HECW1 (ENSG00000002746),2.02502879449
MAD1L1 (ENSG00000002822),3.90207357931
LASP1 (ENSG00000002834),6.51175265377
SNX11 (ENSG00000002919),3.88459792099
TMEM176A (ENSG00000002933),1.07038932789
M6PR (ENSG00000003056),6.42676793266
KLHL13 (ENSG00000003096),5.45516280124
CYP26B1 (ENSG00000003137),1.87184364851
ICA1 (ENSG00000003147),1.344828497
DBNDD1 (ENSG00000003249),2.72900887034
ALS2 (ENSG00000003393),2.73118324157
CASP10 (ENSG00000003400),1.32192809489
CFLAR (ENSG00000003402),4.3645724323
TFPI (ENSG00000003436),6.28946563096
NDUFAF7 (ENSG00000003509),3.83086375675
RBM5 (ENSG00000003756),6.70196483918
MTMR7 (ENSG00000003987),0.807354922058
SLC7A2 (ENSG00000003989),3.38543103719
ARF5 (ENSG00000004059),7.19770815796
SARM1 (ENSG00000004139),2.26903314646
POLDIP2 (ENSG00000004142),6.14261765545
PLXND1 (ENSG00000004399),6.20906339535
AK2 (ENSG00000004455),8.17652224655
CD38 (ENSG00000004468),0.0426443374085
FKBP4 (ENSG00000004478),6.51680311744
KDM1A (ENSG00000004487),6.29902480738
RBM6 (ENSG00000004534),5.52638186256
CAMKK1 (ENSG00000004660),4.38681094647
RECQL (ENSG00000004700),5.66760832567
VPS50 (ENSG00000004766),3.75702324651
HSPB6 (ENSG00000004776),0.17632277264
ARHGAP33 (ENSG00000004777),2.11769504267
NDUFAB1 (ENSG00000004779),7.85692346039
PDK4 (ENSG00000004799),5.06004738367
SLC22A16 (ENSG00000004809),0.0
ZMYND10 (ENSG00000004838),0.6322682155
ABCB5 (ENSG00000004846),0.0143552929771
ARX (ENSG00000004848),0.0
SLC25A13 (ENSG00000004864),4.91838623445
ST7 (ENSG00000004866),4.1093605594
CDC27 (ENSG00000004897),5.32912359629
SLC4A1 (ENSG00000004939),0.0
CALCR (ENSG00000004948),0.0143552929771
HCCS (ENSG00000004961),6.28355142317
