Gene,Mito,ConA,DAPI,WGA,Phalloidin,Sum
AARS2,21.0,7.0,27.0,18.0,89.0,166.0
ABCC6,15.0,8.0,61.0,16.0,9.0,121.0
ABCE1,76.0,10.0,49.0,14.0,56.0,219.0
ABHD17B,16.0,10.0,70.0,10.0,23.0,136.0
ABHD3,59.0,60.0,29.0,66.0,18.0,215.0
ACAD8,50.0,44.0,12.0,92.0,16.0,209.0
ACTR5,25.0,18.0,30.0,73.0,15.0,160.0
ADAM10,70.0,20.0,46.0,26.0,40.0,191.0
ADAMTS7,34.0,15.0,75.0,20.0,12.0,173.0
ADCY5,56.0,80.0,20.0,46.0,14.0,212.0
ADGRA2,17.0,12.0,78.0,28.0,32.0,174.0
ADGRL1,37.0,13.0,91.0,13.0,18.0,184.0
ADI1,34.0,36.0,96.0,15.0,33.0,219.0
ADPRH,24.0,14.0,17.0,85.0,17.0,158.0
AEBP1,69.0,10.0,21.0,9.0,16.0,131.0
AFF1,73.0,27.0,41.0,19.0,32.0,201.0
AGAP1,52.0,68.0,21.0,47.0,22.0,215.0
AHNAK,22.0,60.0,17.0,35.0,27.0,165.0
AIFM1,19.0,8.0,16.0,9.0,72.0,129.0
AIP,37.0,12.0,27.0,23.0,102.0,208.0
AKAP13,41.0,20.0,75.0,28.0,18.0,199.0
AKAP5,36.0,56.0,20.0,51.0,34.0,189.0
AKIRIN2,68.0,16.0,70.0,21.0,18.0,202.0
AKT2,28.0,9.0,31.0,13.0,72.0,157.0
ALDH3A1,25.0,6.0,67.0,14.0,14.0,133.0
ALYREF,66.0,15.0,28.0,19.0,30.0,172.0
ANKRD9,89.0,22.0,36.0,16.0,27.0,196.0
AP2A2,70.0,50.0,17.0,50.0,15.0,212.0
APBA2,33.0,24.0,63.0,66.0,17.0,189.0
APLP1,68.0,60.0,27.0,26.0,18.0,195.0
APOE,35.0,18.0,20.0,9.0,105.0,190.0
APRT,27.0,8.0,27.0,15.0,77.0,165.0
ARF3,37.0,15.0,75.0,29.0,16.0,184.0
ARHGAP21,26.0,7.0,15.0,14.0,62.0,130.0
ARHGAP27,25.0,10.0,64.0,28.0,15.0,155.0
ARL6IP6,74.0,21.0,29.0,42.0,27.0,199.0
ARMC1,84.0,18.0,45.0,20.0,15.0,184.0
ARMCX3,35.0,11.0,13.0,79.0,60.0,206.0
ARNT,28.0,16.0,16.0,25.0,68.0,151.0
ARRB1,22.0,9.0,63.0,17.0,14.0,130.0
ARSG,26.0,9.0,63.0,16.0,15.0,130.0
ASDURF,31.0,9.0,63.0,52.0,37.0,183.0
ATG101,66.0,47.0,32.0,28.0,15.0,198.0
ATP11B,54.0,29.0,79.0,18.0,30.0,211.0
ATP5A1,32.0,7.0,13.0,45.0,72.0,178.0
ATP5F1,31.0,10.0,40.0,13.0,88.0,185.0
ATP5G2,35.0,24.0,15.0,27.0,72.0,183.0
ATP5H,26.0,22.0,28.0,21.0,101.0,201.0
ATP5I,20.0,10.0,17.0,13.0,71.0,149.0
ATP5J2-PTCD1,32.0,16.0,29.0,14.0,116.0,198.0
ATP5SL,25.0,25.0,13.0,24.0,85.0,171.0
ATRIP,74.0,36.0,9.0,36.0,15.0,177.0
ATRN,39.0,15.0,18.0,47.0,75.0,197.0
AXIN1,39.0,18.0,74.0,18.0,68.0,218.0
B4GALT1,15.0,12.0,12.0,94.0,18.0,144.0
BACH1,70.0,18.0,26.0,56.0,25.0,193.0
BEST3,37.0,14.0,65.0,17.0,21.0,156.0
BET1,74.0,33.0,19.0,17.0,39.0,188.0
BICDL2,19.0,15.0,18.0,18.0,85.0,158.0
BIRC6,66.0,24.0,17.0,52.0,28.0,189.0
BMP1,21.0,10.0,72.0,34.0,9.0,145.0
BNIPL,25.0,10.0,17.0,23.0,89.0,169.0
BRIX1,65.0,12.0,22.0,15.0,15.0,140.0
BRPF1,28.0,21.0,95.0,29.0,33.0,216.0
BSN,28.0,13.0,78.0,16.0,24.0,162.0
BTBD9,40.0,9.0,29.0,18.0,66.0,181.0
BTF3,31.0,9.0,27.0,19.0,67.0,160.0
BTN1A1,78.0,32.0,30.0,21.0,16.0,177.0
BVES,29.0,56.0,27.0,46.0,15.0,177.0
C11orf54,47.0,55.0,23.0,67.0,17.0,206.0
C11orf71,70.0,12.0,15.0,14.0,27.0,149.0
C12orf42,30.0,29.0,17.0,94.0,33.0,212.0
C15orf54,46.0,39.0,63.0,20.0,22.0,193.0
C16orf86,70.0,19.0,49.0,24.0,25.0,192.0
C17orf59,42.0,22.0,69.0,27.0,29.0,196.0
C18orf21,70.0,19.0,87.0,20.0,19.0,214.0
C1QL3,20.0,18.0,13.0,94.0,34.0,185.0
C20orf194,68.0,35.0,24.0,61.0,31.0,211.0
C21orf140,9.0,11.0,19.0,9.0,92.0,141.0
C5orf22,43.0,9.0,20.0,73.0,34.0,193.0
C5orf24,83.0,44.0,38.0,22.0,20.0,211.0
C6orf226,29.0,10.0,22.0,25.0,71.0,167.0
C7orf50,54.0,18.0,31.0,31.0,65.0,210.0
C7orf61,61.0,33.0,17.0,75.0,18.0,213.0
C8orf87,28.0,11.0,89.0,12.0,35.0,185.0
CA12,30.0,21.0,65.0,27.0,20.0,171.0
CABIN1,22.0,14.0,24.0,26.0,114.0,211.0
CABP4,26.0,16.0,35.0,15.0,66.0,177.0
CACTIN,43.0,68.0,25.0,30.0,27.0,197.0
CADM4,16.0,11.0,16.0,17.0,76.0,142.0
CALCRL,65.0,16.0,18.0,35.0,12.0,148.0
CAP1,35.0,13.0,46.0,24.0,67.0,182.0
