Gene,Mito,ConA,DAPI,WGA,Phalloidin,Sum
ABT1,116.0,44.0,137.0,111.0,110.0,515.0
ACTL6A,204.0,97.0,215.0,166.0,150.0,832.0
ACTR2,216.0,42.0,178.0,186.0,127.0,742.0
ACTR3,199.0,65.0,181.0,198.0,101.0,738.0
ADGRD2,92.0,34.0,138.0,65.0,51.0,409.0
ADSL,82.0,43.0,78.0,47.0,144.0,377.0
ADSS,97.0,56.0,107.0,107.0,50.0,414.0
AK6,109.0,34.0,116.0,140.0,77.0,470.0
ALDOA,80.0,51.0,84.0,84.0,39.0,378.0
ALG1,65.0,46.0,37.0,172.0,80.0,388.0
ALG12,74.0,198.0,71.0,85.0,46.0,448.0
ALG2,135.0,63.0,59.0,42.0,72.0,362.0
ALG3,97.0,175.0,76.0,37.0,52.0,418.0
AMD1,55.0,28.0,34.0,116.0,155.0,364.0
AP2M1,181.0,46.0,104.0,74.0,91.0,486.0
APC,81.0,36.0,83.0,109.0,77.0,377.0
APOE,75.0,70.0,79.0,102.0,20.0,354.0
ARF1,81.0,21.0,107.0,136.0,85.0,414.0
ARF4,200.0,68.0,130.0,154.0,81.0,632.0
ARHGEF7,107.0,47.0,125.0,107.0,71.0,440.0
ARIH1,69.0,17.0,56.0,166.0,56.0,359.0
ARMC7,173.0,71.0,158.0,103.0,67.0,559.0
ARPC2,171.0,29.0,119.0,97.0,71.0,492.0
ARPC3,123.0,65.0,169.0,140.0,121.0,614.0
ARPC4,220.0,96.0,202.0,204.0,130.0,844.0
ARSG,94.0,90.0,39.0,119.0,18.0,357.0
ASCC3,58.0,48.0,153.0,51.0,61.0,377.0
ATAD5,97.0,44.0,57.0,210.0,69.0,455.0
ATIC,84.0,50.0,47.0,119.0,81.0,379.0
ATP2A2,234.0,156.0,200.0,231.0,206.0,999.0
ATP6AP1,102.0,38.0,111.0,91.0,95.0,427.0
ATP6V0B,138.0,51.0,94.0,220.0,46.0,543.0
ATP6V0C,170.0,105.0,105.0,294.0,79.0,744.0
ATP6V1B2,127.0,58.0,63.0,244.0,72.0,553.0
ATP6V1C1,172.0,81.0,103.0,209.0,69.0,616.0
ATP6V1D,90.0,44.0,65.0,139.0,58.0,402.0
ATP6V1E1,127.0,52.0,101.0,205.0,36.0,525.0
ATP6V1G1,69.0,51.0,80.0,118.0,35.0,361.0
ATP6V1H,60.0,81.0,68.0,236.0,29.0,471.0
ATRN,124.0,34.0,77.0,81.0,139.0,452.0
B3GLCT,111.0,73.0,46.0,127.0,74.0,424.0
BANP,76.0,34.0,98.0,68.0,76.0,360.0
BCAS2,117.0,30.0,49.0,149.0,35.0,370.0
BMS1,113.0,29.0,136.0,66.0,100.0,447.0
BRD7,104.0,48.0,55.0,119.0,47.0,377.0
BUB3,121.0,47.0,78.0,64.0,63.0,375.0
BUD23,120.0,36.0,82.0,56.0,71.0,383.0
C10orf2,128.0,58.0,44.0,73.0,64.0,352.0
C10orf54,100.0,54.0,60.0,123.0,38.0,384.0
C12orf45,72.0,44.0,117.0,47.0,162.0,430.0
C12orf56,116.0,53.0,80.0,58.0,37.0,354.0
C16orf93,60.0,46.0,126.0,101.0,51.0,395.0
C17orf82,99.0,36.0,108.0,75.0,23.0,348.0
C18orf21,171.0,66.0,171.0,88.0,76.0,583.0
C21orf59-TCP10L,99.0,36.0,59.0,91.0,107.0,401.0
C2orf27A,78.0,33.0,112.0,37.0,138.0,401.0
C8orf37,129.0,97.0,44.0,75.0,21.0,374.0
CAB39,54.0,12.0,37.0,151.0,189.0,420.0
CABP4,170.0,48.0,56.0,113.0,96.0,471.0
CAMK2N2,152.0,139.0,45.0,88.0,19.0,420.0
CAPZB,126.0,107.0,51.0,67.0,67.0,419.0
CCDC144NL,120.0,69.0,101.0,110.0,60.0,451.0
CCDC59,94.0,34.0,89.0,75.0,109.0,399.0
CCDC6,80.0,31.0,112.0,66.0,58.0,356.0
CCDC93,74.0,53.0,39.0,168.0,74.0,415.0
CCNC,85.0,46.0,119.0,75.0,51.0,356.0
CCNT2,103.0,82.0,40.0,158.0,24.0,410.0
CD3EAP,96.0,39.0,145.0,80.0,105.0,476.0
CD96,125.0,123.0,77.0,128.0,32.0,485.0
CDC123,98.0,28.0,96.0,100.0,36.0,354.0
CDC23,125.0,78.0,38.0,111.0,85.0,431.0
CDC42,115.0,85.0,153.0,57.0,61.0,474.0
CDC7,88.0,66.0,77.0,144.0,36.0,400.0
CDK13,74.0,38.0,149.0,48.0,39.0,373.0
CDKN1A,95.0,79.0,95.0,107.0,36.0,412.0
CEBPB,173.0,46.0,117.0,214.0,151.0,677.0
CFAP20,112.0,42.0,49.0,123.0,23.0,352.0
CFDP1,141.0,57.0,50.0,66.0,31.0,355.0
CFL1,130.0,43.0,80.0,91.0,194.0,541.0
CHAF1B,137.0,62.0,152.0,211.0,85.0,631.0
CHD4,171.0,60.0,58.0,148.0,130.0,569.0
CHD8,72.0,31.0,118.0,42.0,142.0,414.0
CHMP6,110.0,66.0,32.0,190.0,54.0,448.0
CHRNA3,49.0,67.0,45.0,178.0,22.0,359.0
CHRNB1,136.0,55.0,57.0,116.0,54.0,423.0
CIT,95.0,54.0,94.0,75.0,57.0,406.0
CNBD2,79.0,32.0,94.0,109.0,57.0,379.0
COBL,112.0,54.0,27.0,114.0,63.0,383.0
COG4,65.0,36.0,38.0,234.0,42.0,405.0
COP1,83.0,63.0,114.0,108.0,85.0,466.0
COPS4,123.0,46.0,121.0,42.0,139.0,458.0
COX7C,164.0,77.0,97.0,81.0,45.0,450.0
CREBBP,147.0,44.0,157.0,68.0,105.0,533.0
CRKL,164.0,92.0,181.0,186.0,161.0,784.0
CRTC3,78.0,40.0,20.0,170.0,60.0,386.0
CSE1L,114.0,66.0,83.0,165.0,84.0,519.0
CSNK1A1,213.0,95.0,153.0,247.0,193.0,885.0
CSNK2A1,138.0,38.0,45.0,113.0,55.0,384.0
CSNK2B,166.0,34.0,153.0,129.0,93.0,584.0
CWC27,130.0,128.0,43.0,103.0,22.0,411.0
CYB561D1,114.0,69.0,77.0,84.0,23.0,380.0
DAD1,143.0,55.0,144.0,74.0,143.0,549.0
DARS,205.0,58.0,198.0,163.0,177.0,798.0
DBR1,172.0,40.0,97.0,72.0,45.0,406.0
DCTN5,49.0,43.0,50.0,173.0,26.0,352.0
DDB1,112.0,57.0,97.0,45.0,48.0,357.0
DDOST,126.0,132.0,120.0,227.0,106.0,688.0
DDX10,204.0,64.0,146.0,125.0,142.0,658.0
DDX18,76.0,37.0,143.0,39.0,65.0,349.0
DDX46,74.0,17.0,45.0,107.0,137.0,377.0
DDX50,56.0,60.0,73.0,184.0,67.0,450.0
DDX52,100.0,52.0,96.0,44.0,66.0,348.0
DDX55,128.0,28.0,77.0,111.0,37.0,381.0
DENR,158.0,47.0,75.0,105.0,62.0,447.0
DERL2,168.0,54.0,144.0,193.0,97.0,647.0
DHDDS,106.0,123.0,122.0,76.0,125.0,533.0
DHFR,54.0,29.0,138.0,96.0,66.0,382.0
DHX33,125.0,46.0,95.0,56.0,96.0,399.0
DHX36,75.0,43.0,91.0,86.0,43.0,348.0
DHX37,194.0,55.0,130.0,114.0,143.0,644.0
DIEXF,128.0,36.0,132.0,100.0,56.0,445.0
DIMT1,183.0,56.0,170.0,104.0,92.0,607.0
DKC1,170.0,38.0,94.0,107.0,47.0,444.0
DLST,92.0,85.0,77.0,42.0,117.0,401.0
