Gene,Mito,ConA,DAPI,WGA,Phalloidin,Sum
ALG1,65.0,46.0,37.0,172.0,80.0,388.0
ALG11,92.0,47.0,43.0,37.0,90.0,303.0
ALG12,74.0,198.0,71.0,85.0,46.0,448.0
ALG2,135.0,63.0,59.0,42.0,72.0,362.0
ALG3,97.0,175.0,76.0,37.0,52.0,418.0
ALG9,53.0,196.0,32.0,25.0,26.0,323.0
ALK,63.0,32.0,71.0,49.0,81.0,310.0
ALKBH2,67.0,23.0,21.0,92.0,19.0,228.0
ALOX12,89.0,45.0,28.0,85.0,36.0,285.0
ALOXE3,58.0,31.0,33.0,63.0,19.0,213.0
ALS2CR11,65.0,26.0,34.0,41.0,43.0,219.0
AMBRA1,71.0,26.0,40.0,37.0,33.0,217.0
AMD1,55.0,28.0,34.0,116.0,155.0,364.0
AMICA1,63.0,29.0,41.0,58.0,72.0,266.0
AMPD2,48.0,28.0,51.0,46.0,18.0,203.0
AMT,66.0,44.0,29.0,122.0,17.0,298.0
AMZ1,62.0,41.0,29.0,56.0,36.0,229.0
ANAPC10,76.0,40.0,69.0,35.0,48.0,279.0
ANAPC2,38.0,27.0,57.0,26.0,97.0,251.0
ANAPC4,54.0,20.0,82.0,26.0,30.0,221.0
ANGPT2,44.0,77.0,25.0,137.0,27.0,299.0
ANK1,73.0,37.0,46.0,39.0,32.0,237.0
ANKDD1A,24.0,23.0,16.0,84.0,51.0,204.0
ANKMY1,46.0,28.0,39.0,42.0,30.0,203.0
ANKRD13C,87.0,33.0,37.0,156.0,21.0,338.0
ANKRD17,30.0,59.0,34.0,133.0,20.0,271.0
ANKRD24,51.0,42.0,31.0,137.0,65.0,327.0
ANKRD28,35.0,40.0,26.0,118.0,14.0,235.0
ANKRD32,79.0,41.0,52.0,73.0,13.0,270.0
ANKRD36,58.0,19.0,38.0,58.0,104.0,269.0
ANKRD49,40.0,45.0,80.0,69.0,34.0,271.0
ANKRD61,52.0,39.0,32.0,56.0,19.0,211.0
ANKRD9,96.0,35.0,33.0,26.0,20.0,213.0
ANKS1B,79.0,68.0,19.0,44.0,40.0,267.0
ANP32C,78.0,83.0,48.0,76.0,12.0,295.0
ANXA13,73.0,26.0,22.0,45.0,27.0,206.0
ANXA2,33.0,16.0,43.0,70.0,51.0,213.0
ANXA4,38.0,37.0,64.0,35.0,22.0,205.0
ANXA8L1,89.0,30.0,27.0,98.0,24.0,265.0
AOC1,74.0,30.0,41.0,36.0,19.0,216.0
AP1M1,107.0,69.0,47.0,64.0,37.0,315.0
AP2M1,181.0,46.0,104.0,74.0,91.0,486.0
AP2S1,142.0,37.0,73.0,59.0,44.0,343.0
AP5S1,41.0,27.0,61.0,24.0,40.0,205.0
APBA2,93.0,27.0,40.0,58.0,27.0,244.0
APBB1,84.0,57.0,35.0,54.0,13.0,244.0
APC,81.0,36.0,83.0,109.0,77.0,377.0
APCDD1L,64.0,33.0,23.0,83.0,24.0,230.0
APITD1,69.0,68.0,41.0,67.0,28.0,291.0
APITD1-CORT,68.0,67.0,39.0,49.0,59.0,274.0
APOBEC2,115.0,43.0,37.0,58.0,48.0,289.0
APOE,75.0,70.0,79.0,102.0,20.0,354.0
APOL1,46.0,38.0,102.0,45.0,51.0,294.0
APOLD1,70.0,34.0,51.0,43.0,44.0,237.0
APOPT1,58.0,37.0,31.0,130.0,65.0,320.0
APPL2,101.0,61.0,38.0,52.0,58.0,317.0
APRT,88.0,41.0,39.0,18.0,41.0,239.0
AQP11,68.0,25.0,40.0,34.0,38.0,219.0
AQR,49.0,22.0,25.0,82.0,44.0,234.0
AREL1,94.0,63.0,39.0,58.0,39.0,299.0
ARF1,81.0,21.0,107.0,136.0,85.0,414.0
ARF3,90.0,37.0,47.0,26.0,40.0,253.0
ARF4,200.0,68.0,130.0,154.0,81.0,632.0
ARF5,52.0,25.0,24.0,55.0,37.0,205.0
ARF6,58.0,35.0,60.0,43.0,51.0,249.0
ARFIP2,63.0,71.0,32.0,57.0,24.0,238.0
ARFRP1,46.0,35.0,77.0,18.0,41.0,227.0
ARGLU1,92.0,34.0,22.0,83.0,37.0,271.0
ARHGAP1,65.0,22.0,85.0,24.0,50.0,243.0
ARHGAP25,76.0,61.0,35.0,82.0,22.0,292.0
ARHGAP26,53.0,28.0,40.0,70.0,62.0,248.0
ARHGAP28,88.0,26.0,49.0,40.0,32.0,243.0
ARHGAP39,77.0,31.0,40.0,85.0,28.0,258.0
ARHGAP40,35.0,47.0,18.0,98.0,50.0,253.0
ARHGAP42,50.0,35.0,22.0,98.0,34.0,238.0
ARHGEF18,62.0,50.0,24.0,38.0,24.0,203.0
ARHGEF19,36.0,47.0,22.0,124.0,29.0,258.0
ARHGEF7,107.0,47.0,125.0,107.0,71.0,440.0
ARID1A,85.0,63.0,30.0,94.0,24.0,290.0
ARID2,85.0,37.0,90.0,43.0,22.0,271.0
ARID4B,88.0,24.0,82.0,18.0,41.0,255.0
ARID5A,79.0,63.0,24.0,73.0,31.0,270.0
ARID5B,108.0,43.0,53.0,74.0,12.0,289.0
ARIH1,69.0,17.0,56.0,166.0,56.0,359.0
ARIH2OS,56.0,48.0,19.0,69.0,26.0,219.0
ARL17B,81.0,57.0,58.0,34.0,31.0,284.0
ARL2,61.0,82.0,53.0,67.0,54.0,310.0
ARL6IP6,39.0,31.0,36.0,104.0,23.0,219.0
ARMC10,101.0,42.0,94.0,34.0,30.0,315.0
ARMC12,27.0,19.0,36.0,72.0,59.0,210.0
ARMC7,173.0,71.0,158.0,103.0,67.0,559.0
ARMCX6,82.0,69.0,32.0,53.0,23.0,267.0
ARNT,66.0,35.0,44.0,45.0,42.0,229.0
ARNTL2,86.0,41.0,28.0,50.0,31.0,246.0
ARPC1B,46.0,33.0,27.0,65.0,33.0,203.0
ARPC2,171.0,29.0,119.0,97.0,71.0,492.0
ARPC3,123.0,65.0,169.0,140.0,121.0,614.0
ARPC4,220.0,96.0,202.0,204.0,130.0,844.0
ARRB1,77.0,41.0,50.0,36.0,34.0,235.0
ARRB2,88.0,59.0,29.0,79.0,20.0,273.0
ARSG,94.0,90.0,39.0,119.0,18.0,357.0
ARVCF,32.0,27.0,17.0,106.0,26.0,219.0
ASAP3,53.0,23.0,34.0,50.0,24.0,203.0
ASB16,100.0,82.0,51.0,62.0,34.0,334.0
ASCC3,58.0,48.0,153.0,51.0,61.0,377.0
ASDURF,51.0,57.0,33.0,34.0,48.0,231.0
ASH2L,54.0,37.0,76.0,41.0,54.0,247.0
ASS1,56.0,25.0,52.0,40.0,24.0,219.0
ATAD5,97.0,44.0,57.0,210.0,69.0,455.0
ATE1,61.0,39.0,24.0,102.0,36.0,275.0
ATF5,106.0,21.0,63.0,44.0,25.0,253.0
ATG9A,70.0,46.0,46.0,16.0,65.0,248.0
ATHL1,37.0,19.0,52.0,33.0,66.0,224.0
ATIC,84.0,50.0,47.0,119.0,81.0,379.0
ATMIN,69.0,45.0,74.0,41.0,22.0,258.0
ATP11B,46.0,17.0,98.0,28.0,46.0,218.0
ATP1A1,83.0,22.0,65.0,88.0,33.0,308.0
ATP1B3,62.0,25.0,55.0,49.0,27.0,220.0
ATP2A2,234.0,156.0,200.0,231.0,206.0,999.0
ATP2C2,79.0,47.0,33.0,27.0,30.0,252.0
ATP5A1,60.0,33.0,73.0,25.0,56.0,244.0
ATP5B,76.0,16.0,58.0,24.0,96.0,264.0
ATP5E,73.0,25.0,111.0,21.0,21.0,251.0
ATP5G1,61.0,44.0,75.0,35.0,31.0,249.0
ATP5J2,27.0,29.0,66.0,31.0,26.0,208.0
ATP5L2,109.0,78.0,38.0,65.0,24.0,316.0
ATP5O,73.0,45.0,36.0,24.0,28.0,208.0
ATP6AP1,102.0,38.0,111.0,91.0,95.0,427.0
ATP6V0A1,51.0,63.0,30.0,106.0,59.0,311.0
ATP6V0B,138.0,51.0,94.0,220.0,46.0,543.0
ATP6V0C,170.0,105.0,105.0,294.0,79.0,744.0
ATP6V0D1,66.0,45.0,38.0,50.0,26.0,226.0
ATP6V0E1,77.0,26.0,46.0,62.0,22.0,243.0
ATP6V1A,65.0,39.0,51.0,146.0,31.0,326.0
ATP6V1B2,127.0,58.0,63.0,244.0,72.0,553.0
ATP6V1C1,172.0,81.0,103.0,209.0,69.0,616.0
ATP6V1D,90.0,44.0,65.0,139.0,58.0,402.0
ATP6V1E1,127.0,52.0,101.0,205.0,36.0,525.0
ATP6V1F,57.0,20.0,66.0,74.0,38.0,249.0
ATP6V1G1,69.0,51.0,80.0,118.0,35.0,361.0
ATP6V1H,60.0,81.0,68.0,236.0,29.0,471.0
ATR,68.0,27.0,49.0,80.0,72.0,295.0
ATRN,124.0,34.0,77.0,81.0,139.0,452.0
ATXN1L,64.0,35.0,27.0,74.0,49.0,259.0
ATXN2L,55.0,21.0,107.0,40.0,23.0,250.0
ATXN7L3,46.0,21.0,80.0,21.0,27.0,212.0
AURKA,59.0,48.0,37.0,46.0,24.0,230.0
AURKAIP1,39.0,28.0,18.0,30.0,95.0,213.0
AXIN1,37.0,25.0,57.0,46.0,39.0,209.0
AZU1,54.0,45.0,75.0,44.0,44.0,272.0
B3GALT4,54.0,15.0,31.0,61.0,43.0,226.0
B3GALT5,104.0,57.0,29.0,48.0,18.0,259.0
B3GALTL,55.0,36.0,55.0,47.0,26.0,224.0
B3GLCT,111.0,73.0,46.0,127.0,74.0,424.0
B4GALNT4,31.0,47.0,18.0,72.0,123.0,287.0
B4GALT1,37.0,19.0,22.0,212.0,20.0,301.0
B4GALT4,86.0,69.0,69.0,54.0,47.0,333.0
B4GAT1,44.0,37.0,49.0,153.0,50.0,329.0
BACE2,34.0,37.0,17.0,102.0,22.0,214.0
BAG5,59.0,37.0,36.0,54.0,31.0,227.0
BAHD1,49.0,28.0,88.0,143.0,32.0,303.0
BAIAP3,65.0,21.0,68.0,33.0,34.0,221.0
BANP,76.0,34.0,98.0,68.0,76.0,360.0
BAP1,83.0,24.0,102.0,44.0,78.0,329.0
BARD1,46.0,18.0,57.0,40.0,46.0,208.0
BASP1,45.0,27.0,71.0,57.0,35.0,240.0
BCAM,68.0,86.0,23.0,53.0,15.0,227.0
BCAR1,57.0,35.0,22.0,130.0,24.0,265.0
BCAS2,117.0,30.0,49.0,149.0,35.0,370.0
BCDIN3D,38.0,24.0,73.0,63.0,22.0,230.0
BCL10,53.0,34.0,59.0,31.0,21.0,205.0
BCL2L12,48.0,39.0,61.0,55.0,42.0,255.0
BCL2L13,34.0,13.0,62.0,30.0,82.0,212.0
BCL2L2-PABPN1,66.0,39.0,47.0,31.0,18.0,209.0
BCL9L,62.0,60.0,35.0,46.0,25.0,219.0
BCR,51.0,52.0,54.0,70.0,23.0,241.0
BDNF,103.0,48.0,34.0,52.0,42.0,279.0
BEGAIN,72.0,53.0,49.0,60.0,22.0,259.0
BEND6,36.0,15.0,33.0,76.0,47.0,203.0
BEX3,80.0,33.0,55.0,47.0,41.0,275.0
BEX4,33.0,28.0,16.0,70.0,64.0,208.0
BGLAP,40.0,32.0,57.0,61.0,92.0,292.0
BICDL2,50.0,51.0,45.0,122.0,42.0,311.0
BIN1,71.0,31.0,51.0,120.0,23.0,305.0
BIRC3,31.0,24.0,29.0,42.0,103.0,233.0
BIRC5,52.0,16.0,30.0,19.0,81.0,215.0
BLOC1S3,111.0,14.0,25.0,39.0,13.0,215.0
BLVRB,66.0,34.0,86.0,67.0,71.0,338.0
BMS1,113.0,29.0,136.0,66.0,100.0,447.0
BNIP2,30.0,13.0,26.0,136.0,23.0,224.0
BOLA1,44.0,21.0,33.0,98.0,25.0,238.0
BOP1,53.0,19.0,44.0,44.0,37.0,203.0
BORA,48.0,37.0,43.0,44.0,26.0,203.0
BORCS8,39.0,31.0,100.0,80.0,23.0,273.0
BPTF,32.0,13.0,51.0,76.0,41.0,219.0
BRCC3,43.0,76.0,20.0,77.0,48.0,266.0
BRD4,46.0,23.0,94.0,63.0,54.0,268.0
BRD7,104.0,48.0,55.0,119.0,47.0,377.0
BRD9,30.0,56.0,23.0,33.0,87.0,231.0
BRF1,57.0,26.0,122.0,36.0,39.0,291.0
BRIP1,75.0,33.0,32.0,39.0,20.0,204.0
BRIX1,88.0,46.0,64.0,41.0,32.0,268.0
BRPF1,64.0,43.0,97.0,43.0,28.0,269.0
BSN,97.0,41.0,39.0,72.0,64.0,300.0
BTAF1,75.0,32.0,37.0,27.0,54.0,213.0
BTBD1,94.0,42.0,28.0,40.0,69.0,281.0
BTBD9,48.0,31.0,50.0,100.0,81.0,303.0
BTF3,57.0,24.0,55.0,51.0,152.0,303.0
BTRC,59.0,41.0,78.0,60.0,25.0,259.0
BUB3,121.0,47.0,78.0,64.0,63.0,375.0
BUD23,120.0,36.0,82.0,56.0,71.0,383.0
BYSL,77.0,25.0,45.0,60.0,46.0,249.0
BZRAP1,68.0,27.0,46.0,50.0,41.0,254.0
C10orf105,42.0,33.0,35.0,95.0,45.0,262.0
C10orf12,45.0,36.0,37.0,50.0,24.0,206.0
C10orf2,128.0,58.0,44.0,73.0,64.0,352.0
C10orf54,100.0,54.0,60.0,123.0,38.0,384.0
C10orf62,37.0,41.0,15.0,78.0,41.0,212.0
C10orf76,34.0,65.0,93.0,24.0,23.0,236.0
C11orf70,60.0,20.0,62.0,27.0,23.0,202.0
C11orf86,101.0,92.0,19.0,27.0,25.0,257.0
C12orf10,66.0,25.0,58.0,56.0,24.0,227.0
C12orf45,72.0,44.0,117.0,47.0,162.0,430.0
C12orf54,44.0,29.0,54.0,35.0,43.0,214.0
C12orf56,116.0,53.0,80.0,58.0,37.0,354.0
C14orf159,71.0,31.0,52.0,80.0,49.0,303.0
C14orf178,72.0,30.0,25.0,53.0,13.0,215.0
C14orf93,77.0,34.0,93.0,63.0,46.0,325.0
C15orf54,28.0,37.0,78.0,93.0,22.0,251.0
C15orf57,98.0,46.0,43.0,33.0,43.0,269.0
C16orf47,50.0,11.0,85.0,25.0,60.0,233.0
C16orf59,48.0,45.0,42.0,62.0,30.0,247.0
C16orf71,73.0,61.0,49.0,34.0,17.0,233.0
C16orf86,57.0,57.0,37.0,42.0,48.0,239.0
C16orf93,60.0,46.0,126.0,101.0,51.0,395.0
C17orf49,43.0,22.0,41.0,91.0,27.0,227.0
C17orf74,46.0,34.0,18.0,87.0,11.0,205.0
C17orf82,99.0,36.0,108.0,75.0,23.0,348.0
C18orf21,171.0,66.0,171.0,88.0,76.0,583.0
C18orf54,76.0,51.0,16.0,99.0,13.0,246.0
C18orf8,45.0,43.0,47.0,84.0,47.0,273.0
C19orf24,52.0,19.0,65.0,30.0,36.0,220.0
C19orf53,123.0,34.0,56.0,31.0,36.0,299.0
C1D,65.0,41.0,58.0,87.0,68.0,320.0
C1GALT1,49.0,33.0,39.0,156.0,21.0,300.0
C1QBP,52.0,34.0,41.0,112.0,42.0,294.0
C1QL3,38.0,25.0,56.0,35.0,99.0,247.0
C1QTNF9B,30.0,75.0,38.0,120.0,46.0,300.0
C1orf111,45.0,29.0,55.0,36.0,31.0,207.0
C1orf131,110.0,32.0,52.0,45.0,88.0,322.0
C1orf56,38.0,24.0,44.0,101.0,54.0,254.0
C1orf64,43.0,38.0,60.0,35.0,37.0,217.0
C1orf86,62.0,39.0,54.0,38.0,67.0,271.0
C20orf195,43.0,30.0,34.0,66.0,34.0,223.0
C20orf27,40.0,22.0,32.0,111.0,14.0,225.0
C20orf96,83.0,45.0,17.0,21.0,23.0,204.0
C21orf59,49.0,31.0,110.0,38.0,113.0,326.0
C21orf59-TCP10L,99.0,36.0,59.0,91.0,107.0,401.0
C2CD3,67.0,70.0,35.0,121.0,42.0,337.0
C2orf27A,78.0,33.0,112.0,37.0,138.0,401.0
C2orf44,39.0,28.0,82.0,31.0,29.0,228.0
C2orf82,42.0,42.0,37.0,50.0,45.0,234.0
C2orf92,58.0,23.0,24.0,49.0,51.0,221.0
C3orf67,89.0,16.0,45.0,29.0,44.0,227.0
C3orf79,38.0,65.0,38.0,79.0,21.0,236.0
C4orf29,46.0,30.0,59.0,37.0,44.0,220.0
C4orf47,43.0,51.0,31.0,68.0,34.0,231.0
C5orf17,103.0,71.0,41.0,68.0,17.0,311.0
C5orf22,68.0,40.0,22.0,60.0,20.0,211.0
C5orf42,62.0,26.0,84.0,41.0,61.0,284.0
C5orf49,55.0,22.0,43.0,41.0,36.0,204.0
C5orf64,27.0,10.0,20.0,40.0,99.0,205.0
C5orf67,59.0,24.0,38.0,65.0,34.0,219.0
C6orf47,36.0,50.0,35.0,43.0,43.0,202.0
C7orf26,58.0,30.0,76.0,26.0,23.0,216.0
C7orf49,32.0,24.0,47.0,97.0,25.0,235.0
C7orf55-LUC7L2,55.0,16.0,89.0,47.0,82.0,295.0
C7orf61,54.0,27.0,65.0,61.0,112.0,303.0
C7orf71,55.0,36.0,61.0,24.0,41.0,215.0
C7orf77,66.0,23.0,23.0,83.0,42.0,246.0
C8orf22,74.0,43.0,38.0,92.0,16.0,263.0
C8orf33,71.0,35.0,30.0,44.0,36.0,222.0
C8orf37,129.0,97.0,44.0,75.0,21.0,374.0
C9orf114,70.0,37.0,86.0,49.0,22.0,282.0
C9orf139,56.0,33.0,40.0,25.0,32.0,211.0
C9orf147,41.0,43.0,50.0,37.0,34.0,222.0
C9orf156,92.0,30.0,72.0,32.0,33.0,266.0
C9orf9,91.0,42.0,46.0,43.0,26.0,278.0
CA12,54.0,60.0,39.0,78.0,29.0,262.0
CA5A,56.0,101.0,27.0,58.0,24.0,264.0
CA9,30.0,35.0,38.0,40.0,59.0,213.0
CAB39,54.0,12.0,37.0,151.0,189.0,420.0
CABP4,170.0,48.0,56.0,113.0,96.0,471.0
CACFD1,66.0,43.0,36.0,49.0,22.0,221.0
CACNA1G,39.0,63.0,80.0,72.0,24.0,283.0
CACNA1H,62.0,36.0,46.0,40.0,20.0,208.0
CACNB3,38.0,23.0,102.0,33.0,29.0,218.0
CAD,43.0,20.0,77.0,47.0,57.0,233.0
CAMK1,26.0,86.0,35.0,85.0,37.0,264.0
CAMK2B,63.0,29.0,52.0,68.0,22.0,246.0
CAMK2N2,152.0,139.0,45.0,88.0,19.0,420.0
CAPN1,93.0,46.0,27.0,30.0,20.0,228.0
CAPN5,39.0,25.0,102.0,43.0,57.0,279.0
CAPRIN1,67.0,21.0,45.0,43.0,68.0,240.0
CAPZB,126.0,107.0,51.0,67.0,67.0,419.0
CARKD,55.0,44.0,27.0,53.0,26.0,210.0
CARMIL2,111.0,38.0,51.0,42.0,53.0,300.0
CARNMT1,66.0,17.0,42.0,28.0,86.0,231.0
CARS,51.0,39.0,48.0,41.0,27.0,208.0
CASP10,92.0,19.0,48.0,34.0,33.0,214.0
CASP8,95.0,44.0,57.0,59.0,24.0,279.0
CATSPERZ,54.0,49.0,35.0,45.0,21.0,233.0
CAVIN2,36.0,22.0,45.0,37.0,42.0,202.0
CBLB,70.0,17.0,95.0,34.0,30.0,254.0
CBLL1,50.0,26.0,21.0,81.0,39.0,206.0
CBLN3,48.0,56.0,39.0,58.0,21.0,233.0
CBWD2,51.0,16.0,42.0,66.0,28.0,220.0
CBWD3,61.0,22.0,31.0,34.0,71.0,230.0
CBX5,43.0,51.0,74.0,47.0,19.0,228.0
CCAR1,117.0,47.0,41.0,42.0,40.0,295.0
CCBL1,46.0,46.0,45.0,78.0,33.0,249.0
CCDC107,30.0,24.0,41.0,90.0,44.0,227.0
CCDC121,39.0,36.0,38.0,62.0,19.0,207.0
CCDC136,57.0,57.0,15.0,62.0,18.0,206.0
CCDC140,60.0,39.0,22.0,80.0,34.0,243.0
CCDC144NL,120.0,69.0,101.0,110.0,60.0,451.0
CCDC146,58.0,46.0,25.0,140.0,48.0,317.0
CCDC151,31.0,28.0,73.0,24.0,40.0,206.0
CCDC188,90.0,24.0,62.0,46.0,28.0,265.0
CCDC189,103.0,50.0,52.0,85.0,54.0,347.0
CCDC190,64.0,39.0,45.0,91.0,36.0,284.0
CCDC191,57.0,29.0,30.0,55.0,24.0,225.0
CCDC22,38.0,10.0,46.0,50.0,63.0,216.0
CCDC32,112.0,34.0,75.0,37.0,56.0,315.0
CCDC47,38.0,40.0,35.0,120.0,23.0,257.0
CCDC51,49.0,21.0,48.0,55.0,42.0,219.0
CCDC59,94.0,34.0,89.0,75.0,109.0,399.0
CCDC6,80.0,31.0,112.0,66.0,58.0,356.0
CCDC71,59.0,63.0,45.0,23.0,30.0,223.0
CCDC77,55.0,61.0,40.0,26.0,30.0,215.0
CCDC8,78.0,27.0,29.0,40.0,20.0,205.0
CCDC84,67.0,25.0,56.0,130.0,20.0,303.0
CCDC86,86.0,22.0,82.0,33.0,42.0,264.0
CCDC93,74.0,53.0,39.0,168.0,74.0,415.0
CCDC94,73.0,44.0,45.0,35.0,64.0,263.0
CCK,37.0,21.0,54.0,64.0,44.0,229.0
CCL21,65.0,26.0,41.0,42.0,19.0,203.0
CCNB1IP1,53.0,45.0,17.0,88.0,16.0,224.0
CCNB3,80.0,50.0,37.0,56.0,38.0,273.0
CCNC,85.0,46.0,119.0,75.0,51.0,356.0
CCNH,33.0,29.0,112.0,97.0,38.0,288.0
CCNK,45.0,17.0,83.0,28.0,54.0,248.0
CCNT2,103.0,82.0,40.0,158.0,24.0,410.0
CCNYL1,41.0,54.0,45.0,82.0,24.0,236.0
CCP110,55.0,71.0,91.0,47.0,13.0,263.0
CCRN4L,61.0,39.0,77.0,50.0,27.0,255.0
CCSER1,41.0,47.0,53.0,65.0,52.0,262.0
CCT5,91.0,25.0,61.0,32.0,35.0,261.0
CCT6A,68.0,47.0,70.0,86.0,43.0,333.0
CCT7,46.0,27.0,40.0,37.0,68.0,242.0
CCZ1,44.0,14.0,34.0,96.0,86.0,268.0
CCZ1B,70.0,47.0,43.0,53.0,30.0,260.0
CD151,47.0,18.0,79.0,21.0,57.0,229.0
CD200R1,61.0,25.0,89.0,31.0,34.0,233.0
CD226,27.0,42.0,30.0,117.0,44.0,257.0
CD27,108.0,44.0,25.0,23.0,23.0,241.0
CD3EAP,96.0,39.0,145.0,80.0,105.0,476.0
CD53,51.0,45.0,39.0,101.0,33.0,264.0
CD63,100.0,24.0,52.0,37.0,23.0,229.0
CD69,36.0,23.0,55.0,110.0,27.0,237.0
CD74,51.0,49.0,49.0,95.0,34.0,272.0
CD8B,38.0,31.0,33.0,69.0,25.0,206.0
CD96,125.0,123.0,77.0,128.0,32.0,485.0
CDAN1,66.0,28.0,52.0,81.0,19.0,254.0
CDC123,98.0,28.0,96.0,100.0,36.0,354.0
CDC16,73.0,27.0,56.0,14.0,32.0,221.0
CDC23,125.0,78.0,38.0,111.0,85.0,431.0
CDC25A,65.0,27.0,71.0,27.0,36.0,241.0
CDC27,43.0,14.0,47.0,26.0,68.0,219.0
