Gene,Mito,ConA,DAPI,WGA,Phalloidin,Sum
AAAS,43.0,42.0,68.0,63.0,18.0,230.0
AAED1,50.0,29.0,60.0,29.0,36.0,211.0
AAGAB,73.0,51.0,52.0,41.0,33.0,250.0
AAR2,30.0,16.0,53.0,16.0,83.0,208.0
AATF,81.0,31.0,89.0,40.0,80.0,314.0
AATK,89.0,31.0,44.0,37.0,29.0,246.0
ABCA7,47.0,35.0,61.0,27.0,16.0,203.0
ABCC3,82.0,47.0,29.0,69.0,22.0,265.0
ABCC6,55.0,43.0,30.0,31.0,88.0,240.0
ABCD2,42.0,40.0,46.0,38.0,27.0,205.0
ABHD13,70.0,24.0,112.0,37.0,29.0,293.0
ABHD14A-ACY1,56.0,42.0,28.0,132.0,26.0,290.0
ABHD18,79.0,35.0,30.0,43.0,28.0,234.0
ABHD8,70.0,29.0,50.0,35.0,29.0,225.0
ABI2,37.0,24.0,26.0,105.0,36.0,233.0
ABR,73.0,87.0,28.0,118.0,19.0,314.0
ABRA,90.0,41.0,40.0,68.0,45.0,297.0
ABRAXAS2,45.0,36.0,35.0,61.0,24.0,226.0
ABT1,116.0,44.0,137.0,111.0,110.0,515.0
ABTB1,80.0,28.0,40.0,36.0,19.0,203.0
ABTB2,59.0,49.0,50.0,28.0,93.0,256.0
AC007431.1,59.0,34.0,55.0,39.0,35.0,245.0
ACACA,70.0,24.0,71.0,15.0,21.0,204.0
ACD,67.0,37.0,32.0,35.0,34.0,208.0
ACIN1,58.0,48.0,34.0,30.0,24.0,204.0
ACSF2,66.0,35.0,37.0,72.0,67.0,285.0
ACTB,52.0,26.0,66.0,36.0,133.0,300.0
ACTL6A,204.0,97.0,215.0,166.0,150.0,832.0
ACTR1A,24.0,23.0,27.0,98.0,31.0,202.0
ACTR1B,62.0,32.0,36.0,85.0,51.0,265.0
ACTR2,216.0,42.0,178.0,186.0,127.0,742.0
ACTR3,199.0,65.0,181.0,198.0,101.0,738.0
ACTR3C,57.0,15.0,76.0,24.0,24.0,202.0
ACTR5,55.0,57.0,29.0,39.0,33.0,223.0
ACVR2B,55.0,20.0,33.0,62.0,20.0,202.0
ADAL,30.0,29.0,33.0,145.0,89.0,313.0
ADAM17,60.0,24.0,24.0,43.0,50.0,214.0
ADAM20,62.0,52.0,25.0,70.0,30.0,248.0
ADAM22,47.0,19.0,38.0,49.0,61.0,221.0
ADAM8,58.0,36.0,52.0,44.0,48.0,242.0
ADAM9,54.0,37.0,42.0,33.0,32.0,215.0
ADAMTS13,33.0,35.0,67.0,57.0,37.0,237.0
ADAMTS16,67.0,51.0,42.0,46.0,49.0,254.0
ADAMTS2,87.0,74.0,30.0,81.0,23.0,317.0
ADAP2,35.0,31.0,59.0,117.0,15.0,260.0
ADCK3,94.0,40.0,58.0,32.0,26.0,280.0
ADCY6,42.0,14.0,75.0,39.0,14.0,203.0
ADD3,66.0,31.0,34.0,101.0,59.0,306.0
ADGRB3,64.0,33.0,37.0,70.0,24.0,232.0
ADGRD1,35.0,41.0,57.0,98.0,35.0,279.0
ADGRD2,92.0,34.0,138.0,65.0,51.0,409.0
ADGRE1,44.0,33.0,68.0,52.0,34.0,239.0
ADGRF1,67.0,69.0,29.0,93.0,23.0,271.0
ADIPOR2,37.0,27.0,67.0,64.0,15.0,211.0
ADORA1,80.0,18.0,40.0,30.0,37.0,223.0
ADSL,82.0,43.0,78.0,47.0,144.0,377.0
ADSS,97.0,56.0,107.0,107.0,50.0,414.0
AEBP1,68.0,37.0,89.0,82.0,22.0,310.0
AEN,91.0,73.0,52.0,42.0,25.0,282.0
AFF1,64.0,41.0,29.0,45.0,20.0,204.0
AGAP1,88.0,38.0,42.0,31.0,16.0,215.0
AGBL5,37.0,30.0,40.0,126.0,41.0,277.0
AGL,53.0,31.0,34.0,45.0,34.0,209.0
AGMAT,73.0,31.0,40.0,51.0,32.0,241.0
AGO2,89.0,66.0,70.0,62.0,32.0,329.0
AGPAT3,57.0,33.0,70.0,38.0,47.0,258.0
AHCYL1,51.0,23.0,60.0,38.0,83.0,252.0
AHDC1,66.0,81.0,25.0,105.0,17.0,290.0
AHR,39.0,22.0,26.0,60.0,62.0,211.0
AHRR,60.0,19.0,37.0,90.0,31.0,240.0
AIF1L,38.0,12.0,44.0,54.0,37.0,203.0
AIM1,94.0,52.0,73.0,29.0,22.0,278.0
AK4,81.0,26.0,14.0,18.0,46.0,208.0
AK6,109.0,34.0,116.0,140.0,77.0,470.0
AKAP12,59.0,24.0,71.0,46.0,38.0,241.0
AKAP6,44.0,24.0,25.0,19.0,74.0,203.0
AKTIP,47.0,27.0,31.0,107.0,20.0,242.0
ALDH2,53.0,20.0,25.0,92.0,22.0,217.0
ALDH3A1,52.0,22.0,64.0,35.0,23.0,214.0
ALDH3B1,52.0,61.0,80.0,45.0,32.0,261.0
ALDH5A1,44.0,88.0,22.0,99.0,15.0,267.0
ALDH6A1,45.0,44.0,45.0,48.0,28.0,210.0
ALDOA,80.0,51.0,84.0,84.0,39.0,378.0
