Gene,Mito,ConA,DAPI,WGA,Phalloidin,Sum
A1BG,17.0,21.0,17.0,28.0,11.0,101.0
A2M,13.0,6.0,22.0,12.0,14.0,71.0
A4GALT,26.0,9.0,51.0,17.0,11.0,121.0
AAAS,47.0,29.0,54.0,27.0,27.0,184.0
AACS,18.0,7.0,14.0,14.0,35.0,90.0
AADACL4,16.0,6.0,13.0,13.0,19.0,83.0
AADAT,45.0,7.0,15.0,29.0,43.0,153.0
AAED1,22.0,40.0,42.0,61.0,15.0,184.0
AAGAB,26.0,23.0,42.0,22.0,17.0,135.0
AAK1,20.0,15.0,24.0,29.0,19.0,120.0
AAMDC,21.0,26.0,13.0,23.0,39.0,113.0
AAMP,23.0,12.0,19.0,15.0,15.0,98.0
AANAT,26.0,11.0,27.0,13.0,29.0,118.0
AAR2,17.0,8.0,14.0,16.0,16.0,83.0
AARS,75.0,24.0,58.0,26.0,54.0,246.0
AARS2,21.0,7.0,27.0,18.0,89.0,166.0
AARSD1,23.0,20.0,43.0,18.0,17.0,135.0
AASDH,16.0,11.0,13.0,12.0,12.0,69.0
AASDHPPT,29.0,17.0,23.0,28.0,41.0,147.0
AASS,18.0,12.0,20.0,9.0,37.0,97.0
AATF,81.0,15.0,56.0,44.0,29.0,228.0
AATK,12.0,8.0,17.0,10.0,11.0,69.0
ABAT,32.0,9.0,18.0,9.0,26.0,101.0
ABCA1,20.0,11.0,13.0,19.0,15.0,95.0
ABCA10,19.0,10.0,10.0,19.0,15.0,80.0
ABCA12,11.0,12.0,26.0,10.0,17.0,90.0
ABCA2,31.0,20.0,50.0,30.0,18.0,159.0
ABCA3,29.0,18.0,42.0,21.0,14.0,132.0
ABCA4,18.0,9.0,20.0,10.0,13.0,89.0
ABCA5,13.0,24.0,24.0,27.0,21.0,120.0
ABCA7,19.0,5.0,18.0,13.0,24.0,82.0
ABCA8,29.0,8.0,19.0,10.0,32.0,111.0
ABCB1,11.0,3.0,15.0,9.0,12.0,59.0
ABCB10,101.0,40.0,26.0,54.0,24.0,239.0
ABCB11,10.0,4.0,6.0,10.0,12.0,54.0
ABCB4,7.0,2.0,8.0,6.0,18.0,46.0
ABCB5,17.0,6.0,15.0,12.0,20.0,80.0
ABCB6,15.0,17.0,20.0,11.0,16.0,89.0
ABCB7,42.0,17.0,55.0,24.0,48.0,198.0
ABCB8,16.0,8.0,16.0,11.0,21.0,76.0
ABCB9,21.0,14.0,22.0,14.0,41.0,117.0
ABCC1,10.0,12.0,9.0,14.0,18.0,68.0
ABCC10,14.0,13.0,16.0,15.0,22.0,85.0
ABCC11,13.0,6.0,22.0,9.0,21.0,73.0
ABCC2,18.0,6.0,16.0,12.0,15.0,76.0
ABCC3,24.0,16.0,20.0,12.0,15.0,100.0
ABCC4,29.0,11.0,21.0,14.0,20.0,106.0
ABCC5,26.0,18.0,18.0,10.0,20.0,99.0
ABCC6,15.0,8.0,61.0,16.0,9.0,121.0
ABCC8,17.0,10.0,12.0,8.0,24.0,77.0
ABCC9,19.0,3.0,10.0,3.0,10.0,53.0
ABCD1,26.0,10.0,19.0,16.0,32.0,113.0
ABCD2,30.0,10.0,14.0,22.0,49.0,129.0
ABCD3,31.0,19.0,30.0,20.0,16.0,131.0
ABCD4,24.0,16.0,27.0,25.0,12.0,103.0
ABCE1,76.0,10.0,49.0,14.0,56.0,219.0
ABCF1,31.0,11.0,18.0,39.0,12.0,116.0
ABCF2,19.0,13.0,16.0,21.0,10.0,81.0
ABCF3,31.0,11.0,33.0,15.0,24.0,127.0
ABCG1,25.0,13.0,29.0,16.0,18.0,105.0
ABCG2,53.0,22.0,19.0,40.0,12.0,150.0
ABCG4,39.0,9.0,11.0,9.0,12.0,85.0
ABHD1,7.0,17.0,9.0,16.0,12.0,66.0
ABHD10,26.0,17.0,23.0,27.0,17.0,111.0
ABHD11,14.0,11.0,17.0,10.0,18.0,77.0
ABHD12,10.0,11.0,8.0,9.0,13.0,57.0
ABHD12B,16.0,9.0,7.0,6.0,12.0,54.0
ABHD13,28.0,32.0,37.0,49.0,28.0,176.0
ABHD14A,15.0,8.0,52.0,7.0,20.0,113.0
ABHD14A-ACY1,19.0,10.0,28.0,11.0,31.0,109.0
ABHD14B,28.0,17.0,16.0,15.0,18.0,105.0
ABHD15,26.0,31.0,32.0,49.0,14.0,154.0
ABHD16A,22.0,8.0,35.0,11.0,35.0,128.0
ABHD17A,40.0,10.0,22.0,15.0,18.0,114.0
ABHD17B,16.0,10.0,70.0,10.0,23.0,136.0
