Gene,Mito,ConA,DAPI,WGA,Phalloidin,Sum
A1CF,22.0,10.0,46.0,24.0,16.0,119.0
A2ML1,51.0,15.0,26.0,34.0,17.0,157.0
A3GALT2,34.0,26.0,33.0,31.0,22.0,151.0
A4GNT,130.0,29.0,45.0,51.0,27.0,276.0
AADAC,26.0,25.0,24.0,32.0,18.0,131.0
AADACL2,23.0,37.0,42.0,57.0,20.0,193.0
AADACL3,38.0,17.0,40.0,24.0,15.0,141.0
AARD,44.0,40.0,46.0,27.0,24.0,174.0
ABCA13,28.0,16.0,14.0,17.0,12.0,99.0
ABCA6,27.0,18.0,19.0,18.0,14.0,96.0
ABCA9,22.0,13.0,28.0,48.0,27.0,132.0
ABCC12,18.0,11.0,11.0,15.0,16.0,88.0
ABCG5,17.0,9.0,18.0,18.0,12.0,77.0
ABCG8,55.0,42.0,45.0,22.0,15.0,184.0
ABHD16B,79.0,65.0,28.0,79.0,40.0,275.0
ABO,45.0,22.0,97.0,68.0,44.0,297.0
ACAN,45.0,57.0,18.0,58.0,40.0,219.0
ACCSL,31.0,18.0,42.0,30.0,22.0,158.0
ACER1,24.0,15.0,16.0,26.0,16.0,106.0
ACKR1,22.0,12.0,34.0,18.0,21.0,102.0
ACOD1,25.0,19.0,59.0,40.0,20.0,166.0
ACOT12,14.0,11.0,25.0,18.0,12.0,87.0
ACP7,55.0,20.0,39.0,21.0,29.0,163.0
ACR,19.0,12.0,31.0,17.0,19.0,112.0
ACSM1,61.0,26.0,30.0,59.0,14.0,201.0
ACSM2A,43.0,26.0,9.0,63.0,17.0,160.0
ACSM2B,27.0,17.0,21.0,38.0,16.0,123.0
ACSM4,26.0,12.0,29.0,48.0,19.0,142.0
ACSM6,32.0,22.0,59.0,31.0,32.0,186.0
ACTL6B,35.0,17.0,18.0,36.0,17.0,132.0
ACTL7B,50.0,14.0,17.0,15.0,28.0,128.0
ACTL9,27.0,14.0,23.0,25.0,16.0,130.0
ACTRT1,20.0,13.0,26.0,16.0,20.0,101.0
ACTRT2,50.0,18.0,30.0,30.0,44.0,179.0
ACVR1C,82.0,40.0,51.0,55.0,35.0,266.0
ACY3,45.0,15.0,36.0,17.0,39.0,155.0
ADAD1,34.0,22.0,24.0,20.0,19.0,124.0
ADAD2,18.0,17.0,15.0,17.0,18.0,90.0
ADAM2,39.0,24.0,32.0,22.0,12.0,139.0
ADAM28,23.0,27.0,16.0,17.0,16.0,103.0
ADAM29,31.0,8.0,9.0,16.0,15.0,82.0
ADAM30,18.0,12.0,17.0,15.0,15.0,88.0
ADAM7,16.0,10.0,15.0,16.0,43.0,111.0
ADAMDEC1,24.0,30.0,16.0,32.0,17.0,127.0
ADAMTS17,50.0,29.0,61.0,46.0,20.0,232.0
ADAMTS19,20.0,10.0,14.0,13.0,12.0,76.0
ADAMTS20,14.0,15.0,16.0,10.0,23.0,85.0
ADAMTS9,17.0,12.0,19.0,16.0,19.0,89.0
ADARB2,34.0,29.0,25.0,26.0,36.0,163.0
ADCY2,37.0,20.0,35.0,21.0,12.0,149.0
ADCY8,66.0,21.0,73.0,35.0,26.0,217.0
ADCYAP1,28.0,20.0,89.0,27.0,16.0,179.0
ADCYAP1R1,20.0,19.0,30.0,20.0,19.0,105.0
ADGB,41.0,26.0,44.0,33.0,18.0,172.0
ADGRA1,17.0,11.0,14.0,17.0,13.0,80.0
ADGRE3,33.0,13.0,33.0,21.0,41.0,132.0
ADGRF2,14.0,10.0,18.0,18.0,13.0,89.0
ADGRG3,36.0,35.0,30.0,52.0,13.0,170.0
ADGRG4,20.0,13.0,18.0,30.0,19.0,96.0
ADGRG7,32.0,23.0,24.0,18.0,28.0,126.0
ADH1A,49.0,45.0,14.0,119.0,19.0,252.0
ADH1B,19.0,10.0,15.0,30.0,38.0,121.0
ADH1C,40.0,11.0,21.0,26.0,32.0,135.0
ADH4,18.0,13.0,15.0,14.0,16.0,84.0
ADH6,46.0,34.0,23.0,90.0,37.0,229.0
ADIG,13.0,11.0,18.0,22.0,25.0,91.0
ADIPOQ,24.0,13.0,34.0,30.0,24.0,132.0
ADRA1A,30.0,9.0,25.0,23.0,27.0,113.0
ADRA1D,38.0,19.0,36.0,31.0,18.0,150.0
ADRA2B,28.0,16.0,12.0,80.0,20.0,162.0
ADRB3,86.0,16.0,14.0,16.0,35.0,179.0
AFF2,28.0,17.0,18.0,16.0,19.0,99.0
AFM,16.0,43.0,23.0,28.0,13.0,121.0
AGMO,13.0,11.0,12.0,16.0,12.0,69.0
AGR3,42.0,15.0,20.0,15.0,20.0,116.0
AGRP,22.0,10.0,22.0,14.0,82.0,158.0
AGXT,13.0,11.0,16.0,15.0,13.0,70.0
AGXT2,29.0,23.0,13.0,13.0,9.0,107.0
AHSG,31.0,17.0,14.0,21.0,21.0,128.0
AHSP,15.0,7.0,11.0,7.0,14.0,58.0
AIPL1,37.0,26.0,22.0,55.0,15.0,150.0
AIRE,27.0,14.0,32.0,17.0,12.0,111.0
AJAP1,25.0,19.0,30.0,15.0,31.0,119.0
AKAP14,25.0,14.0,13.0,32.0,15.0,109.0
AKAP4,28.0,18.0,14.0,16.0,20.0,116.0
AKR1B15,21.0,18.0,31.0,18.0,19.0,109.0
AKR1C4,49.0,17.0,41.0,63.0,84.0,259.0
AKR1D1,50.0,32.0,33.0,89.0,28.0,226.0
ALAS2,24.0,13.0,20.0,24.0,16.0,124.0
ALG1L2,47.0,25.0,28.0,49.0,27.0,178.0
ALKAL1,72.0,31.0,52.0,60.0,54.0,279.0
ALLC,49.0,66.0,33.0,108.0,13.0,266.0
ALOX15,26.0,15.0,26.0,35.0,15.0,114.0
ALOX15B,60.0,33.0,31.0,110.0,32.0,270.0
ALX3,44.0,30.0,38.0,42.0,27.0,173.0
AMELX,28.0,8.0,36.0,15.0,16.0,115.0
AMELY,31.0,23.0,27.0,88.0,15.0,185.0
AMER3,67.0,23.0,19.0,38.0,47.0,205.0
AMHR2,20.0,9.0,10.0,15.0,9.0,75.0
AMY1A,26.0,21.0,23.0,28.0,22.0,129.0
AMY1B,40.0,17.0,17.0,38.0,18.0,137.0
AMY1C,2.0,4.0,2.0,5.0,6.0,19.0
AMY2A,46.0,22.0,22.0,27.0,16.0,136.0
ANGPT4,36.0,21.0,41.0,40.0,53.0,195.0
ANHX,58.0,28.0,23.0,17.0,35.0,166.0
ANKDD1B,19.0,12.0,10.0,14.0,32.0,96.0
ANKRD22,30.0,10.0,20.0,21.0,16.0,100.0
ANKRD30A,112.0,76.0,90.0,120.0,52.0,453.0
ANKRD30BL,64.0,21.0,15.0,32.0,34.0,164.0
ANKRD33,43.0,13.0,33.0,21.0,19.0,139.0
ANKRD34C,38.0,29.0,28.0,40.0,36.0,173.0
ANKRD35,18.0,13.0,55.0,20.0,32.0,150.0
ANKRD45,59.0,41.0,41.0,29.0,34.0,204.0
ANKRD60,136.0,111.0,53.0,107.0,13.0,419.0
ANKRD62,28.0,36.0,17.0,51.0,21.0,157.0
ANKRD66,29.0,27.0,14.0,12.0,21.0,107.0
ANKRD7,37.0,18.0,29.0,22.0,17.0,123.0
ANKS4B,33.0,21.0,41.0,69.0,15.0,181.0
ANO5,30.0,15.0,37.0,28.0,79.0,191.0
ANP32D,40.0,22.0,22.0,28.0,13.0,120.0
APCS,39.0,34.0,9.0,32.0,48.0,171.0
APELA,19.0,21.0,18.0,21.0,21.0,106.0
APOA4,26.0,17.0,20.0,21.0,22.0,125.0
APOA5,21.0,11.0,33.0,22.0,32.0,129.0
APOB,24.0,23.0,16.0,16.0,30.0,109.0
APOBEC1,98.0,15.0,18.0,17.0,18.0,177.0
APOBEC3A,36.0,41.0,17.0,29.0,12.0,138.0
APOBEC4,21.0,13.0,21.0,15.0,38.0,131.0
APOBR,19.0,18.0,17.0,16.0,19.0,98.0
APOC3,22.0,17.0,18.0,15.0,14.0,100.0
APOC4,40.0,19.0,49.0,49.0,50.0,201.0
APOD,27.0,16.0,32.0,19.0,28.0,135.0
APOF,46.0,21.0,52.0,36.0,64.0,217.0
APOH,25.0,15.0,24.0,15.0,11.0,102.0
APOL4,21.0,8.0,23.0,17.0,33.0,109.0
APOL5,25.0,26.0,16.0,34.0,28.0,146.0
AQP10,24.0,13.0,15.0,51.0,13.0,125.0
AQP12A,31.0,13.0,9.0,11.0,15.0,83.0
AQP12B,16.0,15.0,8.0,12.0,11.0,71.0
AQP4,33.0,19.0,50.0,29.0,22.0,166.0
AQP8,25.0,12.0,31.0,19.0,15.0,114.0
AQP9,16.0,11.0,9.0,16.0,17.0,76.0
ARGFX,25.0,8.0,27.0,24.0,26.0,117.0
ARHGEF15,15.0,15.0,27.0,27.0,34.0,123.0
ARL11,21.0,19.0,72.0,21.0,36.0,173.0
ARL5C,47.0,23.0,39.0,34.0,64.0,217.0
ARL9,21.0,8.0,29.0,22.0,19.0,109.0
ARMC3,24.0,13.0,9.0,14.0,19.0,88.0
ARMH2,44.0,24.0,29.0,32.0,35.0,182.0
ARMS2,52.0,25.0,25.0,21.0,11.0,145.0
ARNT2,31.0,24.0,32.0,53.0,21.0,159.0
ARR3,13.0,12.0,11.0,11.0,8.0,65.0
ARRDC5,23.0,18.0,27.0,15.0,22.0,108.0
ARSF,55.0,20.0,24.0,19.0,20.0,139.0
ARSH,25.0,15.0,25.0,36.0,14.0,120.0
