Gene,Mito,ConA,DAPI,WGA,Phalloidin,Sum
AAR2,30.0,16.0,53.0,16.0,83.0,208.0
AATF,81.0,31.0,89.0,40.0,80.0,314.0
ABCA12,33.0,14.0,83.0,26.0,22.0,186.0
ABCC6,55.0,43.0,30.0,31.0,88.0,240.0
ABHD13,70.0,24.0,112.0,37.0,29.0,293.0
ABHD14A-ACY1,56.0,42.0,28.0,132.0,26.0,290.0
ABLIM3,31.0,74.0,15.0,48.0,19.0,193.0
ABR,73.0,87.0,28.0,118.0,19.0,314.0
ABTB2,59.0,49.0,50.0,28.0,93.0,256.0
ACTB,52.0,26.0,66.0,36.0,133.0,300.0
ADAL,30.0,29.0,33.0,145.0,89.0,313.0
ADAMTS2,87.0,74.0,30.0,81.0,23.0,317.0
AEBP1,68.0,37.0,89.0,82.0,22.0,310.0
AEN,91.0,73.0,52.0,42.0,25.0,282.0
AGBL5,37.0,30.0,40.0,126.0,41.0,277.0
AHCYL1,51.0,23.0,60.0,38.0,83.0,252.0
AHDC1,66.0,81.0,25.0,105.0,17.0,290.0
ALDH5A1,44.0,88.0,22.0,99.0,15.0,267.0
ALG11,92.0,47.0,43.0,37.0,90.0,303.0
ALG9,53.0,196.0,32.0,25.0,26.0,323.0
ALK,63.0,32.0,71.0,49.0,81.0,310.0
AMT,66.0,44.0,29.0,122.0,17.0,298.0
ANAPC2,38.0,27.0,57.0,26.0,97.0,251.0
ANGPT2,44.0,77.0,25.0,137.0,27.0,299.0
ANKRD13C,87.0,33.0,37.0,156.0,21.0,338.0
ANKRD17,30.0,59.0,34.0,133.0,20.0,271.0
ANKRD24,51.0,42.0,31.0,137.0,65.0,327.0
ANKRD28,35.0,40.0,26.0,118.0,14.0,235.0
ANKRD29,32.0,18.0,96.0,19.0,27.0,201.0
ANKRD36,58.0,19.0,38.0,58.0,104.0,269.0
ANP32C,78.0,83.0,48.0,76.0,12.0,295.0
AP1M1,107.0,69.0,47.0,64.0,37.0,315.0
AP2S1,142.0,37.0,73.0,59.0,44.0,343.0
APOBEC2,115.0,43.0,37.0,58.0,48.0,289.0
APOL1,46.0,38.0,102.0,45.0,51.0,294.0
APOPT1,58.0,37.0,31.0,130.0,65.0,320.0
ARHGAP1,65.0,22.0,85.0,24.0,50.0,243.0
ARHGEF19,36.0,47.0,22.0,124.0,29.0,258.0
ARID2,85.0,37.0,90.0,43.0,22.0,271.0
ARID5B,108.0,43.0,53.0,74.0,12.0,289.0
ARL2,61.0,82.0,53.0,67.0,54.0,310.0
ARMC10,101.0,42.0,94.0,34.0,30.0,315.0
ASB16,100.0,82.0,51.0,62.0,34.0,334.0
ATF5,106.0,21.0,63.0,44.0,25.0,253.0
ATP11B,46.0,17.0,98.0,28.0,46.0,218.0
ATP5B,76.0,16.0,58.0,24.0,96.0,264.0
ATP5E,73.0,25.0,111.0,21.0,21.0,251.0
ATP5L2,109.0,78.0,38.0,65.0,24.0,316.0
ATP6V1A,65.0,39.0,51.0,146.0,31.0,326.0
ATXN2L,55.0,21.0,107.0,40.0,23.0,250.0
AURKAIP1,39.0,28.0,18.0,30.0,95.0,213.0
B3GALT5,104.0,57.0,29.0,48.0,18.0,259.0
B4GALNT4,31.0,47.0,18.0,72.0,123.0,287.0
B4GALT1,37.0,19.0,22.0,212.0,20.0,301.0
B4GAT1,44.0,37.0,49.0,153.0,50.0,329.0
BAHD1,49.0,28.0,88.0,143.0,32.0,303.0
BANF1,25.0,75.0,28.0,32.0,18.0,186.0
BAP1,83.0,24.0,102.0,44.0,78.0,329.0
BCAM,68.0,86.0,23.0,53.0,15.0,227.0
BCAR1,57.0,35.0,22.0,130.0,24.0,265.0
BCL2L13,34.0,13.0,62.0,30.0,82.0,212.0
BDNF,103.0,48.0,34.0,52.0,42.0,279.0
BGLAP,40.0,32.0,57.0,61.0,92.0,292.0
BICDL2,50.0,51.0,45.0,122.0,42.0,311.0
BIN1,71.0,31.0,51.0,120.0,23.0,305.0
BIRC3,31.0,24.0,29.0,42.0,103.0,233.0
BIRC5,52.0,16.0,30.0,19.0,81.0,215.0
BLOC1S3,111.0,14.0,25.0,39.0,13.0,215.0
BLVRB,66.0,34.0,86.0,67.0,71.0,338.0
BNIP2,30.0,13.0,26.0,136.0,23.0,224.0
BORCS8,39.0,31.0,100.0,80.0,23.0,273.0
BRCC3,43.0,76.0,20.0,77.0,48.0,266.0
BRD4,46.0,23.0,94.0,63.0,54.0,268.0
BRD9,30.0,56.0,23.0,33.0,87.0,231.0
BRF1,57.0,26.0,122.0,36.0,39.0,291.0
BRPF1,64.0,43.0,97.0,43.0,28.0,269.0
BTBD2,34.0,23.0,83.0,23.0,16.0,189.0
BTBD9,48.0,31.0,50.0,100.0,81.0,303.0
BTF3,57.0,24.0,55.0,51.0,152.0,303.0
C10orf76,34.0,65.0,93.0,24.0,23.0,236.0
C11orf86,101.0,92.0,19.0,27.0,25.0,257.0
C14orf93,77.0,34.0,93.0,63.0,46.0,325.0
C16orf47,50.0,11.0,85.0,25.0,60.0,233.0
C19orf53,123.0,34.0,56.0,31.0,36.0,299.0
C1GALT1,49.0,33.0,39.0,156.0,21.0,300.0
C1QL3,38.0,25.0,56.0,35.0,99.0,247.0
C1QTNF9B,30.0,75.0,38.0,120.0,46.0,300.0
C1orf131,110.0,32.0,52.0,45.0,88.0,322.0
C21orf59,49.0,31.0,110.0,38.0,113.0,326.0
C2CD3,67.0,70.0,35.0,121.0,42.0,337.0
C3orf18,33.0,22.0,19.0,26.0,76.0,177.0
C5orf17,103.0,71.0,41.0,68.0,17.0,311.0
C5orf42,62.0,26.0,84.0,41.0,61.0,284.0
C5orf64,27.0,10.0,20.0,40.0,99.0,205.0
C7orf55-LUC7L2,55.0,16.0,89.0,47.0,82.0,295.0
C7orf61,54.0,27.0,65.0,61.0,112.0,303.0
C9orf114,70.0,37.0,86.0,49.0,22.0,282.0
CA5A,56.0,101.0,27.0,58.0,24.0,264.0
CACNB3,38.0,23.0,102.0,33.0,29.0,218.0
CAMK1,26.0,86.0,35.0,85.0,37.0,264.0
CAPN5,39.0,25.0,102.0,43.0,57.0,279.0
CARMIL2,111.0,38.0,51.0,42.0,53.0,300.0
CARNMT1,66.0,17.0,42.0,28.0,86.0,231.0
CBLB,70.0,17.0,95.0,34.0,30.0,254.0
CCAR1,117.0,47.0,41.0,42.0,40.0,295.0
CCDC146,58.0,46.0,25.0,140.0,48.0,317.0
CCDC189,103.0,50.0,52.0,85.0,54.0,347.0
CCDC32,112.0,34.0,75.0,37.0,56.0,315.0
CCDC47,38.0,40.0,35.0,120.0,23.0,257.0
CCDC84,67.0,25.0,56.0,130.0,20.0,303.0
CCNH,33.0,29.0,112.0,97.0,38.0,288.0
CCNK,45.0,17.0,83.0,28.0,54.0,248.0
CCP110,55.0,71.0,91.0,47.0,13.0,263.0
CCZ1,44.0,14.0,34.0,96.0,86.0,268.0
CD200R1,61.0,25.0,89.0,31.0,34.0,233.0
CD27,108.0,44.0,25.0,23.0,23.0,241.0
CDC37,102.0,48.0,54.0,55.0,53.0,305.0
CDCP1,42.0,92.0,24.0,46.0,26.0,223.0
CDH13,63.0,33.0,86.0,56.0,81.0,326.0
CDH15,31.0,15.0,37.0,40.0,84.0,212.0
CDH17,104.0,52.0,14.0,23.0,18.0,209.0
CDHR5,123.0,30.0,28.0,36.0,33.0,248.0
CDIP1,65.0,26.0,57.0,47.0,84.0,268.0
CDK1,102.0,27.0,54.0,71.0,59.0,312.0
CDK6,53.0,78.0,24.0,90.0,18.0,265.0
