Gene,Mito,ConA,DAPI,WGA,Phalloidin,Sum
A1CF,9.0,4.0,13.0,9.0,37.0,79.0
A2ML1,11.0,1.0,11.0,9.0,15.0,55.0
A3GALT2,56.0,47.0,48.0,66.0,18.0,243.0
A4GNT,15.0,13.0,32.0,17.0,10.0,96.0
AADAC,29.0,4.0,14.0,17.0,10.0,79.0
AADACL2,14.0,9.0,9.0,9.0,13.0,58.0
AADACL3,32.0,16.0,17.0,8.0,14.0,88.0
AARD,31.0,22.0,76.0,28.0,25.0,197.0
ABCA13,9.0,9.0,16.0,27.0,14.0,83.0
ABCA6,16.0,8.0,12.0,10.0,25.0,76.0
ABCA9,13.0,8.0,13.0,12.0,24.0,76.0
ABCC12,15.0,5.0,25.0,13.0,9.0,73.0
ABCG5,15.0,8.0,29.0,9.0,12.0,90.0
ABCG8,26.0,16.0,14.0,45.0,18.0,122.0
ABHD16B,9.0,10.0,12.0,9.0,12.0,55.0
ABO,16.0,5.0,13.0,6.0,30.0,80.0
ACAN,10.0,10.0,19.0,7.0,16.0,68.0
ACCSL,39.0,14.0,35.0,18.0,41.0,152.0
ACER1,21.0,15.0,15.0,16.0,16.0,90.0
ACKR1,16.0,4.0,11.0,7.0,13.0,57.0
ACOD1,4.0,1.0,3.0,3.0,5.0,29.0
ACOT12,17.0,7.0,38.0,26.0,12.0,100.0
ACP7,4.0,3.0,6.0,4.0,7.0,28.0
ACR,80.0,73.0,77.0,100.0,17.0,348.0
ACSM1,16.0,7.0,14.0,17.0,20.0,77.0
ACSM2A,12.0,22.0,30.0,21.0,13.0,102.0
ACSM2B,15.0,13.0,9.0,15.0,18.0,78.0
ACSM4,23.0,11.0,29.0,15.0,22.0,100.0
ACSM6,18.0,17.0,28.0,25.0,40.0,139.0
ACTL6B,20.0,13.0,16.0,11.0,26.0,104.0
ACTL7B,14.0,8.0,19.0,15.0,14.0,77.0
ACTL9,20.0,8.0,18.0,10.0,14.0,78.0
ACTRT1,21.0,8.0,20.0,11.0,19.0,82.0
ACTRT2,22.0,8.0,13.0,14.0,29.0,92.0
ACVR1C,29.0,13.0,17.0,34.0,11.0,117.0
ACY3,20.0,8.0,16.0,10.0,17.0,75.0
ADAD1,15.0,12.0,18.0,18.0,21.0,93.0
ADAD2,25.0,10.0,30.0,11.0,18.0,99.0
ADAM2,16.0,5.0,18.0,13.0,15.0,79.0
ADAM28,22.0,10.0,22.0,6.0,16.0,76.0
ADAM29,10.0,6.0,12.0,4.0,8.0,40.0
ADAM30,8.0,12.0,11.0,14.0,15.0,62.0
ADAM7,13.0,8.0,30.0,10.0,13.0,75.0
ADAMDEC1,31.0,6.0,14.0,13.0,16.0,84.0
ADAMTS17,36.0,21.0,42.0,49.0,15.0,156.0
ADAMTS19,25.0,25.0,17.0,11.0,40.0,127.0
ADAMTS20,26.0,8.0,15.0,8.0,22.0,80.0
ADAMTS9,11.0,10.0,8.0,9.0,17.0,71.0
ADARB2,16.0,10.0,10.0,10.0,14.0,65.0
ADCY2,19.0,7.0,12.0,16.0,18.0,78.0
ADCY8,17.0,12.0,24.0,8.0,21.0,86.0
ADCYAP1,48.0,14.0,20.0,18.0,21.0,136.0
ADCYAP1R1,31.0,11.0,23.0,17.0,19.0,105.0
ADGB,10.0,6.0,14.0,6.0,15.0,52.0
ADGRA1,13.0,24.0,11.0,13.0,9.0,72.0
ADGRE3,11.0,8.0,12.0,11.0,11.0,62.0
ADGRF2,15.0,23.0,11.0,11.0,13.0,80.0
ADGRG3,18.0,8.0,9.0,10.0,12.0,57.0
ADGRG4,22.0,12.0,22.0,15.0,29.0,100.0
ADGRG7,21.0,10.0,23.0,24.0,14.0,92.0
ADH1A,16.0,7.0,12.0,8.0,22.0,72.0
ADH1B,10.0,5.0,16.0,7.0,13.0,55.0
ADH1C,20.0,6.0,7.0,10.0,14.0,63.0
ADH4,14.0,8.0,17.0,7.0,13.0,62.0
ADH6,18.0,7.0,11.0,7.0,16.0,75.0
ADIG,22.0,7.0,16.0,16.0,30.0,97.0
ADIPOQ,66.0,22.0,41.0,16.0,13.0,157.0
ADRA1A,22.0,8.0,15.0,9.0,19.0,93.0
ADRA1D,13.0,10.0,44.0,11.0,22.0,110.0
ADRA2B,40.0,32.0,17.0,33.0,38.0,160.0
ADRB3,26.0,32.0,36.0,13.0,9.0,122.0
AFF2,7.0,16.0,13.0,10.0,8.0,59.0
AFM,6.0,6.0,15.0,6.0,16.0,55.0
AGMO,85.0,22.0,20.0,16.0,14.0,166.0
AGR3,33.0,8.0,18.0,32.0,13.0,116.0
AGRP,18.0,11.0,15.0,13.0,12.0,77.0
AGXT,30.0,9.0,12.0,9.0,13.0,76.0
AGXT2,19.0,12.0,9.0,8.0,13.0,66.0
AHSG,38.0,16.0,28.0,20.0,17.0,131.0
AHSP,10.0,4.0,19.0,12.0,16.0,65.0
AIPL1,42.0,18.0,31.0,35.0,23.0,155.0
AIRE,20.0,22.0,26.0,12.0,13.0,101.0
AJAP1,14.0,4.0,32.0,20.0,35.0,109.0
AKAP14,10.0,8.0,24.0,15.0,19.0,88.0
AKAP4,33.0,17.0,71.0,20.0,20.0,169.0
AKR1B15,20.0,8.0,59.0,10.0,17.0,119.0
AKR1C4,15.0,8.0,10.0,13.0,17.0,67.0
AKR1D1,25.0,14.0,23.0,9.0,12.0,93.0
ALAS2,15.0,6.0,11.0,12.0,12.0,59.0
ALG1L2,26.0,18.0,35.0,21.0,15.0,124.0
ALKAL1,5.0,5.0,5.0,3.0,5.0,26.0
ALLC,18.0,11.0,14.0,11.0,12.0,73.0
ALOX15,23.0,21.0,25.0,43.0,30.0,144.0
ALOX15B,20.0,27.0,34.0,95.0,26.0,203.0
ALX3,15.0,12.0,30.0,17.0,12.0,84.0
AMELX,18.0,8.0,11.0,6.0,12.0,64.0
AMELY,14.0,17.0,10.0,17.0,21.0,83.0
AMER3,30.0,15.0,52.0,24.0,18.0,149.0
AMHR2,23.0,13.0,52.0,8.0,15.0,114.0
AMY1A,21.0,19.0,19.0,19.0,13.0,100.0
AMY1B,29.0,14.0,40.0,36.0,36.0,162.0
AMY1C,1.0,2.0,1.0,5.0,2.0,11.0
AMY2A,25.0,6.0,23.0,19.0,15.0,99.0
ANGPT4,34.0,39.0,16.0,18.0,13.0,131.0
ANHX,19.0,12.0,15.0,14.0,36.0,102.0
ANKDD1B,23.0,9.0,20.0,11.0,11.0,76.0
ANKRD22,18.0,8.0,15.0,17.0,16.0,77.0
ANKRD30A,14.0,10.0,15.0,12.0,8.0,56.0
ANKRD30BL,24.0,6.0,15.0,7.0,11.0,74.0
ANKRD33,43.0,8.0,19.0,11.0,31.0,122.0
ANKRD34C,12.0,18.0,62.0,38.0,13.0,141.0
ANKRD35,18.0,17.0,20.0,22.0,21.0,97.0
ANKRD45,12.0,6.0,17.0,8.0,29.0,88.0
ANKRD60,27.0,6.0,29.0,8.0,15.0,97.0
ANKRD62,22.0,14.0,28.0,27.0,13.0,109.0
ANKRD66,9.0,6.0,13.0,11.0,22.0,64.0
ANKRD7,56.0,16.0,52.0,48.0,29.0,219.0
ANKS4B,10.0,4.0,11.0,5.0,6.0,39.0
ANO5,14.0,6.0,12.0,10.0,19.0,79.0
ANP32D,19.0,14.0,35.0,6.0,21.0,101.0
APCS,15.0,10.0,12.0,14.0,12.0,69.0
APELA,11.0,8.0,11.0,9.0,13.0,58.0
APOA4,35.0,15.0,15.0,45.0,32.0,153.0
APOA5,42.0,15.0,19.0,12.0,17.0,111.0
APOB,17.0,9.0,25.0,16.0,17.0,94.0
APOBEC1,18.0,3.0,22.0,20.0,21.0,99.0
APOBEC3A,15.0,7.0,20.0,8.0,25.0,82.0
APOBEC4,18.0,17.0,25.0,12.0,19.0,98.0
APOBR,25.0,9.0,11.0,30.0,16.0,102.0
APOC3,11.0,13.0,14.0,16.0,10.0,75.0
APOC4,13.0,12.0,18.0,13.0,20.0,88.0
APOD,15.0,10.0,10.0,7.0,15.0,70.0
APOF,17.0,9.0,20.0,12.0,13.0,82.0
APOH,19.0,11.0,14.0,12.0,11.0,74.0
APOL4,15.0,7.0,22.0,7.0,11.0,73.0
APOL5,18.0,17.0,20.0,23.0,30.0,110.0
AQP10,12.0,10.0,44.0,26.0,19.0,111.0
AQP12A,10.0,8.0,12.0,15.0,17.0,68.0
AQP12B,19.0,9.0,8.0,9.0,13.0,65.0
AQP4,11.0,5.0,10.0,11.0,15.0,59.0
AQP8,28.0,18.0,35.0,18.0,16.0,121.0
AQP9,15.0,7.0,13.0,10.0,16.0,70.0
ARGFX,47.0,16.0,37.0,13.0,21.0,138.0
ARHGEF15,16.0,10.0,17.0,12.0,20.0,85.0
ARL11,11.0,11.0,21.0,10.0,13.0,67.0
ARL5C,27.0,15.0,14.0,22.0,12.0,95.0
ARL9,18.0,9.0,20.0,28.0,21.0,98.0
ARMC3,11.0,11.0,17.0,13.0,25.0,77.0
ARMH2,7.0,2.0,4.0,2.0,9.0,27.0
ARMS2,15.0,9.0,17.0,11.0,13.0,74.0
ARNT2,21.0,21.0,15.0,38.0,12.0,110.0
ARR3,14.0,7.0,14.0,18.0,20.0,85.0
ARRDC5,22.0,13.0,44.0,21.0,13.0,116.0
ARSF,23.0,21.0,25.0,26.0,20.0,119.0
ARSH,14.0,12.0,9.0,13.0,13.0,76.0
ART1,44.0,11.0,20.0,12.0,14.0,105.0
ART3,40.0,29.0,34.0,22.0,24.0,153.0
ART4,12.0,8.0,8.0,16.0,17.0,67.0
ARX,21.0,16.0,53.0,18.0,20.0,136.0
ASB10,44.0,37.0,35.0,41.0,38.0,206.0
ASB11,11.0,5.0,10.0,7.0,17.0,63.0
ASB15,12.0,6.0,7.0,17.0,12.0,62.0
ASB17,21.0,5.0,8.0,11.0,23.0,69.0
ASB4,18.0,25.0,18.0,38.0,13.0,110.0
ASB5,15.0,7.0,14.0,12.0,12.0,70.0
ASCL1,43.0,22.0,55.0,33.0,26.0,179.0
ASCL2,16.0,5.0,18.0,15.0,16.0,75.0
ASCL3,26.0,7.0,14.0,9.0,27.0,92.0
ASCL4,46.0,15.0,22.0,12.0,27.0,135.0
ASGR2,12.0,10.0,22.0,12.0,14.0,70.0
ASIC5,13.0,9.0,12.0,15.0,13.0,67.0
ASMT,14.0,10.0,18.0,10.0,16.0,80.0
ASPA,18.0,6.0,13.0,8.0,13.0,67.0
ASPDH,22.0,11.0,21.0,17.0,19.0,113.0
ASPN,26.0,6.0,15.0,3.0,23.0,79.0
ASTN1,16.0,9.0,14.0,28.0,14.0,85.0
ASXL3,19.0,8.0,11.0,8.0,12.0,71.0
ATOH1,11.0,8.0,34.0,16.0,17.0,94.0
ATP10B,13.0,8.0,12.0,15.0,12.0,65.0
ATP12A,32.0,27.0,16.0,56.0,14.0,147.0
ATP13A5,52.0,16.0,11.0,8.0,15.0,102.0
ATP1A2,35.0,30.0,25.0,94.0,17.0,204.0
ATP1A4,18.0,7.0,40.0,10.0,17.0,105.0
ATP1B4,25.0,16.0,11.0,9.0,13.0,87.0
ATP2B2,17.0,7.0,19.0,18.0,10.0,77.0
ATP2B3,16.0,10.0,27.0,15.0,19.0,93.0
ATP4A,13.0,9.0,34.0,13.0,20.0,96.0
ATP4B,20.0,8.0,47.0,10.0,26.0,109.0
ATP6V0D2,19.0,12.0,12.0,16.0,15.0,78.0
ATP8A2,18.0,8.0,21.0,15.0,10.0,80.0
ATXN3L,25.0,9.0,17.0,14.0,55.0,131.0
AVP,19.0,7.0,51.0,17.0,19.0,114.0
AVPR1B,32.0,11.0,8.0,18.0,16.0,93.0
AWAT1,17.0,8.0,16.0,11.0,12.0,71.0
AWAT2,24.0,9.0,24.0,17.0,15.0,93.0
B3GNT6,55.0,17.0,18.0,16.0,23.0,135.0
B4GALNT2,59.0,39.0,19.0,26.0,17.0,166.0
BANF2,20.0,24.0,22.0,23.0,24.0,122.0
BARX2,18.0,10.0,15.0,16.0,16.0,82.0
BBOX1,10.0,6.0,31.0,18.0,15.0,80.0
BCL6B,31.0,18.0,21.0,34.0,33.0,149.0
BCO1,19.0,12.0,24.0,19.0,22.0,102.0
BECN2,30.0,53.0,40.0,148.0,25.0,286.0
BEND2,26.0,15.0,21.0,25.0,26.0,104.0
BEND4,18.0,8.0,36.0,16.0,24.0,104.0
BEST2,23.0,16.0,33.0,25.0,22.0,120.0
BEX5,26.0,14.0,15.0,22.0,11.0,97.0
BFSP2,19.0,11.0,16.0,8.0,13.0,81.0
BHLHA9,56.0,54.0,36.0,53.0,34.0,234.0
BHLHE23,67.0,23.0,32.0,32.0,15.0,175.0
BHMG1,12.0,9.0,16.0,11.0,27.0,81.0
BHMT,24.0,10.0,13.0,19.0,14.0,90.0
BLID,10.0,9.0,18.0,9.0,13.0,67.0
BLK,8.0,12.0,12.0,12.0,13.0,63.0
BMP10,21.0,12.0,17.0,14.0,12.0,94.0
BMP15,20.0,12.0,48.0,17.0,25.0,139.0
BMP3,21.0,17.0,12.0,16.0,13.0,94.0
BMX,23.0,14.0,69.0,16.0,20.0,165.0
BOD1L2,14.0,6.0,13.0,10.0,19.0,66.0
BOLL,17.0,10.0,19.0,8.0,15.0,70.0
BPIFA1,28.0,9.0,32.0,20.0,17.0,110.0
BPIFA2,29.0,23.0,16.0,22.0,28.0,124.0
BPIFA3,22.0,33.0,26.0,14.0,39.0,135.0
BPIFB1,18.0,11.0,19.0,21.0,16.0,91.0
BPIFB2,27.0,12.0,25.0,23.0,14.0,107.0
BPIFB3,41.0,8.0,19.0,40.0,17.0,132.0
BPIFB4,15.0,8.0,22.0,27.0,28.0,102.0
BPIFB6,27.0,12.0,22.0,9.0,49.0,131.0
BPIFC,14.0,9.0,12.0,8.0,14.0,75.0
BPY2,5.0,4.0,5.0,4.0,8.0,27.0
BPY2B,6.0,4.0,6.0,3.0,8.0,38.0
BPY2C,8.0,6.0,10.0,9.0,16.0,58.0
BRDT,8.0,6.0,19.0,9.0,10.0,57.0
BRINP1,16.0,6.0,12.0,6.0,16.0,61.0
BRINP2,20.0,11.0,15.0,12.0,30.0,89.0
BRINP3,17.0,11.0,18.0,13.0,24.0,92.0
BRS3,18.0,14.0,13.0,18.0,38.0,104.0
BSND,14.0,18.0,20.0,16.0,31.0,104.0
BSPH1,8.0,5.0,10.0,12.0,8.0,44.0
BSX,19.0,11.0,14.0,13.0,14.0,74.0
BTBD17,28.0,10.0,38.0,17.0,16.0,117.0
BTG4,12.0,8.0,13.0,19.0,13.0,73.0
BTLA,26.0,19.0,17.0,16.0,19.0,103.0
BTNL2,16.0,5.0,12.0,18.0,15.0,72.0
BTNL3,21.0,6.0,20.0,11.0,16.0,77.0
BTNL8,11.0,6.0,17.0,10.0,19.0,67.0
C10orf120,9.0,5.0,8.0,9.0,19.0,58.0
C10orf143,12.0,8.0,9.0,8.0,17.0,64.0
C10orf53,10.0,11.0,20.0,10.0,13.0,72.0
C10orf71,16.0,8.0,20.0,14.0,21.0,92.0
C10orf99,24.0,9.0,14.0,19.0,20.0,92.0
C11orf16,10.0,12.0,8.0,12.0,14.0,58.0
C11orf21,18.0,18.0,22.0,10.0,17.0,92.0
C11orf87,7.0,8.0,11.0,9.0,16.0,58.0
C11orf91,25.0,11.0,12.0,12.0,54.0,119.0
C11orf97,72.0,42.0,16.0,39.0,12.0,186.0
C12orf50,12.0,8.0,43.0,15.0,16.0,108.0
C13orf42,18.0,11.0,10.0,13.0,12.0,71.0
C14orf39,17.0,8.0,9.0,7.0,19.0,62.0
C16orf78,12.0,9.0,13.0,9.0,14.0,60.0
C16orf82,20.0,13.0,13.0,25.0,14.0,98.0
C16orf90,17.0,12.0,12.0,24.0,19.0,91.0
C16orf92,62.0,9.0,17.0,29.0,30.0,149.0
C16orf96,16.0,12.0,16.0,15.0,31.0,98.0
C17orf64,22.0,10.0,26.0,10.0,18.0,104.0
C17orf98,25.0,11.0,64.0,23.0,43.0,175.0
C17orf99,15.0,11.0,21.0,20.0,16.0,85.0
C18orf63,13.0,10.0,16.0,6.0,11.0,64.0
C19orf18,19.0,12.0,15.0,11.0,13.0,76.0
C19orf67,14.0,11.0,9.0,21.0,12.0,71.0
C19orf81,30.0,6.0,15.0,5.0,23.0,90.0
C1QA,14.0,5.0,16.0,30.0,15.0,103.0
C1QB,24.0,15.0,17.0,16.0,17.0,103.0
C1QC,18.0,12.0,30.0,14.0,15.0,92.0
C1QL2,31.0,13.0,29.0,18.0,53.0,152.0
C1QTNF8,21.0,8.0,25.0,14.0,20.0,92.0
C1QTNF9,38.0,13.0,22.0,15.0,22.0,117.0
C1orf105,11.0,15.0,14.0,9.0,28.0,79.0
C1orf127,19.0,6.0,14.0,12.0,21.0,77.0
C1orf141,12.0,8.0,16.0,14.0,14.0,76.0
C1orf146,10.0,7.0,16.0,11.0,11.0,59.0
C1orf158,19.0,11.0,19.0,13.0,12.0,93.0
C1orf185,30.0,19.0,13.0,23.0,15.0,98.0
C1orf189,37.0,16.0,20.0,21.0,21.0,121.0
C1orf194,13.0,11.0,17.0,25.0,15.0,88.0
C1orf232,11.0,4.0,9.0,10.0,16.0,53.0
C1orf68,17.0,8.0,34.0,22.0,16.0,108.0
C1orf87,16.0,11.0,27.0,23.0,14.0,95.0
C1orf94,11.0,10.0,11.0,12.0,12.0,58.0
C20orf173,19.0,13.0,19.0,13.0,14.0,95.0
C20orf202,30.0,36.0,24.0,21.0,21.0,138.0
C20orf203,22.0,10.0,12.0,16.0,14.0,84.0
C20orf85,20.0,7.0,25.0,14.0,12.0,81.0
C21orf62,39.0,10.0,11.0,55.0,19.0,141.0
C22orf31,13.0,6.0,11.0,15.0,9.0,53.0
C22orf42,19.0,6.0,10.0,13.0,12.0,69.0
C2CD6,5.0,2.0,5.0,3.0,8.0,28.0
C2orf50,18.0,11.0,17.0,21.0,14.0,87.0
C2orf73,25.0,20.0,10.0,61.0,23.0,147.0
C2orf80,16.0,5.0,12.0,12.0,10.0,61.0
C2orf83,21.0,6.0,17.0,28.0,14.0,89.0
C3orf22,21.0,8.0,13.0,10.0,22.0,81.0
C3orf56,10.0,11.0,10.0,14.0,12.0,61.0
C3orf84,20.0,12.0,22.0,11.0,16.0,89.0
C3orf85,18.0,12.0,18.0,9.0,15.0,81.0
C4orf17,17.0,9.0,11.0,15.0,15.0,72.0
C4orf45,15.0,8.0,31.0,18.0,15.0,105.0
C4orf50,16.0,21.0,21.0,32.0,26.0,130.0
C4orf51,55.0,23.0,24.0,15.0,18.0,143.0
C5orf52,20.0,7.0,15.0,19.0,19.0,84.0
C5orf58,6.0,4.0,7.0,6.0,15.0,51.0
C6,10.0,4.0,13.0,9.0,11.0,50.0
C6orf118,17.0,12.0,23.0,15.0,13.0,86.0
C6orf15,43.0,15.0,16.0,24.0,60.0,169.0
C6orf52,12.0,10.0,16.0,15.0,33.0,100.0
C6orf58,19.0,8.0,16.0,10.0,21.0,88.0
C7,20.0,8.0,17.0,12.0,16.0,83.0
C7orf33,24.0,13.0,19.0,20.0,12.0,93.0
C8A,9.0,6.0,17.0,19.0,14.0,67.0
C8B,12.0,13.0,18.0,10.0,13.0,68.0
C8orf74,23.0,6.0,26.0,10.0,23.0,91.0
C9orf50,27.0,16.0,13.0,17.0,57.0,129.0
C9orf57,47.0,15.0,21.0,26.0,13.0,130.0
CA10,15.0,10.0,13.0,12.0,28.0,82.0
CA4,30.0,29.0,30.0,28.0,17.0,137.0
CA6,19.0,10.0,13.0,11.0,14.0,73.0
CA7,12.0,8.0,18.0,9.0,13.0,59.0
CA8,14.0,9.0,18.0,12.0,11.0,76.0
CABP1,20.0,12.0,14.0,14.0,19.0,85.0
CABP2,26.0,27.0,29.0,43.0,41.0,167.0
CABP5,17.0,32.0,16.0,27.0,40.0,142.0
CABS1,10.0,6.0,16.0,6.0,16.0,60.0
CACNA1B,29.0,18.0,14.0,25.0,22.0,108.0
CACNA1D,20.0,7.0,19.0,15.0,17.0,78.0
CACNA1E,24.0,5.0,12.0,9.0,16.0,73.0
CACNA1I,19.0,10.0,22.0,30.0,47.0,132.0
CACNA1S,20.0,9.0,18.0,10.0,21.0,89.0
CACNG1,18.0,16.0,23.0,13.0,27.0,94.0
CACNG2,37.0,31.0,21.0,27.0,13.0,134.0
CACNG7,15.0,7.0,20.0,11.0,41.0,99.0
CADM3,30.0,11.0,24.0,10.0,18.0,116.0
CALCA,20.0,19.0,14.0,20.0,23.0,110.0
CALCB,29.0,12.0,14.0,21.0,16.0,100.0
CALHM4,4.0,0.0,1.0,0.0,0.0,5.0
CALHM5,4.0,4.0,6.0,4.0,5.0,34.0
CALML5,42.0,49.0,55.0,67.0,18.0,232.0
CALN1,16.0,8.0,16.0,9.0,39.0,106.0
CALR3,34.0,28.0,25.0,11.0,14.0,118.0
CAMK1G,32.0,16.0,17.0,20.0,24.0,124.0
CAMK2A,27.0,11.0,11.0,10.0,15.0,89.0
CAMP,18.0,21.0,23.0,22.0,23.0,117.0
CAPN13,17.0,13.0,11.0,13.0,17.0,87.0
CAPN14,21.0,13.0,20.0,14.0,13.0,89.0
CAPN8,17.0,7.0,10.0,12.0,14.0,65.0
CAPN9,15.0,12.0,26.0,12.0,14.0,82.0
CAPZA3,26.0,13.0,29.0,15.0,18.0,109.0
CARD17,25.0,21.0,13.0,30.0,21.0,122.0
CARD18,11.0,5.0,15.0,5.0,34.0,78.0
CARTPT,36.0,14.0,12.0,28.0,27.0,136.0
CASP5,21.0,7.0,16.0,15.0,27.0,88.0
CASQ2,31.0,20.0,27.0,44.0,18.0,149.0
CASR,25.0,14.0,33.0,26.0,14.0,112.0
CATSPER4,17.0,8.0,16.0,19.0,13.0,77.0
CATSPERD,22.0,9.0,34.0,21.0,26.0,130.0
CBLN1,23.0,22.0,17.0,22.0,34.0,127.0
CBLN4,14.0,9.0,19.0,16.0,27.0,91.0
CCDC105,18.0,8.0,15.0,14.0,16.0,78.0
CCDC141,12.0,4.0,17.0,56.0,43.0,136.0
CCDC160,10.0,9.0,16.0,19.0,8.0,65.0
