Gene,Mito,ConA,DAPI,WGA,Phalloidin,Sum
A4GALT,26.0,9.0,51.0,17.0,11.0,121.0
AAAS,33.0,21.0,45.0,22.0,23.0,145.0
AADAT,45.0,7.0,15.0,29.0,43.0,153.0
AAGAB,26.0,23.0,42.0,22.0,17.0,135.0
AARSD1,23.0,20.0,43.0,18.0,17.0,135.0
ABCA2,31.0,20.0,50.0,30.0,18.0,159.0
ABCA3,29.0,18.0,42.0,21.0,14.0,132.0
ABCA7,32.0,30.0,35.0,22.0,26.0,146.0
ABCC6,15.0,8.0,61.0,16.0,9.0,121.0
ABCD2,30.0,10.0,14.0,22.0,49.0,129.0
ABCG2,53.0,22.0,19.0,40.0,12.0,150.0
ABHD14A,15.0,8.0,52.0,7.0,20.0,113.0
ABHD15,26.0,31.0,32.0,49.0,14.0,154.0
ABHD17B,16.0,10.0,70.0,10.0,23.0,136.0
ABLIM1,12.0,5.0,45.0,19.0,19.0,102.0
ACAD11,53.0,16.0,23.0,12.0,20.0,130.0
ACAP3,53.0,25.0,35.0,30.0,14.0,158.0
ACBD3,14.0,10.0,27.0,59.0,16.0,123.0
ACE,28.0,18.0,44.0,33.0,15.0,158.0
ACER3,13.0,9.0,32.0,9.0,43.0,116.0
ACLY,19.0,10.0,47.0,18.0,44.0,154.0
ACMSD,21.0,10.0,22.0,17.0,45.0,121.0
ACO1,49.0,20.0,18.0,17.0,13.0,123.0
ACOX3,18.0,7.0,12.0,15.0,45.0,108.0
ACP2,23.0,7.0,10.0,9.0,50.0,107.0
ACRBP,23.0,15.0,11.0,9.0,50.0,110.0
ACSF3,41.0,34.0,20.0,44.0,19.0,158.0
ACTG1,50.0,11.0,37.0,19.0,19.0,148.0
ACTN1,35.0,51.0,10.0,27.0,17.0,144.0
ACTN3,45.0,14.0,22.0,15.0,44.0,153.0
ACTN4,43.0,21.0,22.0,20.0,45.0,152.0
ACTR1B,22.0,14.0,14.0,53.0,28.0,143.0
ACTR5,25.0,18.0,30.0,73.0,15.0,160.0
ACVRL1,18.0,16.0,48.0,17.0,24.0,141.0
ADA,23.0,8.0,14.0,15.0,53.0,118.0
ADAM17,29.0,15.0,47.0,23.0,32.0,150.0
ADAM20,42.0,11.0,8.0,49.0,24.0,143.0
ADAMTS4,17.0,13.0,19.0,21.0,46.0,117.0
ADAMTS5,21.0,11.0,42.0,18.0,26.0,124.0
ADAMTSL2,45.0,15.0,16.0,24.0,39.0,149.0
ADCK4,28.0,7.0,18.0,15.0,47.0,122.0
ADGRB1,28.0,18.0,53.0,14.0,18.0,140.0
ADH5,60.0,19.0,17.0,27.0,15.0,143.0
ADM,26.0,13.0,51.0,33.0,28.0,158.0
ADO,56.0,17.0,33.0,13.0,24.0,160.0
ADORA1,38.0,18.0,26.0,45.0,24.0,158.0
ADPRH,24.0,14.0,17.0,85.0,17.0,158.0
ADRBK1,29.0,12.0,28.0,18.0,52.0,146.0
AEBP1,69.0,10.0,21.0,9.0,16.0,131.0
AFF3,24.0,30.0,20.0,14.0,24.0,115.0
AGAP2,16.0,6.0,13.0,10.0,52.0,104.0
AGAP3,43.0,30.0,20.0,34.0,9.0,142.0
AGAP5,56.0,33.0,29.0,24.0,21.0,164.0
AGTR1,28.0,12.0,54.0,9.0,13.0,126.0
AHCTF1,28.0,48.0,40.0,36.0,15.0,160.0
AHCYL2,17.0,9.0,16.0,29.0,54.0,124.0
AHNAK,22.0,60.0,17.0,35.0,27.0,165.0
AHSA2,33.0,13.0,20.0,43.0,12.0,128.0
AIFM1,19.0,8.0,16.0,9.0,72.0,129.0
AIM2,22.0,11.0,20.0,10.0,54.0,127.0
AK4,29.0,13.0,45.0,22.0,16.0,134.0
AKNA,16.0,8.0,20.0,46.0,15.0,103.0
AKR1E2,32.0,11.0,22.0,15.0,45.0,122.0
AKR7L,23.0,34.0,18.0,21.0,14.0,115.0
ALDH1A2,17.0,15.0,27.0,52.0,21.0,134.0
ALDH1L1,47.0,21.0,22.0,34.0,17.0,149.0
ALDH3A1,25.0,6.0,67.0,14.0,14.0,133.0
ALDH3A2,27.0,33.0,17.0,33.0,15.0,136.0
ALDH7A1,25.0,12.0,44.0,16.0,27.0,122.0
ALDH8A1,48.0,16.0,18.0,32.0,14.0,126.0
ALG11,30.0,14.0,48.0,14.0,39.0,147.0
ALG13,19.0,37.0,22.0,54.0,15.0,150.0
ALG1L,53.0,47.0,13.0,23.0,14.0,147.0
ALG8,19.0,8.0,14.0,18.0,53.0,120.0
ALKBH6,21.0,9.0,35.0,21.0,54.0,158.0
ALS2CR12,17.0,5.0,14.0,16.0,42.0,105.0
AMACR,27.0,23.0,13.0,55.0,14.0,142.0
AMD1,29.0,8.0,36.0,12.0,47.0,134.0
AMIGO2,21.0,16.0,34.0,41.0,25.0,145.0
AMOTL2,46.0,14.0,59.0,23.0,15.0,162.0
AMPD3,14.0,8.0,11.0,6.0,44.0,95.0
AMT,38.0,24.0,20.0,42.0,24.0,156.0
ANAPC10,62.0,11.0,19.0,22.0,23.0,147.0
ANAPC16,26.0,31.0,30.0,34.0,15.0,137.0
ANAPC7,12.0,8.0,47.0,23.0,43.0,137.0
ANG,27.0,15.0,43.0,37.0,40.0,163.0
ANGEL1,18.0,32.0,11.0,36.0,24.0,131.0
ANKFY1,31.0,49.0,20.0,28.0,20.0,145.0
ANKMY2,13.0,13.0,19.0,41.0,18.0,113.0
ANKRD13A,53.0,19.0,25.0,15.0,39.0,160.0
ANKRD13C,20.0,9.0,15.0,20.0,53.0,119.0
ANKRD17,33.0,17.0,45.0,13.0,11.0,124.0
ANKRD2,47.0,27.0,24.0,30.0,21.0,159.0
ANKRD34B,58.0,31.0,30.0,13.0,17.0,159.0
ANKRD36C,21.0,7.0,58.0,10.0,26.0,135.0
ANKRD42,34.0,22.0,44.0,23.0,19.0,149.0
ANKRD49,37.0,29.0,20.0,48.0,17.0,155.0
ANKS1A,40.0,16.0,24.0,23.0,45.0,153.0
ANO1,12.0,9.0,28.0,13.0,48.0,120.0
ANO10,20.0,15.0,56.0,38.0,20.0,154.0
ANP32A,20.0,9.0,43.0,24.0,18.0,121.0
ANXA2,18.0,9.0,16.0,14.0,47.0,107.0
ANXA3,19.0,12.0,55.0,12.0,15.0,116.0
ANXA9,14.0,9.0,16.0,11.0,42.0,103.0
AOX1,50.0,21.0,15.0,21.0,14.0,131.0
AP1M2,32.0,26.0,13.0,48.0,37.0,163.0
AP1S1,31.0,25.0,56.0,23.0,25.0,164.0
AP2B1,52.0,21.0,23.0,17.0,13.0,138.0
AP3D1,54.0,20.0,14.0,45.0,18.0,159.0
AP5S1,37.0,19.0,22.0,58.0,15.0,158.0
APEX1,17.0,8.0,47.0,11.0,27.0,111.0
API5,24.0,10.0,34.0,23.0,45.0,147.0
APOBEC3G,19.0,21.0,19.0,29.0,47.0,135.0
APOC1,17.0,11.0,45.0,13.0,35.0,129.0
APOC2,57.0,18.0,26.0,26.0,18.0,148.0
APOO,19.0,13.0,54.0,20.0,13.0,123.0
APRT,27.0,8.0,27.0,15.0,77.0,165.0
AQP5,27.0,14.0,24.0,22.0,53.0,146.0
AQP6,39.0,43.0,16.0,39.0,15.0,157.0
ARAP1,46.0,14.0,40.0,32.0,16.0,157.0
ARGLU1,14.0,14.0,15.0,29.0,47.0,136.0
ARHGAP1,29.0,17.0,42.0,32.0,29.0,158.0
ARHGAP11B,32.0,19.0,21.0,45.0,36.0,164.0
ARHGAP21,26.0,7.0,15.0,14.0,62.0,130.0
ARHGAP25,38.0,28.0,18.0,41.0,11.0,136.0
ARHGAP27,25.0,10.0,64.0,28.0,15.0,155.0
ARHGAP31,55.0,25.0,16.0,36.0,10.0,142.0
ARHGAP44,36.0,16.0,23.0,45.0,12.0,146.0
ARHGDIB,13.0,11.0,23.0,50.0,10.0,113.0
ARL17A,32.0,18.0,48.0,21.0,39.0,160.0
ARL4D,16.0,38.0,22.0,37.0,14.0,132.0
ARL8B,20.0,12.0,15.0,45.0,21.0,116.0
ARMC10,53.0,13.0,24.0,43.0,19.0,159.0
ARMC5,20.0,9.0,45.0,14.0,13.0,115.0
ARNT,28.0,16.0,16.0,25.0,68.0,151.0
ARPC1A,51.0,15.0,17.0,16.0,30.0,135.0
ARPP19,22.0,12.0,21.0,47.0,42.0,144.0
ARRB1,22.0,9.0,63.0,17.0,14.0,130.0
ARRDC1,40.0,31.0,18.0,21.0,22.0,133.0
ARSG,26.0,9.0,63.0,16.0,15.0,130.0
ART5,21.0,11.0,14.0,9.0,47.0,121.0
ASB16,33.0,21.0,44.0,19.0,16.0,136.0
ASCC2,17.0,14.0,50.0,12.0,23.0,118.0
ASMTL,36.0,9.0,30.0,13.0,59.0,148.0
ASPHD1,24.0,27.0,25.0,43.0,17.0,143.0
ASTL,26.0,10.0,43.0,33.0,35.0,147.0
ASXL1,16.0,8.0,28.0,16.0,51.0,122.0
ATAD3A,54.0,30.0,29.0,31.0,11.0,159.0
ATF1,22.0,14.0,10.0,11.0,53.0,123.0
ATP10A,39.0,14.0,15.0,62.0,15.0,156.0
ATP13A1,20.0,16.0,49.0,19.0,25.0,137.0
ATP13A3,30.0,9.0,34.0,18.0,58.0,159.0
ATP13A4,37.0,32.0,11.0,24.0,10.0,125.0
ATP5B,33.0,11.0,13.0,8.0,52.0,123.0
ATP5I,20.0,10.0,17.0,13.0,71.0,149.0
ATP5O,19.0,22.0,16.0,50.0,36.0,160.0
ATP6AP2,24.0,18.0,25.0,57.0,37.0,164.0
ATP6V0A1,20.0,25.0,24.0,52.0,18.0,150.0
ATPAF2,29.0,18.0,41.0,43.0,19.0,165.0
ATR,54.0,14.0,18.0,22.0,35.0,147.0
AUP1,32.0,23.0,54.0,25.0,16.0,149.0
AUTS2,16.0,5.0,23.0,19.0,44.0,108.0
AXIN2,22.0,8.0,43.0,14.0,17.0,111.0
AZU1,44.0,15.0,23.0,16.0,12.0,127.0
B3GNT2,20.0,8.0,24.0,22.0,56.0,129.0
B4GALNT3,32.0,38.0,17.0,20.0,19.0,124.0
B4GALT1,18.0,8.0,29.0,68.0,23.0,152.0
B4GALT5,23.0,12.0,21.0,32.0,48.0,142.0
B4GALT7,28.0,13.0,60.0,29.0,15.0,152.0
B4GAT1,30.0,22.0,18.0,29.0,49.0,154.0
B9D1,26.0,26.0,18.0,66.0,15.0,159.0
BACE2,26.0,12.0,14.0,32.0,49.0,139.0
BAG5,27.0,38.0,22.0,11.0,44.0,151.0
BAHD1,14.0,14.0,56.0,23.0,36.0,143.0
BAIAP2L1,38.0,16.0,48.0,19.0,23.0,160.0
BAIAP3,56.0,31.0,25.0,31.0,14.0,158.0
BARD1,33.0,8.0,17.0,21.0,57.0,142.0
BASP1,23.0,10.0,55.0,13.0,18.0,132.0
BAZ1A,20.0,10.0,18.0,36.0,50.0,139.0
BAZ2A,24.0,15.0,15.0,18.0,44.0,122.0
BBIP1,41.0,17.0,10.0,43.0,17.0,127.0
BBS12,45.0,37.0,28.0,24.0,13.0,142.0
BBS2,34.0,8.0,35.0,17.0,50.0,151.0
BBS5,56.0,15.0,11.0,46.0,17.0,146.0
BBS7,26.0,30.0,34.0,12.0,14.0,120.0
BBX,52.0,21.0,27.0,20.0,12.0,128.0
BCAR1,29.0,9.0,20.0,15.0,46.0,120.0
BCDIN3D,48.0,12.0,23.0,9.0,18.0,117.0
BCL2L13,20.0,5.0,43.0,16.0,32.0,123.0
BCL2L15,15.0,14.0,54.0,16.0,13.0,118.0
BCL3,25.0,12.0,48.0,17.0,16.0,117.0
BCL6,25.0,14.0,25.0,46.0,32.0,144.0
BCL7B,25.0,7.0,14.0,14.0,45.0,111.0
