Gene,Mito,ConA,DAPI,WGA,Phalloidin,Sum
AAMP,75.0,26.0,31.0,20.0,23.0,179.0
ABCA12,33.0,14.0,83.0,26.0,22.0,186.0
ABCB4,26.0,16.0,15.0,94.0,27.0,183.0
ABCB5,31.0,19.0,21.0,59.0,72.0,198.0
ABCC10,68.0,18.0,27.0,20.0,20.0,167.0
ABCC4,27.0,21.0,78.0,23.0,16.0,173.0
ABCF2,47.0,20.0,20.0,22.0,53.0,174.0
ABHD12B,30.0,20.0,21.0,21.0,69.0,161.0
ABI3,38.0,18.0,56.0,14.0,19.0,157.0
ABL1,39.0,50.0,26.0,20.0,23.0,168.0
ABL2,27.0,16.0,56.0,24.0,26.0,141.0
ABLIM3,31.0,74.0,15.0,48.0,19.0,193.0
ACADVL,30.0,9.0,19.0,19.0,65.0,153.0
ACOT13,38.0,37.0,62.0,23.0,20.0,177.0
ACOT2,74.0,31.0,19.0,27.0,11.0,169.0
ACOT8,36.0,12.0,19.0,71.0,56.0,189.0
ACOX1,30.0,16.0,26.0,16.0,73.0,168.0
ACRBP,75.0,27.0,16.0,26.0,22.0,174.0
ACTR3B,26.0,12.0,17.0,26.0,52.0,134.0
ACTR8,27.0,8.0,20.0,52.0,52.0,165.0
ACVR2A,36.0,33.0,59.0,22.0,18.0,181.0
ACVRL1,33.0,15.0,37.0,19.0,55.0,159.0
ADAM11,23.0,15.0,25.0,63.0,54.0,184.0
ADAMTS3,46.0,50.0,33.0,21.0,33.0,180.0
ADARB1,24.0,47.0,53.0,34.0,27.0,195.0
ADCK5,55.0,51.0,30.0,29.0,25.0,197.0
ADCY4,30.0,12.0,59.0,43.0,15.0,166.0
ADGRB2,17.0,18.0,33.0,13.0,65.0,150.0
ADGRG1,43.0,20.0,33.0,27.0,57.0,164.0
ADGRL1,45.0,20.0,56.0,17.0,28.0,182.0
ADH5,29.0,12.0,21.0,18.0,59.0,145.0
ADRA1B,47.0,46.0,29.0,19.0,29.0,169.0
AFAP1L2,25.0,24.0,42.0,77.0,20.0,192.0
AGAP11,36.0,55.0,31.0,60.0,20.0,195.0
AGPAT1,39.0,11.0,24.0,78.0,27.0,179.0
AHCTF1,29.0,9.0,41.0,19.0,64.0,155.0
AHCYL1,29.0,17.0,38.0,22.0,74.0,176.0
AHNAK,27.0,24.0,16.0,78.0,13.0,167.0
