Gene,Cells_Granularity_2_WGA
AARS,0.0
ABT1,0.0
ADCY4,0.0
ADD2,0.0
ADM,0.0
ALDH1A1,0.0
AP1G2,0.0
AP1M1,0.0
ARAP3,0.0
ARF4,0.0
ARF6,0.0
ARL8B,0.0
ATP2A2,0.0
ATP5MC1,0.0
ATP6AP1,0.0
ATP6V0B,0.0
ATP6V0D1,0.0
ATP6V1A,0.0
ATP6V1B2,0.0
ATP6V1C1,0.0
ATP6V1D,0.0
ATP6V1E1,0.0
ATP6V1G1,0.0
ATP6V1H,0.0
BECN2,0.0
BLVRA,0.0
BORCS5,0.0
BSPRY,0.0
BTAF1,0.0
BUD23,0.0
C11orf31,0.0
C14orf178,0.0
C14orf79,0.0
C16orf93,0.0
C19orf40,0.0
C7orf55,0.0
C9orf135,0.0
CALHM4,0.0
CASC5,0.0
CASTOR3,0.0
CCDC124,0.0
CCDC198,0.0
CCDC79,0.0
CCDC84,0.0
CCNI2,0.0
CCZ1,0.0
CD8B,0.0
CDT1,0.0
CEMIP,0.0
CENPX,0.0
CFAP77,0.0
CIDEC,0.0
CLINT1,0.0
CNOT11,0.0
COP1,0.0
CSDE1,0.0
CSNK1A1,0.0
CSNK2A1,0.0
CSNK2A3,0.0
CSNK2B,0.0
CT47A8,0.0
CTF1,0.0
CTRB1,0.0
CTSA,0.0
CTSL,0.0
DALRD3,0.0
DENND1A,0.0
DET1,0.0
DOK4,0.0
DOLK,0.0
DROSHA,0.0
E4F1,0.0
EEF1A1,0.0
EIF4H,0.0
ELOC,0.0
ELOF1,0.0
EMC7,0.0
ENTPD4,0.0
ERBB2IP,0.0
ERO1LB,0.0
ESF1,0.0
ESS2,0.0
EXOC3,0.0
FAM127B,0.0
FAM215A,0.0
FAM21A,0.0
FAM25C,0.0
FAM60A,0.0
FAM65C,0.0
FBXO9,0.0
FNDC11,0.0
FYB2,0.0
GALNT17,0.0
GARS,0.0
GGPS1,0.0
GJD2,0.0
GLB1,0.0
GNB5,0.0
GNPTAB,0.0
GOLGA6L1,0.0
GOLGA8O,0.0
GPLD1,0.0
H1F0,0.0
HIST1H2BB,0.0
HOXB2,0.0
HRSP12,0.0
IGF2R,0.0
IL20RA,0.0
IL4R,0.0
IMP3,0.0
INPPL1,0.0
ITGB5,0.0
JPH4,0.0
KATNB1,0.0
KIAA0430,0.0
KISS1R,0.0
KRT33A,0.0
KRTAP3-2,0.0
LARGE1,0.0
LOC101060588,0.0
LOC101929479,0.0
LOC102724862,0.0
LOC105373311,0.0
LOC105374811,0.0
LOC105378479,0.0
LOC388849,0.0
LOC645202,0.0
LPAR2,0.0
LRRC24,0.0
LSM7,0.0
MACF1,0.0
MAIP1,0.0
MAP3K21,0.0
MAP7,0.0
MARF1,0.0
MBD4,0.0
METTL10,0.0
MGAT5,0.0
MINDY2,0.0
MKKS,0.0
MOB4,0.0
MOSMO,0.0
MROH2B,0.0
MYO9B,0.0
MYPOP,0.0
NEK2,0.0
NELFCD,0.0
NF1,0.0
NGDN,0.0
