Gene,Cells_Granularity_2_WGA
NIPBL,0.0
NMRAL1,0.0
NOL11,0.0
NOL7,0.0
NPC1,0.0
NPC2,0.0
NPIPA1,0.0
NPTX2,0.0
NSMCE3,0.0
NUSAP1,0.0
NXT1,0.0
OR52E5,0.0
PAK7,0.0
PAM16,0.0
PAPL,0.0
PAXIP1,0.0
PCDHA4,0.0
PCDHGA1,0.0
PDF,0.0
PDPK1,0.0
PHGR1,0.0
PIGB,0.0
PLPP2,0.0
PLPP5,0.0
PML,0.0
PNMAL2,0.0
POLR3H,0.0
PPAP2A,0.0
PPAPDC1A,0.0
PPAPDC3,0.0
PPHLN1,0.0
PPP1R12A,0.0
PPP1R14A,0.0
PPP1R3A,0.0
PPP2CB,0.0
PPP4R3A,0.0
PTDSS1,0.0
PWP2,0.0
RAB6A,0.0
RAB8A,0.0
RBBP6,0.0
RBM48,0.0
RCC1,0.0
REXO5,0.0
RGP1,0.0
RHOT1,0.0
RIOX1,0.0
RNF169,0.0
RNF20,0.0
RNF38,0.0
RNF39,0.0
RNGTT,0.0
RPP25,0.0
RPP40,0.0
RPS21,0.0
RPS25,0.0
RPS28,0.0
RPS8,0.0
RUSC1,0.0
SAMM50,0.0
SDR42E1,0.0
SEC13,0.0
SELENOO,0.0
SELV,0.0
SETDB1,0.0
SF3B3,0.0
SGOL2,0.0
SH2D7,0.0
SIX6,0.0
SLC22A12,0.0
SLC35E2A,0.0
SLC39A1,0.0
SMC3,0.0
SNORC,0.0
SNX3,0.0
SPART,0.0
SPATA31C2,0.0
SPG11,0.0
SPNS1,0.0
SRPR,0.0
STAG2,0.0
STARD9,0.0
STRA8,0.0
STRAP,0.0
SULT1A4,0.0
TAAR6,0.0
TAF2,0.0
TAS2R14,0.0
TBC1D21,0.0
TBC1D3G,0.0
TBC1D3I,0.0
TESMIN,0.0
TEX45,0.0
TGIF2-C20orf24,0.0
THAP11,0.0
TMBIM4,0.0
TMED10,0.0
TMEM251,0.0
TMEM268,0.0
TMEM60,0.0
TMX1,0.0
TNPO1,0.0
TOMM70A,0.0
TPGS1,0.0
TPSG1,0.0
TRMT11,0.0
TRPM1,0.0
TTC24,0.0
TXNL4A,0.0
U2AF1L4,0.0
UBQLN1,0.0
UGP2,0.0
USP17L28,0.0
UTP4,0.0
VDAC1,0.0
VPS11,0.0
VPS26A,0.0
VPS28,0.0
VPS29,0.0
VPS35,0.0
WASH1,0.0
WASHC1,0.0
WASHC2C,0.0
WASHC4,0.0
WDR25,0.0
WDR3,0.0
WDR7,0.0
WHAMM,0.0
XIRP1,0.0
XPO1,0.0
YRDC,0.0
ZAN,0.0
ZBTB8OS,0.0
ZC3H18,0.0
ZC3H7B,0.0
ZNF257,0.0
ZNF280D,0.0
ZNF496,0.0
ZNF668,0.0
ZNF841,0.0
ZRSR2,0.0
