Gene,Cells_Granularity_5_WGA
ACTR3,0.0
ANGPTL8,0.0
APITD1,0.0
ARL2,0.0
ATP6V1A,0.0
ATP6V1B2,0.0
ATP6V1C1,0.0
ATP6V1D,0.0
B4GALT1,0.0
BANF1,0.0
C19orf52,0.0
C6orf165,0.0
CASTOR3,0.0
CBARP,0.0
CBWD6,0.0
CCDC42B,0.0
CCDC93,0.0
CCND1,0.0
CIAO1,0.0
CUL3,0.0
DEFB130B,0.0
DENR,0.0
DET1,0.0
DFNB31,0.0
DHFR2,0.0
DMAC1,0.0
ELMO2,0.0
ERP44,0.0
EXOSC6,0.0
FAM65C,0.0
FAM96B,0.0
FOXD3,0.0
FYB2,0.0
GGPS1,0.0
GTF2A2,0.0
HIST2H3A,0.0
HN1L,0.0
HNRNPL,0.0
HS1BP3,0.0
IGF2BP2,0.0
ITGB1,0.0
ITGB5,0.0
KANSL3,0.0
KCTD17,0.0
KIAA0195,0.0
KIAA0226,0.0
KRT33A,0.0
KRTAP4-7,0.0
LDOC1L,0.0
LINC02210-CRHR1,0.0
LNPK,0.0
LOC102724862,0.0
MRPL58,0.0
NCKAP1,0.0
NDUFB11,0.0
NMT1,0.0
NPLOC4,0.0
NSMCE3,0.0
NUMA1,0.0
OMP,0.0
PGBD3,0.0
PGGHG,0.0
PGGT1B,0.0
PIK3C3,0.0
PJVK,0.0
PPP4R3B,0.0
PVRL4,0.0
PYCRL,0.0
RBM15,0.0
RFWD2,0.0
RGPD5,0.0
RIOX1,0.0
RPL17-C18orf32,0.0
RPS16,0.0
SEC13,0.0
SLC22A18,0.0
SLC35E2A,0.0
SMG1,0.0
SMG9,0.0
SMN2,0.0
SP140L,0.0
SYT9,0.0
TBC1D3D,0.0
TBC1D3G,0.0
TCEB1,0.0
TLN1,0.0
TMED2,0.0
TP53RK,0.0
TP53TG3E,0.0
UBE2V1,0.0
USP8,0.0
USP9X,0.0
VAC14,0.0
WDR1,0.0
ZEB1,0.0
