Gene,Cells_Granularity_6_WGA
ACTR2,0.0
AIM1L,0.0
APITD1,0.0
ARL14EP,0.0
ARPC2,0.0
ARPC4,0.0
ASCL5,0.0
ATP5F1C,0.0
ATP6AP1,0.0
ATP6V0C,0.0
ATP6V0D1,0.0
ATP6V1A,0.0
ATP6V1C1,0.0
ATP6V1E1,0.0
BBIP1,0.0
BIRC5,0.0
BORCS8-MEF2B,0.0
C11orf31,0.0
C14orf79,0.0
C16orf13,0.0
C1orf111,0.0
C2orf81,0.0
C9orf142,0.0
CALHM1,0.0
CASC5,0.0
CASTOR3,0.0
CCDC189,0.0
CCDC42B,0.0
CDC23,0.0
CDK12,0.0
CECR1,0.0
CECR6,0.0
CFAP161,0.0
CFAP77,0.0
CGB3,0.0
CHRNB2,0.0
CUL2,0.0
DET1,0.0
DIO3,0.0
DRC3,0.0
ELOC,0.0
FMC1,0.0
HAUS4,0.0
HIST1H2AK,0.0
HN1L,0.0
HSPA1B,0.0
ITGB1,0.0
KIAA0226,0.0
KIAA1407,0.0
KRT18,0.0
LEXM,0.0
LIMS4,0.0
LOC102724862,0.0
LOH12CR1,0.0
MAIP1,0.0
MCRS1,0.0
METTL10,0.0
NAA30,0.0
NCKAP1,0.0
NPLOC4,0.0
NRDC,0.0
OR4F3,0.0
PAXX,0.0
PGGHG,0.0
PIK3C3,0.0
PIP4P1,0.0
POLA2,0.0
POLR2F,0.0
PPAP2A,0.0
PPP1CB,0.0
PPP4R3A,0.0
PRELID3A,0.0
PRRT1,0.0
PTPA,0.0
PYCR1,0.0
RABGGTB,0.0
RAC1,0.0
RAPGEF1,0.0
RASSF5,0.0
RFC3,0.0
RPRD1B,0.0
RXRB,0.0
RXYLT1,0.0
SAP18,0.0
SCAF1,0.0
SF3A3,0.0
SGOL2,0.0
SNRPE,0.0
ST6GALNAC4,0.0
STON1-GTF2A1L,0.0
TBC1D3D,0.0
TBC1D3G,0.0
TLX2,0.0
TPD52L2,0.0
TSC1,0.0
UBTF,0.0
UGT2B7,0.0
UHRF1,0.0
USP17L28,0.0
USP8,0.0
WNK4,0.0
YJU2,0.0
ZEB1,0.0
ZMYM6NB,0.0
ZNF462,0.0
ZNF598,0.0
ZNF660-ZNF197,0.0
ZNHIT2,0.0
ZSWIM9,0.0
ZUP1,0.0
