Gene,Cells_Granularity_3_WGA
ABT1,0.0
ASCC3,0.0
ATP6V0B,0.0
ATP6V0C,0.0
ATP6V1A,0.0
ATP6V1C1,0.0
ATP6V1F,0.0
ATP6V1G1,0.0
ATP6V1H,0.0
C14orf79,0.0
CCT4,0.0
CCT5,0.0
CENPX,0.0
CRTAP,0.0
CRYBG1,0.0
CSNK2B,0.0
DDX10,0.0
DDX6,0.0
DHX37,0.0
ELOB,0.0
EXOC4,0.0
FAM26E,0.0
GATSL3,0.0
GNPTG,0.0
GOLGA6L3,0.0
GTF2A2,0.0
HOPX,0.0
ILK,0.0
ITGB5,0.0
KIAA0226,0.0
KIAA1467,0.0
KIAA1549,0.0
KRR1,0.0
KRTAP5-8,0.0
LOC102724052,0.0
LOC102724862,0.0
LOC388849,0.0
LRSAM1,0.0
LTA4H,0.0
METTL27,0.0
MOSMO,0.0
NARS,0.0
NELFB,0.0
NSMCE3,0.0
PAPL,0.0
PIK3C3,0.0
PIP4P1,0.0
PLXND1,0.0
POP4,0.0
PPP1R21,0.0
PTDSS1,0.0
PWP2,0.0
RAB6C,0.0
RAB7A,0.0
RFWD2,0.0
RIOX1,0.0
RLTPR,0.0
RPL17-C18ORF32,0.0
RPS28,0.0
RRP9,0.0
SGOL2,0.0
SLC23A1,0.0
SLC35E2A,0.0
SMC4,0.0
SNRNP40,0.0
SQRDL,0.0
SRSF1,0.0
SUCO,0.0
TAF2,0.0
TBC1D3D,0.0
TBL3,0.0
TEX45,0.0
TMEM251,0.0
TMEM268,0.0
TOMM70A,0.0
USP17L28,0.0
USP8,0.0
UTP23,0.0
UTP4,0.0
VPS29,0.0
WBSCR22,0.0
WDR7,0.0
ZC3H13,0.0
