,Mito,ConA,WGA,DAPI,Phalloidin,Sum
BCAM,13.0,10.0,22.0,23.0,33.0,111.0
BCL2L2-PABPN1,16.0,8.0,11.0,22.0,47.0,111.0
BCL6B,30.0,25.0,24.0,35.0,17.0,141.0
BDH2,22.0,16.0,39.0,57.0,21.0,158.0
BDKRB2,39.0,25.0,17.0,39.0,21.0,153.0
BGN,29.0,14.0,38.0,26.0,8.0,123.0
BHLHB9,14.0,10.0,21.0,8.0,42.0,115.0
BHLHE40,38.0,32.0,16.0,23.0,16.0,128.0
BHLHE41,15.0,13.0,16.0,38.0,33.0,117.0
BHMT2,24.0,14.0,22.0,74.0,18.0,163.0
BIRC2,27.0,38.0,30.0,29.0,16.0,139.0
BIRC3,19.0,10.0,37.0,14.0,23.0,110.0
BIRC5,38.0,14.0,21.0,63.0,18.0,163.0
BIVM,38.0,15.0,18.0,54.0,14.0,164.0
BLMH,12.0,14.0,16.0,34.0,33.0,118.0
BLOC1S1,25.0,20.0,26.0,53.0,21.0,151.0
BLOC1S2,21.0,10.0,29.0,38.0,42.0,154.0
BLOC1S3,24.0,12.0,18.0,25.0,41.0,127.0
BLOC1S6,58.0,28.0,23.0,24.0,16.0,147.0
BMP10,20.0,10.0,39.0,49.0,14.0,146.0
BMPR2,33.0,41.0,20.0,17.0,17.0,135.0
BMX,18.0,12.0,11.0,14.0,32.0,102.0
BNIP2,12.0,9.0,13.0,29.0,60.0,133.0
BOP1,16.0,12.0,57.0,33.0,32.0,162.0
BPIFB1,30.0,31.0,23.0,14.0,12.0,106.0
BPTF,56.0,20.0,16.0,11.0,30.0,126.0
BRAT1,25.0,12.0,23.0,60.0,20.0,154.0
BRCA1,38.0,24.0,39.0,44.0,20.0,163.0
BRCA2,39.0,27.0,34.0,34.0,12.0,153.0
BRINP1,35.0,36.0,26.0,13.0,17.0,126.0
BRINP2,49.0,31.0,27.0,32.0,16.0,152.0
BRIX1,25.0,16.0,48.0,45.0,19.0,165.0
BRSK1,22.0,11.0,38.0,45.0,18.0,137.0
BRSK2,19.0,10.0,15.0,55.0,21.0,132.0
BSCL2,34.0,14.0,23.0,41.0,41.0,155.0
BSPRY,19.0,17.0,24.0,18.0,34.0,114.0
BST1,44.0,31.0,16.0,19.0,16.0,127.0
BTBD11,26.0,16.0,21.0,65.0,15.0,149.0
BTBD3,16.0,10.0,44.0,13.0,37.0,123.0
BTG1,18.0,25.0,12.0,48.0,18.0,124.0
BUB1,19.0,11.0,20.0,22.0,38.0,112.0
BUB1B,25.0,10.0,20.0,22.0,45.0,135.0
BUD31,18.0,20.0,23.0,47.0,46.0,154.0
C10orf107,19.0,26.0,20.0,29.0,19.0,112.0
C10orf32,21.0,12.0,21.0,63.0,20.0,151.0
C10orf55,13.0,10.0,18.0,14.0,49.0,109.0
C11orf65,39.0,20.0,28.0,24.0,14.0,125.0
C11orf68,24.0,24.0,24.0,52.0,18.0,153.0
C11orf95,47.0,20.0,24.0,33.0,22.0,144.0
C12orf60,42.0,19.0,30.0,26.0,24.0,158.0
C12orf71,26.0,12.0,27.0,61.0,25.0,158.0
C14orf159,19.0,12.0,26.0,19.0,42.0,130.0
C15orf38-AP3S2,13.0,10.0,14.0,41.0,56.0,147.0
C15orf48,22.0,14.0,26.0,31.0,41.0,137.0
C16orf52,16.0,11.0,15.0,8.0,37.0,89.0
C16orf62,43.0,18.0,20.0,42.0,17.0,150.0
C16orf71,30.0,28.0,17.0,17.0,15.0,107.0
C17orf100,13.0,16.0,34.0,19.0,49.0,132.0
C17orf113,37.0,21.0,18.0,18.0,15.0,113.0
C17orf53,22.0,16.0,40.0,36.0,18.0,138.0
C17orf80,28.0,14.0,26.0,61.0,14.0,152.0
C17orf82,26.0,18.0,28.0,58.0,20.0,158.0
C18orf8,29.0,26.0,19.0,33.0,14.0,127.0
C19orf25,28.0,10.0,39.0,23.0,19.0,115.0
C19orf44,16.0,10.0,15.0,21.0,37.0,105.0
C19orf81,21.0,15.0,15.0,59.0,12.0,135.0
C1orf210,16.0,9.0,39.0,15.0,20.0,111.0
C1orf228,32.0,35.0,22.0,26.0,24.0,143.0
C1orf234,40.0,27.0,27.0,34.0,13.0,150.0
C20orf196,24.0,11.0,36.0,12.0,37.0,124.0
C20orf202,15.0,11.0,44.0,62.0,20.0,152.0
C20orf27,20.0,8.0,22.0,13.0,35.0,109.0
C20orf96,23.0,13.0,21.0,83.0,20.0,166.0
C21orf58,15.0,13.0,45.0,43.0,26.0,137.0
C21orf59-TCP10L,15.0,22.0,16.0,21.0,46.0,121.0
C22orf34,33.0,24.0,27.0,14.0,14.0,122.0
C2orf81,20.0,12.0,19.0,53.0,15.0,132.0
C2orf83,12.0,11.0,15.0,21.0,54.0,111.0
C3orf18,34.0,27.0,22.0,57.0,13.0,160.0
C3orf38,22.0,12.0,22.0,55.0,18.0,138.0
C5orf34,12.0,12.0,15.0,22.0,45.0,116.0
C5orf47,29.0,23.0,27.0,25.0,38.0,149.0
C6orf203,16.0,14.0,40.0,20.0,25.0,123.0
C6orf48,11.0,10.0,11.0,13.0,32.0,83.0
C7orf50,17.0,14.0,51.0,13.0,20.0,119.0
C8orf44-SGK3,24.0,15.0,53.0,17.0,27.0,150.0
C8orf88,20.0,11.0,29.0,53.0,19.0,135.0
C9orf135,20.0,10.0,18.0,34.0,38.0,127.0
C9orf139,38.0,16.0,19.0,28.0,16.0,125.0
C9orf24,24.0,26.0,15.0,21.0,29.0,121.0
C9orf50,22.0,26.0,18.0,27.0,10.0,106.0
CA4,16.0,12.0,19.0,17.0,33.0,99.0
CAB39,12.0,11.0,20.0,22.0,61.0,118.0
CACNG4,28.0,17.0,46.0,20.0,17.0,138.0
CACNG8,21.0,18.0,19.0,67.0,16.0,150.0
CADM4,13.0,13.0,47.0,26.0,23.0,128.0
CALCA,18.0,12.0,53.0,31.0,33.0,144.0
CALCRL,50.0,24.0,30.0,39.0,14.0,163.0
CAMK1,20.0,12.0,45.0,24.0,30.0,139.0
CAND2,30.0,15.0,22.0,65.0,16.0,159.0
CANT1,38.0,11.0,36.0,24.0,33.0,152.0
CAP1,24.0,11.0,21.0,75.0,16.0,150.0
CAPN10,30.0,20.0,19.0,59.0,18.0,148.0
CAPN2,46.0,29.0,20.0,19.0,15.0,133.0
CAPN5,13.0,13.0,20.0,24.0,32.0,106.0
CAPZA2,14.0,9.0,9.0,24.0,48.0,115.0
CARD14,28.0,14.0,26.0,27.0,39.0,145.0
CARF,18.0,26.0,29.0,41.0,17.0,138.0
CARNS1,18.0,11.0,56.0,23.0,52.0,156.0
CARS,21.0,14.0,37.0,21.0,18.0,117.0
CARS2,15.0,11.0,20.0,17.0,38.0,110.0
CASKIN1,18.0,17.0,28.0,18.0,40.0,121.0
CASP1,23.0,25.0,36.0,39.0,15.0,143.0
CASTOR2,21.0,12.0,44.0,36.0,23.0,142.0
CAT,32.0,12.0,21.0,33.0,33.0,144.0
CAV2,27.0,19.0,21.0,54.0,21.0,143.0
CBL,27.0,13.0,41.0,29.0,10.0,124.0
CBLN1,22.0,14.0,17.0,22.0,38.0,123.0
CBLN3,13.0,10.0,25.0,15.0,37.0,100.0
CBY1,33.0,28.0,17.0,36.0,23.0,148.0
CCBL1,17.0,13.0,16.0,18.0,34.0,99.0
CCDC14,21.0,30.0,28.0,21.0,21.0,129.0
CCDC144A,17.0,17.0,42.0,23.0,17.0,123.0
CCDC180,39.0,44.0,24.0,15.0,15.0,138.0
CCDC34,26.0,31.0,24.0,29.0,25.0,138.0
CCDC65,33.0,20.0,53.0,40.0,19.0,163.0
CCDC71L,30.0,16.0,28.0,33.0,39.0,164.0
CCDC84,14.0,14.0,37.0,43.0,21.0,125.0
CCDC88C,45.0,40.0,21.0,28.0,18.0,157.0
CCDC9,24.0,25.0,25.0,56.0,19.0,160.0
CCDC92,17.0,12.0,39.0,11.0,10.0,93.0
CCDC93,15.0,18.0,38.0,23.0,18.0,121.0
CCER2,24.0,19.0,25.0,42.0,33.0,150.0
CCKBR,30.0,21.0,26.0,43.0,36.0,153.0
CCNF,26.0,14.0,45.0,34.0,16.0,139.0
CCNG2,15.0,27.0,15.0,15.0,17.0,91.0
CCNL1,29.0,10.0,39.0,30.0,30.0,141.0
CCNY,28.0,13.0,33.0,63.0,28.0,164.0
CCS,26.0,8.0,41.0,31.0,11.0,118.0
CCSER2,21.0,14.0,37.0,42.0,10.0,120.0
CCT6A,28.0,9.0,29.0,15.0,64.0,145.0
CCT6B,12.0,14.0,24.0,65.0,35.0,157.0
CD151,20.0,14.0,52.0,24.0,12.0,128.0
CD160,23.0,17.0,21.0,54.0,13.0,137.0
CD33,32.0,20.0,22.0,21.0,33.0,137.0
CD37,28.0,18.0,19.0,27.0,36.0,127.0
CD68,28.0,12.0,21.0,13.0,43.0,122.0
CDC14B,22.0,35.0,21.0,21.0,22.0,119.0
CDC16,17.0,9.0,40.0,50.0,42.0,165.0
CDC37,41.0,17.0,27.0,38.0,17.0,144.0
CDC73,22.0,16.0,16.0,31.0,41.0,132.0
CDCA5,44.0,14.0,21.0,39.0,17.0,139.0
CDCA8,17.0,15.0,22.0,26.0,40.0,127.0
CDH1,18.0,13.0,43.0,22.0,19.0,129.0
CDHR5,18.0,12.0,13.0,11.0,71.0,131.0
CDK12,20.0,10.0,45.0,44.0,26.0,147.0
CDK13,13.0,10.0,28.0,17.0,34.0,115.0
CDK6,19.0,22.0,24.0,57.0,14.0,145.0
CDK8,29.0,15.0,17.0,32.0,37.0,154.0
CDKL4,25.0,18.0,21.0,57.0,22.0,139.0
CDKN1A,26.0,20.0,27.0,79.0,8.0,165.0
CDKN1C,15.0,12.0,13.0,26.0,37.0,118.0
CDKN2A,26.0,25.0,25.0,34.0,16.0,138.0
CDKN2AIP,20.0,17.0,19.0,29.0,34.0,119.0
CDYL,25.0,19.0,41.0,37.0,27.0,142.0
CDYL2,16.0,10.0,37.0,22.0,51.0,137.0
CEACAM19,47.0,23.0,22.0,27.0,16.0,144.0
CEACAM7,27.0,13.0,49.0,24.0,19.0,135.0
CEBPG,33.0,16.0,23.0,55.0,20.0,158.0
CEBPZOS,19.0,18.0,26.0,64.0,15.0,161.0
CELA1,29.0,16.0,37.0,38.0,13.0,146.0
CELF1,21.0,12.0,14.0,64.0,16.0,127.0
CELF2,24.0,14.0,18.0,64.0,23.0,152.0
CELF3,16.0,13.0,30.0,69.0,20.0,153.0
CENPE,40.0,29.0,18.0,31.0,16.0,134.0
CENPJ,19.0,15.0,39.0,60.0,19.0,162.0
CENPM,18.0,13.0,24.0,53.0,16.0,136.0
CENPO,21.0,27.0,16.0,21.0,17.0,107.0
CENPT,27.0,15.0,23.0,55.0,18.0,141.0
CEP120,43.0,13.0,24.0,22.0,18.0,127.0
CEP192,22.0,17.0,41.0,49.0,14.0,146.0
CEP295,18.0,12.0,59.0,24.0,16.0,132.0
CEP350,43.0,19.0,35.0,23.0,16.0,133.0
CEP85,25.0,16.0,25.0,54.0,20.0,143.0
CERS2,39.0,29.0,35.0,20.0,23.0,142.0
CES4A,56.0,24.0,19.0,11.0,14.0,132.0
CGB2,31.0,23.0,25.0,65.0,21.0,166.0
CHAF1A,29.0,12.0,32.0,20.0,37.0,130.0
CHCHD3,54.0,21.0,18.0,35.0,15.0,150.0
CHCHD6,21.0,10.0,19.0,66.0,16.0,149.0
CHD3,19.0,21.0,40.0,15.0,16.0,107.0
CHD4,27.0,14.0,41.0,34.0,35.0,160.0
CHDH,22.0,11.0,15.0,54.0,18.0,133.0
CHEK1,30.0,24.0,20.0,40.0,17.0,138.0
CHID1,28.0,19.0,18.0,69.0,15.0,151.0
CHKA,46.0,23.0,20.0,22.0,36.0,149.0
CHML,26.0,27.0,28.0,38.0,23.0,159.0
CHMP6,32.0,13.0,38.0,32.0,33.0,158.0
CHRNA10,30.0,13.0,28.0,22.0,40.0,142.0
CHRNA3,26.0,31.0,18.0,39.0,26.0,152.0
CHRNA9,27.0,28.0,21.0,30.0,20.0,126.0
CHRNB2,20.0,18.0,28.0,55.0,27.0,151.0
CHST1,25.0,15.0,34.0,59.0,21.0,157.0
CHST13,20.0,14.0,25.0,45.0,38.0,146.0
CHST5,18.0,10.0,20.0,23.0,37.0,120.0
CHURC1,23.0,15.0,13.0,23.0,39.0,121.0
CIB2,20.0,11.0,22.0,55.0,23.0,138.0
CIR1,17.0,11.0,48.0,43.0,46.0,163.0
CITED1,45.0,21.0,24.0,32.0,13.0,147.0
CITED2,17.0,38.0,28.0,24.0,17.0,139.0
CKS1B,27.0,13.0,22.0,61.0,17.0,156.0
CLASP2,15.0,11.0,13.0,15.0,33.0,101.0
CLDN4,39.0,15.0,15.0,26.0,20.0,121.0
CLDN6,16.0,13.0,16.0,53.0,20.0,127.0
CLEC16A,11.0,8.0,37.0,15.0,13.0,91.0
CLEC18C,30.0,19.0,51.0,51.0,18.0,161.0
CLGN,21.0,24.0,22.0,47.0,18.0,136.0
CLK2,32.0,21.0,41.0,34.0,26.0,153.0
CLLU1OS,15.0,24.0,16.0,31.0,15.0,103.0
CLN8,19.0,26.0,20.0,27.0,12.0,113.0
CLSTN1,24.0,11.0,17.0,20.0,32.0,104.0
CNGA3,15.0,11.0,21.0,21.0,32.0,98.0
CNIH1,17.0,17.0,39.0,19.0,23.0,116.0
CNKSR3,19.0,14.0,12.0,12.0,40.0,106.0
CNN1,17.0,27.0,21.0,19.0,37.0,120.0
CNNM4,18.0,25.0,25.0,24.0,13.0,117.0
CNOT7,26.0,12.0,25.0,24.0,36.0,129.0
CNRIP1,26.0,17.0,29.0,44.0,32.0,160.0
CNTD1,27.0,19.0,21.0,57.0,18.0,155.0
CNTROB,18.0,12.0,16.0,21.0,41.0,117.0
COA1,25.0,29.0,21.0,31.0,15.0,126.0
COG8,33.0,13.0,39.0,42.0,31.0,150.0
COL10A1,18.0,13.0,16.0,28.0,32.0,112.0
COL11A2,30.0,17.0,47.0,13.0,18.0,130.0
COL4A3,32.0,52.0,24.0,12.0,10.0,134.0
COL4A5,19.0,9.0,16.0,17.0,33.0,97.0
COLCA2,33.0,28.0,29.0,34.0,20.0,156.0
COLEC12,35.0,27.0,20.0,51.0,18.0,157.0
COLQ,17.0,14.0,15.0,81.0,14.0,153.0
COMMD3,14.0,8.0,70.0,21.0,19.0,128.0
COMMD4,26.0,19.0,45.0,55.0,15.0,165.0
COMMD5,11.0,10.0,40.0,17.0,17.0,105.0
COMMD8,17.0,20.0,38.0,54.0,21.0,150.0
COPA,21.0,24.0,28.0,15.0,21.0,120.0
COPE,26.0,13.0,47.0,20.0,21.0,138.0
COPG1,19.0,27.0,50.0,30.0,21.0,146.0
COPG2,19.0,27.0,21.0,43.0,27.0,135.0
CORO7,41.0,25.0,17.0,16.0,15.0,126.0
COX10,37.0,27.0,30.0,36.0,13.0,158.0
COX17,25.0,25.0,28.0,22.0,23.0,126.0
COX18,26.0,20.0,21.0,21.0,34.0,121.0
COX6A1,33.0,27.0,12.0,34.0,19.0,138.0
COX6B1,19.0,12.0,49.0,46.0,22.0,155.0
CPEB2,23.0,15.0,25.0,54.0,16.0,137.0
CPLX2,17.0,10.0,16.0,40.0,35.0,129.0
CPO,35.0,24.0,31.0,23.0,12.0,136.0
CPSF2,45.0,18.0,28.0,42.0,23.0,152.0
CPSF3,21.0,23.0,31.0,54.0,27.0,161.0
CPSF7,24.0,16.0,22.0,25.0,35.0,133.0
CREBL2,35.0,39.0,12.0,20.0,15.0,117.0
CRELD1,20.0,9.0,11.0,20.0,39.0,103.0
CRIP3,15.0,9.0,20.0,16.0,32.0,101.0
CRIPAK,27.0,21.0,44.0,32.0,27.0,150.0
CRLS1,23.0,12.0,30.0,13.0,37.0,124.0
CRNKL1,28.0,21.0,25.0,24.0,41.0,140.0
CRYGS,43.0,50.0,19.0,14.0,19.0,148.0
CRYL1,22.0,19.0,23.0,59.0,22.0,154.0
CSDC2,49.0,18.0,19.0,25.0,10.0,127.0
CSDE1,14.0,10.0,15.0,40.0,34.0,120.0
CSNK2A1,24.0,11.0,22.0,20.0,36.0,120.0
CSNK2A2,22.0,8.0,17.0,63.0,12.0,124.0
CSPG5,20.0,12.0,16.0,12.0,32.0,96.0
CSRNP3,15.0,14.0,20.0,22.0,34.0,115.0
CST2,18.0,18.0,18.0,53.0,23.0,136.0
CSTF2,48.0,17.0,36.0,34.0,12.0,147.0
CT62,25.0,24.0,19.0,23.0,20.0,118.0
CTAGE15,28.0,14.0,39.0,26.0,30.0,144.0
CTCF,38.0,11.0,20.0,43.0,20.0,140.0
CTDNEP1,14.0,13.0,38.0,50.0,26.0,141.0
CTNNBL1,19.0,13.0,31.0,53.0,19.0,139.0
CTRB2,13.0,10.0,36.0,36.0,35.0,129.0
CTRC,25.0,10.0,16.0,34.0,34.0,126.0
CTSA,15.0,11.0,71.0,30.0,19.0,143.0
CTSL,14.0,13.0,57.0,16.0,23.0,122.0
CTSW,19.0,12.0,39.0,33.0,23.0,130.0
CTU2,42.0,17.0,23.0,43.0,16.0,145.0
CUL3,20.0,11.0,67.0,22.0,47.0,163.0
CUL5,32.0,16.0,34.0,32.0,39.0,154.0
CWC15,30.0,22.0,34.0,57.0,14.0,161.0
CX3CL1,26.0,22.0,36.0,57.0,20.0,163.0
CXCL12,20.0,16.0,27.0,30.0,46.0,148.0
CXCR2,47.0,22.0,22.0,38.0,13.0,143.0
CXXC1,14.0,34.0,12.0,26.0,15.0,105.0
CXorf23,49.0,70.0,14.0,18.0,12.0,155.0
CYB561D2,16.0,8.0,20.0,19.0,32.0,93.0
CYB5R1,53.0,19.0,30.0,22.0,23.0,161.0
CYB5R4,23.0,11.0,35.0,57.0,43.0,166.0
CYC1,38.0,17.0,27.0,32.0,30.0,146.0
CYCS,49.0,13.0,22.0,23.0,21.0,131.0
CYLD,41.0,26.0,33.0,33.0,29.0,164.0
CYP1A1,21.0,14.0,20.0,54.0,18.0,136.0
CYP27A1,17.0,11.0,37.0,14.0,15.0,94.0
