,Mito,ConA,WGA,DAPI,Phalloidin,Sum
AARS,16.0,11.0,48.0,36.0,18.0,137.0
AARS2,11.0,12.0,14.0,36.0,44.0,126.0
ABCB1,42.0,25.0,29.0,29.0,20.0,154.0
ABCC12,37.0,22.0,19.0,26.0,23.0,145.0
ABCC6,25.0,24.0,10.0,11.0,15.0,98.0
ABHD17A,38.0,20.0,18.0,27.0,13.0,127.0
ABHD4,24.0,9.0,19.0,67.0,26.0,153.0
ABR,19.0,12.0,27.0,57.0,15.0,138.0
ACAD10,26.0,14.0,25.0,54.0,12.0,136.0
ACAN,25.0,11.0,14.0,29.0,36.0,117.0
ACAT1,26.0,12.0,19.0,64.0,20.0,151.0
ACHE,30.0,19.0,38.0,47.0,22.0,161.0
ACIN1,33.0,41.0,21.0,44.0,19.0,154.0
ACOT13,43.0,19.0,20.0,30.0,20.0,132.0
ACSL6,11.0,9.0,12.0,19.0,45.0,101.0
ACTA1,34.0,14.0,43.0,30.0,18.0,145.0
ACTG2,31.0,13.0,41.0,22.0,25.0,134.0
ACTN4,30.0,10.0,17.0,19.0,62.0,142.0
ACTR10,18.0,17.0,49.0,14.0,11.0,110.0
ACTR1A,23.0,16.0,39.0,41.0,19.0,148.0
ACTR3,26.0,21.0,42.0,33.0,17.0,138.0
ACTR6,10.0,8.0,16.0,13.0,33.0,88.0
ACVR1B,32.0,35.0,31.0,44.0,19.0,159.0
ACVRL1,30.0,21.0,45.0,31.0,20.0,160.0
ADAL,14.0,12.0,14.0,20.0,38.0,101.0
ADAM11,22.0,13.0,16.0,64.0,28.0,150.0
ADAM12,14.0,9.0,14.0,36.0,67.0,140.0
ADAMTS10,21.0,18.0,43.0,13.0,17.0,118.0
ADAMTS13,17.0,15.0,37.0,30.0,29.0,134.0
ADAMTS15,13.0,11.0,19.0,17.0,67.0,126.0
ADAP2,22.0,12.0,24.0,64.0,20.0,145.0
ADAT1,17.0,26.0,16.0,24.0,19.0,103.0
ADCY6,41.0,26.0,23.0,33.0,18.0,147.0
ADCYAP1,28.0,15.0,22.0,13.0,43.0,134.0
ADGRE5,29.0,36.0,16.0,25.0,19.0,136.0
ADNP,19.0,10.0,19.0,96.0,14.0,166.0
ADPRH,18.0,10.0,21.0,55.0,33.0,144.0
ADSL,22.0,12.0,45.0,35.0,41.0,161.0
AFF3,46.0,21.0,20.0,47.0,12.0,147.0
AFG3L2,33.0,19.0,58.0,26.0,15.0,150.0
AGAP11,33.0,18.0,26.0,48.0,35.0,155.0
AGAP6,15.0,12.0,14.0,23.0,32.0,104.0
AGGF1,14.0,10.0,53.0,31.0,12.0,125.0
AGT,21.0,17.0,20.0,31.0,35.0,127.0
AHCY,30.0,27.0,37.0,39.0,19.0,159.0
AKAP1,32.0,18.0,30.0,63.0,13.0,162.0
AKAP10,20.0,12.0,37.0,18.0,16.0,103.0
AKAP17A,39.0,15.0,27.0,16.0,17.0,120.0
AKIRIN2,37.0,13.0,29.0,31.0,23.0,134.0
AKR1C1,39.0,20.0,17.0,46.0,20.0,139.0
AKR7A2,27.0,10.0,15.0,55.0,12.0,129.0
AKR7L,40.0,18.0,19.0,49.0,12.0,141.0
AKT1,30.0,26.0,18.0,34.0,29.0,130.0
AKT1S1,26.0,9.0,13.0,53.0,17.0,127.0
AKT3,16.0,10.0,13.0,15.0,32.0,88.0
ALDH1B1,29.0,17.0,37.0,49.0,26.0,156.0
ALDH3B2,32.0,24.0,30.0,44.0,15.0,144.0
ALDOC,30.0,14.0,23.0,47.0,32.0,161.0
ALG1,32.0,24.0,21.0,21.0,14.0,121.0
ALG9,17.0,31.0,23.0,17.0,18.0,97.0
ALK,47.0,20.0,17.0,36.0,22.0,149.0
ALKBH1,25.0,27.0,14.0,12.0,17.0,100.0
ALKBH5,45.0,33.0,24.0,11.0,15.0,130.0
ALKBH6,28.0,14.0,46.0,37.0,25.0,166.0
ALLC,30.0,28.0,16.0,70.0,15.0,159.0
ALOX5AP,14.0,12.0,23.0,61.0,25.0,140.0
ALPPL2,42.0,35.0,16.0,11.0,33.0,137.0
AMBP,16.0,28.0,13.0,15.0,15.0,89.0
AMBRA1,19.0,12.0,18.0,40.0,36.0,140.0
AMDHD2,23.0,45.0,19.0,17.0,16.0,121.0
ANAPC13,25.0,12.0,20.0,57.0,27.0,143.0
ANAPC5,24.0,13.0,24.0,52.0,33.0,154.0
ANGEL1,11.0,11.0,12.0,18.0,46.0,110.0
ANK1,42.0,31.0,21.0,20.0,15.0,137.0
ANKLE2,25.0,16.0,22.0,42.0,47.0,147.0
ANKRD10,25.0,27.0,18.0,22.0,16.0,107.0
ANKRD11,25.0,12.0,15.0,30.0,34.0,127.0
ANKRD20A3,21.0,14.0,23.0,28.0,38.0,130.0
ANKRD6,21.0,16.0,20.0,20.0,34.0,116.0
ANKRD7,37.0,30.0,27.0,25.0,20.0,131.0
ANKS6,31.0,17.0,42.0,31.0,19.0,147.0
ANLN,26.0,17.0,27.0,42.0,34.0,154.0
ANO1,33.0,13.0,20.0,25.0,57.0,150.0
ANO10,18.0,28.0,18.0,22.0,16.0,111.0
ANP32C,33.0,26.0,18.0,32.0,15.0,132.0
ANTXRL,24.0,16.0,23.0,18.0,39.0,128.0
ANXA1,18.0,22.0,43.0,23.0,14.0,126.0
ANXA11,50.0,30.0,21.0,23.0,20.0,143.0
ANXA7,40.0,22.0,24.0,38.0,19.0,147.0
ANXA8L1,25.0,21.0,25.0,55.0,16.0,148.0
AP1S2,43.0,18.0,19.0,26.0,17.0,124.0
AP2B1,47.0,18.0,16.0,27.0,12.0,122.0
AP5B1,23.0,19.0,21.0,27.0,48.0,149.0
AP5Z1,12.0,12.0,14.0,23.0,33.0,100.0
APBA2,47.0,20.0,25.0,56.0,11.0,162.0
APBB1IP,24.0,13.0,17.0,62.0,25.0,150.0
APH1A,33.0,24.0,19.0,29.0,18.0,122.0
APLP1,20.0,16.0,64.0,17.0,36.0,159.0
ARCN1,25.0,30.0,17.0,34.0,17.0,129.0
ARFGEF2,22.0,11.0,21.0,55.0,23.0,135.0
ARHGAP11A,42.0,27.0,22.0,31.0,17.0,153.0
ARHGAP8,15.0,13.0,19.0,69.0,21.0,141.0
ARHGEF26,14.0,9.0,15.0,18.0,36.0,105.0
ARHGEF3,17.0,10.0,19.0,54.0,13.0,116.0
ARID3A,19.0,9.0,29.0,19.0,42.0,117.0
ARL16,47.0,21.0,23.0,32.0,13.0,140.0
ARMC10,56.0,34.0,16.0,40.0,18.0,163.0
ARMC9,22.0,19.0,21.0,23.0,33.0,122.0
ARNT2,49.0,18.0,26.0,46.0,16.0,158.0
ARPC2,20.0,16.0,34.0,24.0,44.0,137.0
ARPC5,23.0,17.0,38.0,30.0,37.0,150.0
ARRB2,38.0,13.0,15.0,24.0,17.0,113.0
ART3,22.0,21.0,15.0,59.0,19.0,145.0
ASAP2,24.0,29.0,19.0,41.0,18.0,140.0
ASAP3,29.0,10.0,27.0,60.0,26.0,157.0
ASB1,24.0,13.0,39.0,35.0,14.0,127.0
ASCL3,23.0,25.0,25.0,54.0,19.0,152.0
ASF1A,46.0,26.0,21.0,26.0,19.0,137.0
ASL,24.0,13.0,15.0,33.0,46.0,133.0
ASMTL,27.0,21.0,38.0,38.0,15.0,151.0
ASNSD1,40.0,13.0,15.0,14.0,12.0,101.0
ASPH,13.0,17.0,41.0,30.0,14.0,117.0
ASPHD2,24.0,14.0,30.0,53.0,16.0,143.0
ASS1,27.0,17.0,24.0,65.0,22.0,161.0
ATAD5,22.0,20.0,51.0,49.0,20.0,158.0
ATF5,50.0,28.0,25.0,22.0,20.0,150.0
ATF7,29.0,16.0,20.0,58.0,23.0,151.0
ATL3,16.0,11.0,12.0,55.0,19.0,119.0
ATMIN,49.0,25.0,28.0,10.0,18.0,141.0
ATN1,13.0,13.0,15.0,61.0,26.0,136.0
ATP13A1,19.0,11.0,33.0,53.0,43.0,166.0
ATP2A2,35.0,36.0,15.0,13.0,13.0,123.0
ATP2B1,19.0,11.0,41.0,37.0,12.0,122.0
ATP2B3,28.0,33.0,18.0,16.0,17.0,102.0
ATP2B4,16.0,11.0,17.0,14.0,35.0,98.0
ATP5B,35.0,18.0,38.0,27.0,37.0,153.0
ATP5SL,14.0,17.0,23.0,53.0,20.0,138.0
ATP6AP2,21.0,12.0,44.0,27.0,14.0,119.0
ATP6V1B1,20.0,16.0,18.0,58.0,16.0,137.0
ATP6V1E1,21.0,9.0,64.0,23.0,26.0,134.0
ATP8,39.0,22.0,36.0,44.0,21.0,165.0
ATP8A1,35.0,24.0,23.0,44.0,15.0,147.0
ATRIP,24.0,16.0,42.0,47.0,23.0,160.0
ATRX,33.0,24.0,16.0,24.0,12.0,111.0
ATXN1,33.0,10.0,12.0,56.0,26.0,145.0
ATXN1L,22.0,30.0,21.0,34.0,11.0,126.0
ATXN7L3,64.0,39.0,22.0,21.0,13.0,163.0
AURKAIP1,34.0,13.0,24.0,28.0,35.0,138.0
AVEN,19.0,13.0,40.0,48.0,18.0,140.0
AVIL,29.0,26.0,16.0,57.0,19.0,157.0
AZGP1,14.0,11.0,18.0,30.0,45.0,117.0
B2M,23.0,26.0,11.0,10.0,11.0,83.0
B3GALT5,41.0,19.0,20.0,39.0,17.0,144.0
B4GALNT1,46.0,30.0,22.0,17.0,19.0,138.0
B4GALT1,22.0,20.0,90.0,21.0,19.0,164.0
BABAM1,16.0,12.0,13.0,77.0,27.0,153.0
BAHCC1,46.0,22.0,28.0,44.0,13.0,161.0
BAIAP2,29.0,15.0,20.0,29.0,32.0,131.0
BAIAP2L1,24.0,15.0,39.0,25.0,35.0,144.0
BAK1,12.0,12.0,35.0,21.0,69.0,156.0
BANF1,19.0,18.0,17.0,58.0,19.0,138.0
BAZ1A,21.0,15.0,37.0,28.0,21.0,131.0
