Metadata_Foci_Barcode_MatchedTo_GeneCode,Cells_Granularity_1_WGA,Cells_Granularity_2_WGA,Cells_Granularity_3_WGA,Cells_Granularity_4_WGA,Cells_Granularity_5_WGA,Cells_Granularity_6_WGA,Cells_Granularity_7_WGA,Cells_Granularity_8_WGA,Subunit
ALDOB,-0.44733750000000005,0.35768624999999993,-0.020960278750000005,-0.29206125,-0.419399375,0.21356375,0.16390875,0.23552625,Assembly
ATP6AP1,-0.15161862500000003,0.45078625,0.222052375,-0.09875097499999998,0.274049375,0.29469425,0.24705487499999998,-0.05519624999999996,V0
ATP6AP2,0.007553750000000026,-0.030179500000000026,0.07532125,-0.019467500000000023,-0.068548,-0.25154624999999997,-0.310216375,-0.50726,V0
ATP6V0A1,-0.231419125,-0.23421974999999998,0.09833012499999999,-0.25449199999999994,0.05677249999999999,0.0792026625,-0.026425749999999977,0.37578125000000007,V0
ATP6V0A2,0.05813139999999997,-0.06487112499999997,0.06594249999999999,-0.17569449999999998,0.025812956749999977,-0.171291125,-0.4534975,-0.27311262500000005,V0
ATP6V0A4,0.17305225000000002,-0.11784659999999998,0.051257499999999984,0.05101725000000004,-0.384639375,-0.323122875,-0.22662787499999998,-0.20561500000000002,V0
ATP6V0B,-1.21130375,1.364554525,0.6047555,0.30838524999999994,0.363470175,0.74440375,1.11352325,-0.04933237500000004,V0
ATP6V0C,-1.456575,1.85668375,1.30111,-0.0439295,0.7031400000000001,0.931758,0.751923875,0.23230687499999997,V0
ATP6V0D1,-0.42956000000000005,0.490245375,0.03400499999999998,-0.23707475,0.036182249999999944,0.53358375,0.73552275,0.2886445375,V0
ATP6V0D2,-0.0740498,-0.503832375,0.15469375,-0.26154937500000003,-0.08354775,-0.60996875,-0.13852125,0.23199374999999994,V0
ATP6V0E1,-0.0007713749999999769,0.234173625,0.015508624999999998,-0.32819287500000005,0.08293999999999999,-0.08612750000000002,-0.30961887499999996,-0.2725325,V0
ATP6V0E2,0.27600449999999993,-0.069245125,-0.21608999999999998,-0.23228875,-0.13728374999999998,-0.62007375,-0.264368375,-0.12791535,V0
ATP6V1A,-0.48324374999999997,0.96836375,0.16458812499999997,0.03086262500000002,0.06342274999999999,0.39354075,-0.15394574999999996,0.16197625,V1
ATP6V1B1,-0.32066625000000004,-0.02658125,0.08104325000000004,-0.283099125,0.132790375,-0.14191912500000003,-0.32560875,0.18517287500000001,V1
ATP6V1B2,-1.009127875,1.66705625,1.41173875,-0.029158749999999983,0.58222625,0.821345,0.44472750000000005,0.42577387499999997,V1
ATP6V1C1,-0.3841579125,1.1689699999999998,0.588755,-0.10433450000000002,0.23815356875000002,0.5007375000000001,-0.137195125,0.24162875,V1
ATP6V1C2,0.23135674999999997,-0.11282987499999997,-0.070505,-0.11337912499999997,-0.315755,-0.063361625,-0.58117875,-0.478642,V1
ATP6V1D,-0.28429125,0.7454907500000001,0.36501500000000003,-0.385727875,-0.10556499999999996,0.28925878749999995,-0.035263750000000024,0.10395949999999998,V1
ATP6V1E1,-0.887537875,0.81243875,0.8230037499999999,0.004983749999999981,0.09373375,0.39454788749999997,0.5795015,0.55647125,V1
ATP6V1E2,0.24214899999999995,-0.150224875,-0.6015125,-0.259829525,0.22243400000000005,-0.508407125,-0.017694625000000005,-0.319173375,V1
ATP6V1F,-0.319315725,0.70356625,0.223839875,0.11866900000000002,-0.14649974999999998,0.018027500000000002,0.10747875000000001,-0.05762887499999995,V1
ATP6V1G1,-1.120404,0.49491325,0.14694000000000004,0.2325675,-0.01019199999999998,0.18574412499999995,-0.02785624999999997,0.34920850000000003,V1
ATP6V1G2,0.017090000000000015,0.100386375,-0.26684837499999997,-0.41484624999999997,-0.16620403749999998,0.12579375,-0.4280073875,-0.16533637499999998,V1
ATP6V1G3,0.07841774999999998,-0.53717625,-0.240138,-0.497096375,0.32836624999999997,0.091606,0.27515112500000005,-0.26278999999999997,V1
ATP6V1H,-0.4199252499999999,0.6253043875,0.54479075,-0.24073687499999996,-0.07805224999999999,0.15758475,0.06290735000000003,0.11546262499999997,V1
CCDC115,-0.05396796499999995,0.05845462500000001,0.04144375,0.26553750000000004,-0.24012237500000003,-0.047868625000000026,-0.1817975,-0.20670587499999998,Assembly
RNASEK,-0.5773898749999999,-0.03831250000000001,-0.50400685,-0.06744539999999999,-0.04999624999999999,0.3411075,0.470573,-0.06617124999999999,V0
TCIRG1,-0.32342975,-0.12923075,0.26582325000000007,0.42472662499999997,0.14779162499999998,-0.7443837499999999,-0.20918125,0.12932462500000003,V0
TM9SF4,-0.03931225,0.03952887500000003,0.2131305,0.10360349999999999,-0.25192600000000004,-0.01453050000000003,-0.30137525,-0.36297999999999997,Assembly
TMEM199,0.015444100000000002,-0.106062375,-0.15039012499999999,-0.11693850000000001,-0.16045405000000001,0.1344425,-0.13225147499999995,-0.04557125000000001,Assembly
VMA21,-0.19765524999999998,-0.200274,0.33653225000000003,0.0424325,-0.41588875000000003,-0.51039875,-0.2334715,-0.261612625,Assembly
nontargeting,0.03292320198898678,-0.07309714243392071,-0.06572414590770924,0.007410531461453743,-0.06814511068281938,-0.20724870472466958,-0.3903852748898678,-0.5140926156387665,control
