Metadata_Foci_Barcode_MatchedTo_GeneCode,Cells_Granularity_1_ConA,Cells_Granularity_2_ConA,Cells_Granularity_3_ConA,Cells_Granularity_4_ConA,Cells_Granularity_5_ConA,Cells_Granularity_7_ConA,Cells_Granularity_6_ConA,Cells_Granularity_8_ConA,Path
AGA,-0.106453375,0.29495499999999997,-0.10216562500000002,-0.26815125,0.33747975,-0.44647875,-0.201280375,-0.14527062499999996,Nglycan_Lyso
ALG1,0.244864375,-0.19588250000000001,0.42861477499999995,-0.35066624999999996,-0.7112475,-0.24074050000000002,-0.19712475,-0.09557874999999998,Nglycan_Cyto
ALG10,0.27043875,-0.3137404999999999,0.10188687500000004,-0.257246125,-0.48272762500000005,0.13839949999999998,-0.19322,-0.11604825000000002,Nglycan_ER
ALG10B,0.02500825000000002,-0.0920465,-0.14865899999999999,-0.41756375,-0.14797175,0.21017400000000003,0.26462399999999997,0.25913125000000004,Nglycan_ER
ALG11,0.6815975,-0.70167075,-0.54575925,-0.25749500000000003,-0.43235999999999997,-0.29088525,-0.41656510249999995,-0.05927999999999997,Nglycan_Cyto
ALG12,4.1673124999999995,-1.8584999999999998,-1.388215,-1.13555,-1.2767625,-0.94962375,-1.3310125,-0.69955625,Nglycan_ER
ALG13,0.08975500000000003,-0.27004162499999995,0.033593750000000006,-0.19379975,0.38782412499999996,-0.32263875,0.21104749999999997,-0.42444750000000003,Nglycan_Cyto
ALG14,0.15205125000000003,-0.23045250000000003,-0.11981012499999999,-0.020226249999999973,-0.16677725,-0.07074750000000002,-0.11433625000000001,0.15461624999999996,Nglycan_Cyto
ALG2,0.80628125,-0.5294749999999999,-0.535985,0.133025,-0.17712374999999997,-0.510866125,-0.215721375,-0.365651875,Nglycan_Cyto
ALG3,0.84878875,-0.19977125,-0.3165225,-0.7010149999999999,-0.442402375,-0.460687375,-0.409805,-0.59679125,Nglycan_ER
ALG5,0.358595,-0.15439800000000004,-0.136439875,-0.15235925000000006,0.28063875,-0.30390125,-0.17472625000000003,-0.5472987500000001,Nglycan_Cyto
ALG6,-0.1104355,-0.038406999999999955,-0.28788749999999996,0.16907852500000004,-0.19890375,-0.19631750000000003,-0.051056375,-0.245247875,Nglycan_ER
ALG8,0.14595999999999998,-0.006206500000000004,0.007396750000000028,-0.18015875,-0.13092749999999997,-0.14616225000000005,-0.06314087500000004,0.22805874999999998,Nglycan_ER
ALG9,2.7311750000000004,-1.7342,-1.3013000000000001,-1.09918125,-1.5749887500000002,-0.898165,-1.122585,-0.5930775,Nglycan_ER
B4GALT1,-0.14447375,0.356035,-0.009659624999999998,-0.1263335,-0.23871712499999997,0.35101625,0.17594749999999992,-0.349522875,Nglycan_Golgi
B4GALT2,-0.07894875000000001,0.039674999999999995,-0.2742925,-0.18741575,-0.210309625,-0.53344,-0.296685,0.09926403749999999,Nglycan_Golgi
B4GALT3,-0.17752125,0.09427662499999999,-0.060433125,-0.423361975,-0.12460625,-0.186699,-0.046393124999999966,-0.508225,Nglycan_Golgi
B4GALT5,0.12302151249999996,-0.232460375,-0.46631136125,-0.20053298475,0.029297249999999997,-0.07359899999999997,0.368508875,-0.44413125,Nglycan_Golgi
CTSA,-0.28210125,0.42866499999999996,0.3292325,0.12295875,0.04827187500000003,-0.58468375,-0.3311128750000001,-0.44937600000000005,Nglycan_Lyso
DAD1,0.42015625,-0.27089375,-0.29859512499999996,-0.47580750000000005,-0.5169995000000001,-0.20567049999999998,0.44645299999999993,0.12671625,Nglycan_ER
DDOST,0.7027858,-0.76186625,-0.05868111250000002,-0.52788375,-0.33280299999999996,-0.39656887499999993,-0.29562267875,0.0377861375,Nglycan_ER
DHDDS,1.7513050000000001,-1.2236587499999998,-1.0265900000000001,-0.8060185,-1.0211000000000001,-0.7809275,-0.48167249999999995,-0.47526749999999995,Nglycan_Cyto
DOLK,-0.028830374999999957,0.40904175,0.12179825,0.14051874999999997,-0.15531875000000003,0.26780400000000004,-0.20657,-0.07618087499999997,Nglycan_Cyto
DOLPP1,0.16799475000000005,0.016962750000000013,-0.172625375,-0.05726487500000001,0.23841425000000002,0.3824075,0.21423499999999998,0.029109125000000013,Nglycan_Cyto
DPAGT1,0.18598374999999998,0.113615,-0.148346375,-0.4379553749999999,-0.484949375,0.030095125000000028,-0.35587575000000005,-0.387240875,Nglycan_Cyto
DPM1,2.2047999999999996,-0.84559375,-0.97966625,-1.1972325000000001,-1.339805,-0.8166525,-0.8787575,-0.66492125,GPI
DPM2,2.214375,-0.832616625,-0.9724125,-0.7114527500000001,-0.9577912500000001,-0.85190625,-1.01311375,-0.6523075,GPI
