Metadata_Foci_Barcode_MatchedTo_GeneCode,Cells_Granularity_1_WGA,Cells_Granularity_2_WGA,Cells_Granularity_3_WGA,Cells_Granularity_4_WGA,Cells_Granularity_5_WGA,Cells_Granularity_6_WGA,Cells_Granularity_7_WGA,Cells_Granularity_8_WGA,Subunit
ALDOB,0.02456,0.2677825,-0.3584455,-0.43374075,-0.3574525,-0.341205,-0.30149525,-0.39458825000000003,Assembly
ATP6AP1,-0.734575,1.53806,0.6826175000000001,0.22342000000000004,0.6390125,1.193585,0.49868650000000003,0.462465,V0
ATP6AP2,-0.1937925,0.246625,-0.04029499999999999,-0.099141625,-0.21549267500000002,0.44932175,-0.05926000000000001,-0.21750000000000003,V0
ATP6V0A1,-0.2382525,0.4886475,0.08174600000000001,-0.295135,0.25638249999999996,0.12157955000000001,-0.03118375000000001,-0.05579100000000001,V0
ATP6V0A2,-0.268122,-0.282898,-0.13964545,0.057506999999999996,-0.021604999999999985,-0.025297499999999987,-0.25459525,-0.29461875000000004,V0
ATP6V0A4,-0.45228725000000003,0.210545,0.6537075,0.4552875,-0.2969925,-0.307245,-0.5632075,-0.13851000000000002,V0
ATP6V0B,-1.3706725,1.252485,1.8472125000000001,0.434807,1.2277725000000002,1.2101526,0.651316,-0.092348125,V0
ATP6V0C,-1.6057000000000001,2.0176,2.6582,0.8760675,1.3254899999999998,1.5949625,1.2521600000000002,0.4214875,V0
ATP6V0D1,-1.09258875,1.7228462500000001,1.31277975,-0.14620625,1.08949125,0.8315375,0.42926587499999996,0.013358749999999989,V0
ATP6V0D2,0.13568249999999998,-0.0920273,-0.1707745,0.1454625,-0.12619375,-0.41897324999999996,-0.2259925,-0.4395875,V0
ATP6V0E1,-0.10437875000000002,0.379339,-0.2671525,0.09490374999999998,-0.09351525,0.039290000000000005,-0.2001525,0.0601175,V0
ATP6V0E2,-0.4227225,-0.03462900000000001,-0.10223275000000001,0.12363099999999999,-0.037686250000000004,-0.0457225,-0.09508499999999998,-0.14624725,V0
ATP6V1A,-1.397745,1.73765,1.32976,0.5253607499999999,0.94439,1.493105,0.38827,0.60744375,V1
ATP6V1B1,0.15319825,-0.016882750000000002,-0.05065399999999999,-0.14037225,-0.04003999999999999,-0.06225249999999996,-0.4507,-0.4147475,V1
ATP6V1B2,-1.6552499999999999,1.69835,1.247188,1.284405,1.1573175,0.59965675,0.9162250000000001,0.24239675,V1
ATP6V1C1,-1.46814,2.291475,1.8807749999999999,0.5421925000000001,1.134635,1.3965100000000001,1.215812525,0.748665,V1
ATP6V1C2,0.07333499999999998,-0.10410249999999999,0.09909,-0.067589425,-0.25931499999999996,-0.174075,-0.23129,-0.30636250000000004,V1
ATP6V1D,-1.49384,2.1868499999999997,1.700903,0.3419125,1.17633,1.06770155,0.596905,0.91867,V1
ATP6V1E1,-0.9940825,1.1812825,1.023585,0.2017325,0.691740375,0.7696125,1.238135,-0.38884250000000004,V1
ATP6V1E2,0.3988875,-0.45257452249999996,0.36288082499999996,0.021370499999999994,0.2111525,-0.35855,-0.635195,-0.5266925,V1
ATP6V1F,-0.8561428,1.227195,0.918615,0.012167500000000012,0.7163205,1.0481525,0.8135545000000001,0.31821,V1
ATP6V1G1,-1.316042625,1.41828125,1.49190125,0.24965325000000005,0.6244350000000001,0.47886875,0.06810250000000001,0.8113325,V1
ATP6V1G2,-0.15751245000000003,0.004958500000000005,-0.36359175,-0.252611,0.05522750000000001,-0.706295,-0.50745,-0.3243625,V1
ATP6V1G3,0.018472500000000017,0.008969999999999992,-0.024384999999999983,-0.21871625,-0.25546500000000005,-0.1615625,0.0582975,-0.24660750000000004,V1
ATP6V1H,-0.7537524999999999,0.76841,0.848765,0.5255285000000001,0.7832822500000001,0.6785,0.22092475,0.685296075,V1
CCDC115,-0.30138,0.2334574875,0.160164,0.17052775,0.007532250000000027,0.18016500000000002,-0.0017362499999999947,0.13784000000000002,Assembly
RNASEK,-1.36081375,0.97627,0.739575,-0.17447800000000002,0.38219000000000003,1.0567199999999999,0.9478627499999999,0.492085,V0
TCIRG1,-0.26595850000000004,0.36014700000000005,-0.06856,-0.12235249999999998,-0.02726500000000001,0.156746,0.213591,0.622045,V0
TM9SF4,-0.136405,0.09987149999999999,-0.15302275,0.212302,0.09064467500000001,-0.28469645,-0.1821125,0.023379999999999998,Assembly
TMEM199,-0.303918,0.747728,0.325205,-0.1235175,-0.48419999999999996,0.07448,0.6044674999999999,0.276682,Assembly
VMA21,-0.1941175,-0.1585695,-0.10648525,-0.18402249999999998,0.11460000000000002,-0.03956625,-0.23263,-0.4151775,Assembly
nontargeting,-0.03686513168281938,-0.061176848898678415,-0.0413723341123348,-0.03779222511013215,-0.1783954707048458,-0.33819346035242287,-0.45567394273127754,-0.4845214757709251,Control
