Metadata_Foci_Barcode_MatchedTo_GeneCode,Cells_Granularity_1_ConA,Cells_Granularity_2_ConA,Cells_Granularity_3_ConA,Cells_Granularity_4_ConA,Cells_Granularity_5_ConA,Cells_Granularity_7_ConA,Cells_Granularity_6_ConA,Cells_Granularity_8_ConA,Path
AGA,0.38889625000000005,-0.0684975,-0.18740874999999999,-0.20861874999999996,-0.341279125,-0.4431675,-0.510823875,-0.44596874999999997,Nglycan_Lyso
ALG1,0.14573999999999998,-0.4713385,-0.324421625,0.033085250000000004,-0.14276875,-0.300380625,0.16355875,-0.474676875,Nglycan_Cyto
ALG10,0.43983174999999997,-0.101073625,-0.2452965,-0.19934775,-0.236705875,-0.3009265,-0.16410249999999998,-0.33053875,Nglycan_ER
ALG10B,0.24110000000000004,-0.029990000000000017,-0.213265,-0.16844925,-0.23534075000000002,-0.366021425,-0.2805785,-0.587985,Nglycan_ER
ALG11,0.5117225,-0.28644425,-0.2526945,-0.8665175,-0.2810275,-0.27520275000000005,-0.6173,-0.5277725,Nglycan_Cyto
ALG12,0.3971535,-0.65924,-0.36176375,-0.3178125,-0.7214674999999999,-0.33043125,-0.334349375,-0.55542375,Nglycan_ER
ALG13,-0.08405424999999998,0.18544475,0.14867,0.09014400000000002,-0.2939975,0.181059175,-0.18912500000000002,0.027263750000000003,Nglycan_Cyto
ALG14,0.11141413749999997,0.020773499999999973,-0.18599555,-0.135888875,-0.029529374999999997,-0.19423,-0.33927462499999994,-0.445982,Nglycan_Cyto
ALG2,0.2101125,-0.141628,-0.09459000000000001,-0.19487325,-0.219635,-0.18601000000000004,-0.23370774999999996,-0.297135,Nglycan_Cyto
ALG3,0.4817,0.009086750000000005,-0.07708325,-0.386442575,-0.427635,-0.72695,-0.26843775,-0.63881,Nglycan_ER
ALG5,0.45702374999999995,0.0213575,-0.34931075,-0.020065,0.14351075,-0.40810250000000003,-0.276693175,-0.57542,Nglycan_Cyto
ALG6,-0.08606749999999999,0.184878,0.03301475000000001,0.09860574999999999,0.09947225000000001,-0.17702500000000002,-0.2795175,-0.52149,Nglycan_ER
ALG8,0.08913424999999997,-0.04107625000000001,-0.09905775,-0.34886625,-0.22061675,-0.64037,-0.19574225,-0.39409125,Nglycan_ER
ALG9,0.37934500000000004,-0.294365,-0.178715,-0.36709749999999997,-0.5233475,-0.319465,-0.6005,-0.5709075,Nglycan_ER
