Gene,Mito,ConA,DAPI,WGA,Phalloidin,Sum
AAAS,47.0,29.0,54.0,27.0,27.0,184.0
AAED1,22.0,40.0,42.0,61.0,15.0,184.0
AARS2,21.0,7.0,27.0,18.0,89.0,166.0
ABCB7,42.0,17.0,55.0,24.0,48.0,198.0
ABCC6,15.0,8.0,61.0,16.0,9.0,121.0
ABHD14A,15.0,8.0,52.0,7.0,20.0,113.0
ABHD17B,16.0,10.0,70.0,10.0,23.0,136.0
ABHD6,40.0,46.0,26.0,57.0,26.0,189.0
ACBD3,14.0,10.0,27.0,59.0,16.0,123.0
ACTN1,35.0,51.0,10.0,27.0,17.0,144.0
ACTR5,25.0,18.0,30.0,73.0,15.0,160.0
ACTR6,63.0,41.0,39.0,32.0,19.0,195.0
ACVR2A,20.0,8.0,28.0,10.0,57.0,126.0
ADA,23.0,8.0,14.0,15.0,53.0,118.0
ADAM10,70.0,20.0,46.0,26.0,40.0,191.0
ADAMTS7,34.0,15.0,75.0,20.0,12.0,173.0
ADCY10,31.0,22.0,27.0,55.0,57.0,196.0
ADGRA2,17.0,12.0,78.0,28.0,32.0,174.0
ADGRB1,28.0,18.0,53.0,14.0,18.0,140.0
ADGRL1,37.0,13.0,91.0,13.0,18.0,184.0
ADH5,60.0,19.0,17.0,27.0,15.0,143.0
ADPRH,24.0,14.0,17.0,85.0,17.0,158.0
ADRBK1,20.0,6.0,16.0,17.0,53.0,115.0
AEBP1,69.0,10.0,21.0,9.0,16.0,131.0
AGTR1,28.0,12.0,54.0,9.0,13.0,126.0
AHCTF1,34.0,41.0,36.0,39.0,29.0,187.0
AHCYL1,63.0,21.0,45.0,22.0,29.0,183.0
AHCYL2,17.0,9.0,16.0,29.0,54.0,124.0
AHDC1,40.0,49.0,23.0,35.0,47.0,196.0
AHNAK,22.0,60.0,17.0,35.0,27.0,165.0
AHRR,41.0,43.0,21.0,24.0,61.0,185.0
AIFM1,19.0,8.0,16.0,9.0,72.0,129.0
AIM2,22.0,11.0,20.0,10.0,54.0,127.0
AKAP5,36.0,56.0,20.0,51.0,34.0,189.0
AKT2,28.0,9.0,31.0,13.0,72.0,157.0
ALDH3A1,25.0,6.0,67.0,14.0,14.0,133.0
ALG1L,53.0,47.0,13.0,23.0,14.0,147.0
ALG8,19.0,8.0,14.0,18.0,53.0,120.0
ALKBH6,21.0,9.0,35.0,21.0,54.0,158.0
ALOX5,55.0,29.0,18.0,69.0,13.0,186.0
ALOXE3,31.0,19.0,46.0,69.0,22.0,188.0
ALYREF,66.0,15.0,28.0,19.0,30.0,172.0
AMOTL2,46.0,14.0,59.0,23.0,15.0,162.0
ANAPC10,62.0,11.0,19.0,22.0,23.0,147.0
ANAPC2,36.0,9.0,43.0,23.0,54.0,176.0
ANKFY1,31.0,49.0,20.0,28.0,20.0,145.0
ANKHD1,26.0,19.0,54.0,25.0,32.0,170.0
