Metadata_Foci_Barcode_MatchedTo_GeneCode,Cells_Granularity_1_WGA,Cells_Granularity_2_WGA,Cells_Granularity_3_WGA,Cells_Granularity_4_WGA,Cells_Granularity_5_WGA,Cells_Granularity_6_WGA,Cells_Granularity_7_WGA,Cells_Granularity_8_WGA,Subunit
ALDOB,0.19936325,-0.052661875000000025,0.0526725,0.17255024999999996,-0.33537187500000004,-0.262594125,-0.07183124999999999,-0.20708625,Assembly
ATP6AP1,-0.42218750000000005,0.337616,0.38866,0.47102200000000005,0.18580999999999998,0.5289200000000001,0.04711699999999999,-0.07312887500000004,V0
ATP6AP2,-0.14093125,0.32920499999999997,0.66273375,0.3564025,0.253059875,0.36916375,0.19798125,-0.11166375000000003,V0
ATP6V0A1,0.17473350000000004,-0.306640125,-0.03591875000000003,-0.0052610000000000295,-0.21343875,-0.12207525,-0.23350125,-0.26518400000000003,V0
ATP6V0A2,0.22077249999999998,0.13342275,-0.051625250000000004,-0.162935,-0.26592750000000004,-0.47173325,-0.0811455,-0.31821825,V0
ATP6V0A4,-0.04822499999999996,-0.06374499999999998,-0.368689125,-0.243335,0.166887,0.047083,0.162639625,-0.28823624999999997,V0
ATP6V0B,-0.59168,-0.030344999999999997,0.40015500000000004,0.18989399999999998,0.17929050000000002,0.17521775,0.49139325,-0.10078000000000001,V0
ATP6V0C,-0.8717425,0.2232925,1.5645,0.9761625,0.6800725000000001,0.11252352500000001,-0.026124499999999967,0.66753625,V0
ATP6V0D1,-0.462011,0.16037125,0.31869610000000004,0.26181499999999996,0.12702999999999998,-0.0820575,-0.05426600000000001,-0.282485,V0
ATP6V0D2,-0.140395,0.273285725,-0.05498249999999999,-0.24772325,-0.12223574999999999,-0.037305,-0.34937675,-0.336312,V0
ATP6V0E1,0.03601275000000001,-0.061387250000000004,0.05704500000000001,-0.06160275,-0.032275,-0.5026725000000001,-0.4505925,-0.47822,V0
ATP6V0E2,-0.19952575,0.02903249999999999,-0.3140705,0.022013200000000007,-0.029402500000000012,-0.002006250000000001,-0.0467775,-0.29159,V0
ATP6V1A,-0.97329125,-0.036835712500000034,0.497645,0.735875,0.63826375,0.3806225,0.15520865625,-0.0064833750000000065,V1
ATP6V1B1,-0.2684875,-0.199288,0.050455,0.39966555,0.23300249999999995,-0.04375000000000001,-0.33496175,-0.371205,V1
ATP6V1B2,-1.102045,0.7422387500000001,0.73603875,0.39944375,0.26446464999999997,0.27267925,0.511123,0.5203325,V1
ATP6V1C1,-0.1687775,0.12304275,0.26122999999999996,0.25361,0.03209250000000001,-0.056877500000000004,-0.156955,0.23791249999999997,V1
ATP6V1C2,0.1983885,-0.06527149999999998,-0.06346925,-0.340923,-0.17222825,-0.4521155,-0.5291125,-0.51703,V1
ATP6V1D,-0.956545,0.147329,1.262835,0.49421299999999996,0.30523374999999997,0.06136249999999997,-0.05298125,-0.15470200000000003,V1
ATP6V1E1,-0.34229,0.0960875,0.68721,0.33105325,-0.092924,-0.17610499999999998,-0.25935175,0.012280550000000008,V1
ATP6V1E2,-0.09782000000000002,-0.04823,-0.34899250000000004,0.041767500000000006,0.42121250000000005,-0.21977675,-0.3597475,0.216445,V1
ATP6V1F,-0.39225745,0.18917287500000002,0.4344575,0.1166325,0.12570499999999998,-0.13349450000000002,-0.42239499999999996,-0.489475,V1
ATP6V1G1,-0.44676425,0.46955250000000004,0.2762125,0.8242389999999999,0.15789899999999998,0.019532499999999994,-0.2909255,-0.03372499999999999,V1
ATP6V1G2,0.139245,0.059471874999999993,-0.28481925,-0.28128062499999995,-0.019410499999999997,-0.5671962500000001,-0.5555975,-0.4186275,V1
ATP6V1G3,0.0781135,0.2836025,-0.15348425,0.1576525,-0.1631325,-0.48223000000000005,-0.490875,-0.3377775,V1
ATP6V1H,-0.979425,0.27517325,0.38964075,0.29795574999999996,0.10388250000000003,0.22250082499999999,-0.11105874999999998,0.34460375000000004,V1
CCDC115,-0.10633000000000001,-0.14706775000000002,-0.135685,-0.11462099999999999,-0.11007375000000003,-0.07337624999999998,-0.34825249999999996,-0.38324600000000003,Assembly
RNASEK,-0.2435775,0.07072975,0.10242,0.052525,0.008829999999999984,-0.11501249999999998,-0.25365975,-0.37266750000000004,V0
TCIRG1,0.10170000000000001,-0.06844449999999999,-0.34224875,-0.09094550000000001,0.136285,-0.24832249999999997,-0.46487,-0.320634,V0
TM9SF4,-0.040063999999999995,-0.219775,-0.195932,-0.278057,0.078023,-0.203542,-0.31338750000000004,0.08139575000000002,Assembly
TMEM199,0.002826249999999999,-0.09607325,-0.11735699999999996,-0.234307625,0.07752999999999999,0.12766375,-0.18946125,-0.1810775,Assembly
VMA21,-0.04421874999999999,-0.1936725,0.30928374999999997,-0.13656250000000003,-0.32243374999999996,-0.5980425,-0.46297375,-0.36520375,Assembly
nontargeting,0.17459908273127756,0.07453714926651982,-0.12111906233480177,-0.20104966936123347,-0.2604789933920705,-0.4878846231277533,-0.5525345704845815,-0.5184036563876652,control
