Gene,Effect
A1BG,-0.280561949812
NAT2,0.144133851632
ADA,0.201831509613
CDH2,-0.0512970845621
AKT3,0.178907719656
MED6,-0.721012682114
NR2E3,0.0197205277937
NAALAD2,0.0170923158878
DUXB,0.273842364598
PDZK1P1,0.0528271836981
DDTL,0.336145642648
NAALADL1,0.218140959988
GUSBP9&LOC100653061&SMA5&GUSBP2&GUSBP3,0.00943647937492
SIGLEC14,-0.442999649695
ACOT8,-0.292494523879
ABI1,-0.449745070268
GNPDA1,0.0786799811154
KCNE3,-0.0859860322698
ZBTB33,0.00479759786654
GTF2IP4&GTF2IP1,0.141520257073
CDH3,-0.227393829484
TANK,-0.33552256374
POM121C,-0.169398371793
PMS2P7,-0.0158627606925
LOC100101478&H2BFXP,-0.111716066708
TMEM170B,
FAM86JP&FAM86C1&FAM86FP,-0.0919017349954
EGOT,
LOC100128076,-0.00966150996443
CTAGE4,-0.0154494609348
CDC42P3,0.129703194478
ZBTB42,
LOC100129055,
SLC39A12-AS1&LOC389834,
LINC01160&LOC105379331&LOC107984772&FAM71F2,
FAM106CP,0.559040942585
MSTO2P,-0.167374078856
LOC100129434,0.00828276041326
DPY19L1P1,0.0991748513031
ZNF737,0.163080792275
HDAC6,-0.0259767397519
LOC100130075,-0.162681871319
HSFX2&HSFX1,-0.299088757138
LOC100130331,
PARD6G-AS1,-0.224571658332
LOC100130691,0.141215774712
LRRC70,
LRRC69,0.0140095310309
SBK3,
TSTD3,
ZNF663P,0.298629093142
C7orf72,-0.30354853015
RPL21P28&RPL21,-0.170141831439
LOC100131257,0.266889082877
RAB6C-AS1,
CD300LD,
ZNF705E&ZNF705B,0.00545630381354
LOC100131626&LOC105376489&LOC105379724&LOC107985887&SOX9-AS1,
UBE2DNL,-0.10895257611
RRN3P3&LOC101060405,0.179685608109
LOC100132154,0.0889795605961
KIR2DS2,0.136128985977
FAM157B,-0.0453474633083
NBPF10&NBPF26&NBPF15,0.126943152949
FCGR1CP,0.41915076928
FAM99B&FAM99A,0.169791029634
KRTAP4-7&LOC100996750,0.125622669604
GOLGA8F&GOLGA8G,0.0784383472601
PGAM1P5,0.322026259054
DCAF13P3,
PMS2P9,0.0642043189935
GOLGA8DP&GOLGA8EP&GOLGA8CP,0.0917056247406
RASA4DP,-0.0114693403729
LOC100133050&LOC102725009,-0.041388032063
LINC01001&LOC105377826&LOC107984841,0.0870742986
GOLGA6L3&GOLGA6L19&LOC102724093&LOC102724117&GOLGA6L5P&GOLGA6L9&GOLGA6L17P&GOLGA6L4&GOLGA6L10,0.0551534394202
LOC100133920,0.146495994884
CD24,-0.116712284219
KCNJ18,0.494752180599
UPK3BL1,
JMJD7,
PLA2G4B,-0.0430101794228
HDAC5,-0.291591906618
C17orf99,0.120937579059
CTAGE8,0.222598431468
KLLN,-0.278568125478
PDCD6IP,-0.195683278624
PDCD6,-0.314263243201
BCL2L10,-0.0569633070606
SRRM5,-0.496451825685
BCL2L11,0.112607073787
TOMM6,-0.230568950976
LINC00092&SMIM12,
SH2B3,-0.224292464506
C5orf52,-0.235407888417
PPIAP30,0.0713224514842
CDH4,-0.155106611627
GNE,-0.217242447713
HCN4,-0.0255322162555
INSL5,0.193221715712
FRAT1,-0.0189853387794
TROAP,0.00709169940023
MED16,-0.0826867763033
PIGK,0.128472725192
ARHGEF33,0.0118180361276
LIMS3-LOC440895,-0.0172005440051
SMG1P3&SMG1P1,
MEF2B,0.151596271258
ZNRF2P2&ZNRF2P1&LOC646762,
RASA4B,-0.0293864900811
CMC4,-0.184006388072
FAM86KP,0.213243667233
LOC100287072,0.350150202818
WASHC1,-0.178019768596
ZNF729&ZNF99,
POTEB2,0.0148427313699
ANKRD66,-0.406862421632
LOC100287896,-0.0724619009593
TTC34,
SDR42E2&LOC105371187,0.0417088297842
NBPF20,-0.33651546543
NPIPA5&NPIPA7&NPIPA8&NPIPB13&NPIPA3&NPIPA2&NPIPA1,
ULK4P2&ULK4P1,
REXO1L2P&LOC100288562&LOC101929601&LOC101929627&LOC101930111&REXO1L1P,0.134405937574
LIMS4&LIMS3,0.159528926071
LOC100288778,-0.0361948423693
FRG2C,-0.0618753476931
HYDIN2,-0.267219927052
LOC100288966&POTED,-0.145208267985
TSPY10&TSPY1&TSPY3&TSPY4&TSPY8,0.0548374842743
FRG1CP,-0.176500552891
DEFB4B&DEFB4A,0.0400658003215
LOC100289561,0.141921034147
ZNF605,0.0872505603013
C4B_2&LOC110384692&C4A,0.241535276957
CDH5,-0.12056009171
MIR1244-1&MIR1244-3&MIR1244-2&MIR1244-4,
GPR75-ASB3,-0.0991272062561
TMED7-TICAM2,-0.254838339935
TSNAX-DISC1,-0.049759124558
NDUFAF4P1,0.203704727092
SPDYE2B&SPDYE2&SPDYE6,-0.219275518968
GCSHP3,0.161933142815
CHAF1A,-0.463733399112
NPPA-AS1,
PARP2,
PARP3,-0.250524169628
CDH6,-0.0509262845672
TOM1L1,0.180663309386
DBET,-0.238979038569
HMGXB4,-0.0123271173269
SMG1P6&LOC101060596&LOC105371128,
TOM1,0.139259293145
SH2D3C,0.156732098178
SH2D3A,0.0352001119827
MAMLD1,-0.209599411896
CST8,-0.290299328005
RANBP9,-0.00119409136626
DNAJB6,-0.11433684887
LINC00881&LOC105373218,
CCDC180,-0.193071568755
CDH7,-0.086118969071
SLC17A4,0.37318025723
