Gene,Effect
LINC01602,0.421924617611
LOC100505534,
SPATA1,0.108844465986
SPDYE18&SPDYE16,-0.150742819502
LINC01549,0.382151036618
PPP5D1,0.122234185268
ARL17B,0.155740436945
LOC100506127,-0.221714709088
LOC100506248,-0.375225420143
GAS6-AS2&LINC00501&KIAA1328,
LOC100506422,0.0474159209631
PRKAR2A-AS1&C1orf210,
OCLN,0.00253291605163
SLFN12L,-0.0560296769295
ELOA3D&LOC101930165&LOC105369241&ELOA3C&LOC107985121&TCEB3C&ELOA3B,0.0244366358935
SMLR1,
ERVK13-1,-0.0195812238428
MICA,0.0116793070117
LINC02554&LOC107986693&LINC01343,
LOC100509620,-0.0787630987207
SMC4,-1.10778264037
TBC1D3J,
GJC1,-0.155439170773
LY75-CD302,0.280343756686
ARPC4-TTLL3,0.0346089491251
MSANTD3-TMEFF1,0.0178879466464
RBM14-RBM4,0.0154665536338
ATP5J2-PTCD1,-0.0885272731949
ABHD14A-ACY1,0.0390219579747
CCDC169-SOHLH2,-0.017732652954
RNF103-CHMP3,-0.194637771392
TMEM110-MUSTN1,-0.0787767135134
EPPIN-WFDC6,0.0445700323242
C15orf38-AP3S2,-0.316715326629
NT5C1B-RDH14,0.0443471838671
INMT-MINDY4,0.215998022918
SLX1A-SULT1A3&SLX1B-SULT1A4,0.0365925932728
PHOSPHO2-KLHL23&KLHL23,0.0310987108057
SEPT5-GP1BB,0.00639285283796
FPGT-TNNI3K,-0.195165301869
BLOC1S5-TXNDC5,-0.110795672437
EEF1E1-BLOC1S5,-0.0285308810783
RPL17-C18orf32&RPL17,-0.897476656215
TGIF2-C20orf24,-0.186938545269
GIMAP1-GIMAP5,0.139027107625
GJA9-MYCBP,0.0509704563342
MROH7-TTC4,-0.0131008648516
PMF1-BGLAP,-0.264253454013
TMEM56-RWDD3,-0.418225773679
BORCS7-ASMT,0.352224780121
TMX2-CTNND1,0.0940542407329
SAA2-SAA4,-0.000258037006878
ARL2-SNX15,-0.601419139858
HSPB2-C11orf52&C11orf52,
ST20-MTHFS&MTHFS,-0.459051753276
BLOC1S1-RDH5,-0.400359440422
POC1B-GALNT4,-0.025822755793
FKBP1A-SDCBP2&SDCBP2,-0.0494942305669
KLRC4-KLRK1,-0.0543539052122
ARMCX5-GPRASP2,0.0612311497908
NEDD8-MDP1,-0.418336778484
BCL2L2-PABPN1,0.00306212931297
SERF2-C15ORF63&HYPK,-0.223686509521
RPL36A-HNRNPH2,0.0189680828181
CORO7-PAM16,-0.0388941253624
TEN1-CDK3&CDK3,0.196833774912
RAD51L3-RFFL,0.000226206083285
RNASEK-C17orf49&C17orf49,-0.177495142105
TMEM256-PLSCR3&PLSCR3,-0.237330320346
ZNF559-ZNF177&ZNF177,-0.272475400357
RPS10-NUDT3,-0.119136025622
ZNF816-ZNF321P&ZNF321P,0.0365027313376
HSPE1-MOB4,0.229709789425
CKLF-CMTM1,0.312556557093
SYNJ2BP-COX16,-0.267832245311
CHURC1-FNTB,-0.18281729722
MIA-RAB4B,0.0799824436722
RAB4B-EGLN2,0.00250545747174
ZNF625-ZNF20,-0.128000886161
AP1M2,-0.324092492376
NPHP3-ACAD11,0.2283432331
NDUFC2-KCTD14,-0.17230940189
COMMD3-BMI1,0.0338017003088
MSH5-SAPCD1,-0.0151973885801
INO80B-WBP1,-0.3565856607
MINOS1-NBL1&NBL1,-0.0503126254313
ATP6V1G2-DDX39B,0.185495212616
PIR-FIGF,0.145442491402
PPT2-EGFL8,0.257433411912
C8orf44-SGK3,-0.0373014304703
RTEL1-TNFRSF6B,-0.0555937482808
ZNF670-ZNF695,0.493480709005
UBE2F-SCLY,0.0613664729839
FXYD6-FXYD2,-0.0248380516374
ARHGAP19-SLIT1,-0.54396596602
FAM24B-CUZD1&CUZD1,0.261206038273
PRH1-PRR4,0.43573281065
BIVM-ERCC5,0.104501928662
DNAAF4-CCPG1,-0.0581911927272
TVP23C-CDRT4,-0.0859340466692
SENP3-EIF4A1,0.308418513214
P2RX5-TAX1BP3,0.081922994473
SLMO2-ATP5E,-0.242273633667
APOC4-APOC2,0.086966078228
MAGEA10-MAGEA5&MAGEA5,0.296385391193
TNFAIP8L2-SCNM1,0.136564104472
HOXA10-HOXA9,
URGCP-MRPS24,0.445544848511
STX16-NPEPL1,0.106238819597
HNRNPUL2-BSCL2,0.149095188146
ISY1-RAB43,0.212722765586
TM4SF19-TCTEX1D2,-0.282598006624
C1QTNF3-AMACR,0.114594185754
UBA2,-0.73703861207
SAE1,-0.271770354348
FARSB,-0.327384508448
ABCC5,-0.0687444026098
ABCB6,0.122211395896
DNM1L,-0.378216587999
CDH8,0.11478304622
ABCC9,-0.040001683556
ABCF2,0.0540250869552
NR1H3,-0.0287677336471
COX17,-0.0865541017044
LOC100630923,-0.0117343372241
FAM47E-STBD1,0.339820517996
SNX29P1&SNX29P2,
LOC100652833,0.13429293547
ALOX15P1,0.143357130202
LOC100653049,-0.300526773878
SCAMP2,0.154411348942
SCAMP3,0.103540000731
IL18BP,-0.154364559323
RWDD2B,0.0761916380258
MUC12,
DPP3,-0.243526046865
SNUPN,-0.00952708415604
HUWE1,-0.766964788903
PTPRU,0.0139372073065
TSPAN32,-0.0506667026418
TSSC4,0.183792545014
ATP9A,0.160493142348
CDH10,0.0146414751127
PDCD7,0.0381077937238
GPC6,-0.258248810912
MYZAP,0.147958840438
USH1C,0.201551032849
PQBP1,-0.16861845283
EDIL3,0.0669947356291
HHLA1,-0.135925235107
FSBP,-0.0853344047825
CYP3A7-CYP3A51P,-0.167652180223
COL4A3BP,-0.2538858933
PTGES3L-AARSD1&AARSD1,0.252395533729
MRPS31P5,
KCNK7,0.0697527513467
CDH11,-0.296367877599
UST,0.155745587908
APOBEC3A_B,0.19843011955
ARPC5,0.0269060313572
ARPC4,-0.268398647915
ARPC3,-0.0275597582236
ARPC1B,-0.269662640849
ACTR3,-0.603057627064
ACTR2,-0.598354954158
TSPAN5,0.170821077306
TSPAN3,-0.163243209227
FAM106B,-0.11450483656
POTEB,0.0214806228109
LOC100996335&LINC01663&FAM230B,0.100324815722
LOC100996337,-0.181979413969
LOC100996401,-0.194603360422
LOC100996413&LOC101060580,
LOC100996415,0.073210009683
LOC100996517&LOC100996716&LOC102724364,-0.266879853057
FAM74A7,0.111478821739
LOC100996643,0.222832965522
LOC100996709&LOC107984156,0.135630046861
SRGAP2D,
LOC100996717&LOC100996763&NOTCH2NL,-0.1585771438
LOC100996724,0.247932297179
SPDYE11&SPDYE13P&SPDYE15P&SPDYE14P&SPDYE10P&SPDYE8P,0.00954985150081
LOC100996747,-0.430713546729
NPY4R2,-0.107942343191
LOC100996792,
LOC100996911&LOC101929235,
C7orf55-LUC7L2,0.205473755695
PYURF&PIGY,0.104285795405
ADAM8,0.14125749119
CDH12,0.0460202740624
TSPAN2,0.00854458377354
TSFM,-0.153859184514
TSPAN1,-0.0310896341252
PPIF,0.0770911086041
GOLGA8R&LOC107984057&GOLGA8N,0.0468635454334
CTDSP2,-0.0436284177787
CT45A7&CT45A10,0.118638714833
NBPF19&NBPF1,-0.12467601793
OPN1MW3&OPN1MW2,-0.0182550347597
HNRNPCL4&HNRNPCL3,-0.213400477175
TBC1D3G,0.250837050067
TBC1D3K,-0.00741623833687
TBC1D3L,0.0665300144968
TBC1D3D,0.256228770915
LOC101060399&CDR2,-0.286665973314
LOC101060442&LINC01992&LOC105373943&LOC105379012&LOC107986939,
LOC101060521&POLR3E,0.0475581511711
LOC101060524&DRD5P2,-0.127718299225
LOC101060604&SLC7A5P2,-0.0109801438199
LOC101060696,-0.227177839991
TRIM10,0.356289063758
ARPC2,-0.450280161007
SGK2,-0.274273906471
RAD50,-0.0216956007737
KIF20A,-0.299219502626
PREB,-0.456653165824
HIPK3,0.257946295881
ENAM,0.0644201510859
IPO11-LRRC70,
CDH13,0.16086568936
ACTR1B,0.391685836702
ACTR1A,-0.874551050225
ARL4C,-0.2418722167
ARL4A,0.203445291014
ZNF263,-0.0289531573691
LRPPRC,-0.166618077836
FRY,-0.157113949372
CDH15,-0.053976263743
PDIA6,0.149493838978
TRAP1,0.059453650928
OPTN,-0.039634183123
NAMPT,-0.0567803586482
CELA3A,0.00326016691738
RBM12,-0.0552906911424
YAF2,0.000337722809357
ARFRP1,-0.00359427098102
CDH16,-0.28318031941
TOB1,-0.0828480930754
LINC01587,0.134802025745
AKAP9,-0.0900277137742
CLEC3A,0.26128301754
FAM13A,-0.2080333136
G3BP1,-0.145236417526
SUGP2,0.109462582816
EBI3,-0.202850843668
ADGRG2,0.0102811157247
CDH17,0.251821739998
MBNL2,-0.1656160592
HNRNPA3P1,-0.145196962178
ABI2,-0.160490530378
CEBPZ,-0.368672822808
PLXNC1,-0.0496143375572
TRIM28,-0.151396943931
RASA4,-0.0345023602006
AASS,0.0926712818026
PDZK1IP1,0.115813005289
ATP6AP2,-0.245077015338
CDH18,-0.0627843051254
LPAR6,-0.0802869070648
LPCAT3,0.333371897209
WASF2,0.217818225865
CHST4,-0.0409095166729
SLC25A13,-0.0958619666702
SLC25A15,0.233714041837
ZNF197&ZNF660-ZNF197,-0.00254000632198
SERF2,0.373079579243
CDK2,-0.0444112536839
DHRS9,0.00190013118711
ZNF256,-0.03364528805
SPECC1L-ADORA2A,-0.0741020555308
SORBS3,0.250521936358
CNIH1,-0.213017782761
STAG3L5P-PVRIG2P-PILRB,-0.093709174986
TENM1,0.0286168794946
RBM7,0.123836835686
RBM6,0.193604143868
RBM5,-0.0179989430463
LHFPL2,0.460702535776
LHFPL6,0.0920002430386
TNK2,-0.065287583439
ALYREF,-1.53428864601
CDK4,-0.0555304655371
TXNDC9,-0.0844625190502
LOC101926889,0.262938013651
LOC101926969,-0.1260919305
LOC101927060,0.0632026813658
CH17-125A10.2&LINC01632,-1.12699759706
LINC01361&LOC105369547&LOC105377362,
LOC101927562,
LOC101927615&LOC102723393&LOC105379274,
HSFX4&HSFX3,-0.11751008293
LINC01425&LOC105379039&WHAMM,
LOC101928058&LOC102724624&LOC388436&LOC79999,
LOC101928195&LOC101929583&LOC102724580&LOC102724904&LOC105379443&LOC107984066&LOC286297,-0.185972018086
LOC101928208,-0.154175874515
LOC101928422&LOC154761,
LOC101928556&LOC101928671,
LOC101928635,
LOC101928704&LOC105377224,
LOC101928879,0.224728736504
LOC101929031&LOC102723890,-0.199675050521
LOC101929141,0.687653513092
LOC101929163&LINC00620,0.0173466203484
LOC101929322,-0.133946291861
LOC101929380&LINC02547,
LOC101929418&LOC105371345&UBXN7,
FANCD2P2,
LOC101929540,-0.115095406291
LOC101929599,-0.272004285954
LOC101929738&LOC102724151&LOC102724728&LOC107985583&POM121L8P,0.038768079817
LOC101929748,
LOC101929774&LOC105369225&LOC105376844,0.125091924287
LOC101929775,
NBPF25P,0.233969117763
LOC101929796,0.110839231744
LOC101929812&LOC102724994&LOC102724995&LOC107986351,0.215418022158
LOC101929829,0.126954510263
LOC101929876,-0.383571764141
LOC101929894,0.167982982256
LOC101929927&FAM90A25P&FAM90A7P,-0.140752103622
LOC101929950,
LOC101929970,0.0173851157538
PRAMEF27&LOC101930169,
RNF41,-0.300229881824
LOC101930006,
LOC101930073&LOC107987389&FAM230A,0.182308572501
LOC101930105,0.100864490752
LOC101930123&EEF2K,-0.168591992824
LOC101930665,
TSHZ1,0.145530881059
ALG3,0.312626946363
PRMT3,-0.25645174633
PSME3,-0.046769427074
MPHOSPH9,0.0186885562647
MPHOSPH10,-0.635502394375
ADAM10,
CDK5,-0.187629728283
MPHOSPH6,-0.808464069174
NME6,-0.205874939832
DHRS2,0.168160492584
CALCRL,-0.095282167977
NUTF2,-1.77724298976
MPZL2,-0.0377635392857
TRIM13,0.0135247775877
PATJ,0.06313019354
USPL1,-0.813557628123
EIF1,0.126299128877
CDK6,0.303926892498
TOPORS,-0.0810784992892
FLOT1,-0.190199454177
DDX39A,-0.484986330917
PSMD14,-0.63514723623
SSX3,-0.0481818037471
OLIG2,0.0516099606283
CTDSPL,0.136598866559
ANGPTL7,-0.125653283161
KLRG1,0.0944306063467
CDK7,0.00840768148671
GDF11,0.0818191616373
TRIB1,0.0128761338174
GPA33,-0.222685088203
ZNF443,0.188539084185
CD96,0.137046754999
PLIN3,0.245728798792
MFSD10,0.0480142383525
STX6,-0.242543534266
C11orf98,0.241328309252
COQ7,0.0947929765617
NBR2,0.160426421498
RCAN2,0.123645732136
MSLN,
LRRC23,-0.213198598707
RASGRP2,0.188137871924
HNRNPR,-0.214921358269
SLC35B1,-0.461720596974
DCAF7,-0.301602950121
AP3S2,0.183507319332
CDK8,-0.0106857742817
MRPS31,-0.25942710804
CALCOCO2,0.474142132444
KCNMB2,-0.211922225541
GPHN,0.394087770505
RABEPK,-0.0293697578497
SLC17A2,-0.421464005319
RIDA,0.0970146777255
POP7,0.0156122994861
GLYAT,0.304061359722
CDK9,-0.521165030046
SRRM1,-0.250393496529
SPRY1,-0.321594152231
SPRY2,0.31516504366
STAM2,-0.212639435314
CNKSR1,-0.137374392619
ABCC4,-0.0247980065978
CDKN1A,0.0681332840925
IGSF6,-0.192176374303
SF3B4,-0.782217857401
CDK2AP2,-0.19169217948
IRX5,-0.277940879021
RAMP2,-0.188132595449
RAMP1,-0.208230962138
RAMP3,0.0161792838922
ZMPSTE24,0.0504693666306
CDKN1B,0.269821052357
AKAP8,-0.121832230947
FSTL3,0.0473349459443
LOC102723382&LOC105379417,
FRG1EP&LOC102724813,
LOC102723414&LOC102723608&LOC102723819&LOC102723933&LOC105371747&LOC105379635,
KCNE1B&KCNE1,-0.136447044043
LOC102723478&CXADRP2,-0.0617256576127
LOC102723502&POTEB3,-0.105879209081
KANTR,-0.0210358613736
CSAG2&CSAG3,0.188707933963
ANKRD20A21P,0.301970093494
SMIM11B&SMIM11A,-0.57767786655
CDC27P9&CDC27P10&CDC27P11,
LOC102723623&GOLGA6L1&GOLGA6L22&LOC645202,-0.153659727757
LOC102723655&LOC102723713&TP53TG3E&TP53TG3F&TP53TG3&TP53TG3C&TP53TG3D&TP53TG3B,-0.0882006743281
CT45A9&CT45A2,-0.0569477431354
LOC102723728,0.220138926407
CT45A8,0.1100924675
LOC102723753,
LOC102723780&FRG1,0.425953874943
LOC102723840&LOC102724521,
SPDYE17,0.102917630242
TBC1D3E,
LOC102723897,-0.621728543926
LOC102723917&RPL23AP7&RPL23AP82&RPL23AP87,0.164492023753
LOC102723930&LOC105369184&LOC107984810,-0.0947601868911
LOC102723996,-0.0133614031391
LOC102724023&C21orf33,0.159832526524
LOC102724159,-0.572652388739
LOC102724184,0.115225565588
LOC102724197,0.168165591835
LOC102724229,
LOC102724250,0.0711065654306
SVIL-AS1,
LOC102724334,-0.148293864074
CH507-42P11.6&LINC00319,-0.112886598877
LOC102724428,0.208002336163
LOC102724488&SYT15,0.0829426101721
LOC102724507&AQP7P1,
CBSL&CBS,0.209495979382
LOC102724562,0.277649386152
U2AF1L5&U2AF1,-1.24523016237
LOC102724642,
LOC102724652&CRYAA,0.450422530756
LOC102724727&LOC283788&FRG1JP,0.0594752114429
LOC102724751&LOC107985589,-0.0825947127258
LOC102724770&DGCR6,0.112402854653
LOC102724788,0.195961980808
TBC1D3I,0.168018539168
LOC102724865,-0.320147018885
LOC102724984,0.156619551857
LOC102724985&PDXDC1,-0.200469531653
LOC102725023&KIR2DS3,-0.0274057567926
LOC102725034&LOC107987441&LOC107987446&LOC107987451&LOC107987456,0.0642364843755
LOC102725035,-0.13887606664
LOC102725070,0.310442704356
LOC102725117,-0.105642101986
LOC102725241,-0.508370032751
STUB1,0.0701298408181
STAG1,0.188747586299
NET1,0.11634290089
UBE4B,-0.221893004239
PRSS16,-0.03469344191
CDKN1C,-0.0541144940122
SIGMAR1,-0.15103173409
LOC400927-CSNK1E,0.0222663766361
DSCR4,0.197380442365
BET1,-0.149845387831
CWC27,-0.213394715036
SAP18,-0.828916115907
SMNDC1,-0.781234818177
BCAS2,-0.242307280465
RGS19,-0.0669382278197
LILRB2,-0.107181849295
EIF1B,0.116375620298
CDKN2A,0.156701108855
SPEG,0.203079863377
SF3A1,-1.20976784857
TRAIP,-0.0836358473665
DNAJA2,0.326942491454
BCKDK,0.0373637485317
MAEA,-0.137752559167
APC2,-0.120643736933
PAK4,-0.25293855477
MARCH6,0.078840484553
ADAR,-0.137616959666
CDKN2B,-0.152915657449
KATNB1,-0.0135015073348
DLEU1,0.163216849221
SNAPC5,-0.393040789231
LOC103021295,
APBB3,-0.220529756025
ZNF267,0.018370869402
CCNO,-0.0676517681281
CDKN2C,-0.0263850427124
DSCR3,-0.052194839985
TCIRG1,0.0496343313654
RTN3,-0.339924322036
LANCL1,-0.0765809136216
NMUR1,-0.224720304449
B3GALT5,0.0401943887555
TNIP1,0.120616932304
LAMC3,-0.194186915055
CDKN2D,0.152076397831
IKZF1,0.23372494258
CRISP3,-0.00408936662786
SMYD5,0.0124706630055
KLHL41,0.0275609461429
RRAGB,-0.070791612794
SIRPB1,-0.201467789404
AKR1A1,0.0821228497379
EMC8,-0.322995095359
TMEM5,-0.448368670846
CDKN3,0.0258389428309
CNPY2,0.0613385642549
B3GNT3,-0.136022282542
CLEC4M,0.456529977608
TLR6,-0.180891657394
MRVI1,-0.0874442063895
PCGF3,0.0157192412417
TFG,0.11581414057
PKDREJ,0.123417300602
CCL26,-0.112194518957
TRDN,-0.00431895883615
TRIM22,-0.224560044072
ABCA7,0.0519921466501
ABCA10,-0.213472731721
ABCA9,0.284315640914
ABCA8,-0.0649037918378
WARS2,-0.230987098902
CDO1,-0.12025267114
NPM3,-0.100964583083
NPM2,-0.25416960837
HMG20B,-0.357792354983
HMG20A,-0.374937125527
KLF2,0.138062687269
MICU1,0.320894572981
CACNG3,-0.2034052627
CACNG2,-0.153894344375
CITED2,-0.167327616983
SEMA3A,-0.0406195241428
TUBA1B,-0.810374018553
IRF9,-0.284198205634
CDR1,-0.0933484546584
BPNT1,0.0831860567257
TUBB3,0.0643679270199
TUBB4A,0.059487063672
TUBB4B,-0.243689405555
BTN3A3,-0.0164782307895
BTN2A2,0.00953250075425
SYCP2,0.00407808211524
SCML2,-0.229445047846
CEPT1,-0.039325251717
CORO2B,0.0664854321998
MYL12B,0.181830381386
NOD1,0.0322074049055
ANAPC10,0.151635140119
PRG3,-0.207566144148
ATP8A1,-0.0187875338513
NDRG1,-0.283059268649
MYL9,0.0429144991859
RACK1,-0.698195091783
ADARB1,-0.149153933296
CDS1,0.199757738339
PEMT,-0.120697938309
PIAS3,0.281511847308
ST3GAL6,0.147713835805
NDC80,-0.477531448455
CPQ,-0.251884965039
WFDC2,0.146684962406
SPAG11B,-0.0575514212093
BASP1,-0.0431765123168
CDSN,0.0782450207842
IFITM3,0.0985535919148
RAPGEF3,0.030684695257
NSA2,-0.440629343686
YAP1,-0.0111249616198
SPON2,-0.0108666352212
SPON1,-0.216592472241
PRMT5,-0.0906264459503
TESK2,-0.246297285866
CD2BP2,0.00938059703403
UBAC1,-0.0721528971123
CDIPT,-0.219249737158
PGRMC2,0.126973196048
ARIH2,0.129564193461
TUBGCP3,-0.108157340015
SEC24B,-0.115149127353
CFDP1,-0.0336295920361
CD52,0.0331080791912
TMEM147,-0.328892566513
RBM14,-0.205188438784
LYPLA1,-0.3100078657
CDC42EP2,0.151602195887
EMG1,-0.820317203715
IFI30,-0.184512121964
C1D,-0.307186997865
CDX1,-0.000149669366617
TIMM17A,0.0171803269835
N4BP2L2,0.159852006359
ZER1,-0.691084958161
MCRS1,-0.467427194922
LRRN2,-0.154495842395
FAM3C,0.151050632144
SNHG14&SNRPN&SNURF,-0.025587390503
ACAA2,0.019645495044
CDX2,0.0866619181687
PPIE,-0.58243910551
VAV3,0.0319840140131
TOMM40,-1.25811918381
TAB1,-0.133450725076
ECI2,-0.0906991810688
HAX1,0.111221701742
GPNMB,-0.17739971538
BAIAP2,-0.22033172968
MAD2L2,-0.264948699164
CDX4,-0.22756771162
TACC3,-0.929749665736
MERTK,-0.255352920545
CLEC10A,-0.310759385185
SLC30A9,-0.269738882068
PPIH,-0.155064289927
COG5,-0.25561727355
ZNHIT1,-0.732552638979
FST,-0.0138981920209
TIMM44,-0.833138266687
CLGN,-0.200888262199
PFDN6,-0.0698719129928
ZBTB18,0.214710379862
HMGN4,-0.0575221171787
TADA3,-0.343921328747
TRIM38,0.151417409999
ATP5H,-0.670658324498
UBE2E3,0.228186098495
SLC25A17,-0.00043430297627
SLC9A6,0.0471572230973
CEACAM5,0.20946898939
EIF3M,-0.739439349695
HOXB13,-0.183119807307
NXF1,-0.935430440361
SEC23B,0.155111662252
SEC23A,-0.15319671458
CAP2,0.116957952539
CAP1,0.282393983984
CREB3,-0.0824276678668
LRRC41,0.0703773644432
VTI1B,-0.217336242911
LINC02210-CRHR1&CRHR1,-0.102129447325
CRTAP,0.0187550534345
SYNCRIP,-0.095318700007
STK25,0.0512147098336
ENOX2,-0.151090627109
UNC13B,-0.383950123498
CARM1,-0.14979323666
NCOA2,-0.0122732819922
ADARB2,-0.0326508336502
CEBPA,0.0602440363034
SEMA6B,-0.0889213841547
SEMA4F,-0.00472325248645
SEMA4D,-0.00537087452248
SEMA4B,-0.071924977338
CEBPB,-0.18804057292
SEMA3C,0.215457895367
APPBP2,0.247565584433
MYBBP1A,-0.414613692818
FBLN5,0.178621105547
FBXW10,-0.112408911682
CIB2,-0.0177473050966
CIB1,-0.12517733716
CEBPD,0.312185603366
ZNF211,-0.190170011261
DDX17,-0.109435690664
DEAF1,0.269234024843
CHERP,-0.282650871881
KAT5,-0.428728695049
HYOU1,-0.270529214577
IPO8,-0.0866366244559
IPO7,-0.27190121667
NOP56,0.00739051934952
NEBL,-0.0814810140702
CEBPE,0.0263682069234
PITRM1,-0.156174181953
ATG7,-0.205048483715
SSSCA1,0.0599228771046
RNASEH2A,0.0934417924366
P3H3,-0.279745687761
PKD1P6-NPIPP1,-0.381127748799
LOC105369189,-0.0424116440203
LOC105369233,0.132648947285
LOC105369236&SLX1A&SLX1B,-0.121357214044
LOC105369239,-0.0879138350767
LOC105369243&SULT1A4&SULT1A3,0.101297297823
LOC105369244,
LOC105369247,0.177094630112
LOC105369252,0.112741804755
LOC105369254,0.134621141758
LOC105369257&LOC388242&LOC613038,
LOC105369273,
LOC105369276&FAM90A10P,0.266063685715
LOC105369347,-0.146827772892
LOC105369425&LOC105378955,
LOC105369520,-0.00954486327395
