,A549_LUNG
TSPAN6 (ENSG00000000003),5.176322772640463
TNMD (ENSG00000000005),0.0
DPM1 (ENSG00000000419),6.310521900369323
SCYL3 (ENSG00000000457),2.017921907997262
C1orf112 (ENSG00000000460),4.058316495590823
FGR (ENSG00000000938),0.0
CFH (ENSG00000000971),3.7729413378313352
FUCA2 (ENSG00000001036),5.9354597478052895
GCLC (ENSG00000001084),6.777682717073553
NFYA (ENSG00000001167),3.743084055549586
STPG1 (ENSG00000001460),2.4462562298895643
NIPAL3 (ENSG00000001461),2.411426245726465
LAS1L (ENSG00000001497),6.12267271882414
ENPP4 (ENSG00000001561),0.8073549220576041
SEMA3F (ENSG00000001617),1.584962500721156
CFTR (ENSG00000001626),0.0285691521967709
ANKIB1 (ENSG00000001629),4.339137384919585
CYP51A1 (ENSG00000001630),5.780047576061869
KRIT1 (ENSG00000001631),4.798050514767515
RAD52 (ENSG00000002016),3.140778655782796
MYH16 (ENSG00000002079),0.3103401206121505
BAD (ENSG00000002330),5.733625498408233
LAP3 (ENSG00000002549),5.132165525478088
CD99 (ENSG00000002586),7.566510755857876
HS3ST1 (ENSG00000002587),0.2630344058337938
AOC1 (ENSG00000002726),0.01435529297707
WNT16 (ENSG00000002745),0.0426443374084937
HECW1 (ENSG00000002746),2.8439838440483265
MAD1L1 (ENSG00000002822),3.6678921252302334
LASP1 (ENSG00000002834),7.619779800583105
SNX11 (ENSG00000002919),4.55704241526372
TMEM176A (ENSG00000002933),0.137503523749935
M6PR (ENSG00000003056),6.980025300238734
KLHL13 (ENSG00000003096),0.7570232465074596
CYP26B1 (ENSG00000003137),3.040892430646901
ICA1 (ENSG00000003147),0.5160151470036647
DBNDD1 (ENSG00000003249),4.820689560559215
ALS2 (ENSG00000003393),3.745237332129749
CASP10 (ENSG00000003400),1.8875252707415875
CFLAR (ENSG00000003402),6.3215673760354045
TFPI (ENSG00000003436),5.030336078370959
NDUFAF7 (ENSG00000003509),4.513490745588118
RBM5 (ENSG00000003756),5.042644337408494
MTMR7 (ENSG00000003987),0.8559896973084807
SLC7A2 (ENSG00000003989),1.3161457422933562
ARF5 (ENSG00000004059),6.357552004618084
SARM1 (ENSG00000004139),1.3045110418099528
POLDIP2 (ENSG00000004142),6.726013748860151
PLXND1 (ENSG00000004399),5.072963271555224
AK2 (ENSG00000004455),7.275007047499869
CD38 (ENSG00000004468),2.500802053057157
FKBP4 (ENSG00000004478),6.972807513686734
KDM1A (ENSG00000004487),5.742814669862893
RBM6 (ENSG00000004534),4.434961760187254
CAMKK1 (ENSG00000004660),2.845991770664573
RECQL (ENSG00000004700),6.264724074238009
VPS50 (ENSG00000004766),3.353323291162897
HSPB6 (ENSG00000004776),0.0426443374084937
ARHGAP33 (ENSG00000004777),1.6780719051126378
NDUFAB1 (ENSG00000004779),6.98299357469431
PDK4 (ENSG00000004799),1.5360529002402097
SLC22A16 (ENSG00000004809),0.0
ZMYND10 (ENSG00000004838),0.4956951626240688
ABCB5 (ENSG00000004846),0.0
ARX (ENSG00000004848),0.1763227726404629
SLC25A13 (ENSG00000004864),5.151371776253954
ST7 (ENSG00000004866),4.195347598322219
CDC27 (ENSG00000004897),6.208478242211705
SLC4A1 (ENSG00000004939),0.0
CALCR (ENSG00000004948),0.0
HCCS (ENSG00000004961),5.86616616903904
DVL2 (ENSG00000004975),4.236492618381302
PRSS22 (ENSG00000005001),0.1634987322828795
UPF1 (ENSG00000005007),3.984589350362457
SKAP2 (ENSG00000005020),4.177917792195843
SLC25A5 (ENSG00000005022),9.29252870335344
MCUB (ENSG00000005059),3.326249700837456
HOXA11 (ENSG00000005073),0.7484612330040357
POLR2J (ENSG00000005075),6.110405006739277
DHX33 (ENSG00000005100),4.3348542693316325
MEOX1 (ENSG00000005102),0.0
THSD7A (ENSG00000005108),2.403267722339301
LIG3 (ENSG00000005156),4.565597175854225
RPAP3 (ENSG00000005175),5.940871478189196
ACSM3 (ENSG00000005187),2.488000770834068
REXO5 (ENSG00000005189),2.049630767724601
CIAPIN1 (ENSG00000005194),6.331275267146615
SPPL2B (ENSG00000005206),3.0426443374084937
FAM214B (ENSG00000005238),2.4905701304462013
COPZ2 (ENSG00000005243),4.000901402741532
PRKAR2B (ENSG00000005249),1.6915341649192002
MSL3 (ENSG00000005302),4.818134760810847
CREBBP (ENSG00000005339),3.0942360698457656
TSPOAP1 (ENSG00000005379),0.01435529297707
MPO (ENSG00000005381),0.0
PON1 (ENSG00000005421),1.0496307677246008
GCFC2 (ENSG00000005436),4.33699741660501
WDR54 (ENSG00000005448),5.395062799517578
CROT (ENSG00000005469),3.4581194811745064
ABCB4 (ENSG00000005471),0.0
KMT2E (ENSG00000005483),3.745237332129749
RHBDD2 (ENSG00000005486),5.518220380599588
SOX8 (ENSG00000005513),0.0840642647884745
IBTK (ENSG00000005700),5.191404728852764
ZNF195 (ENSG00000005801),4.46401472450489
MYCBP2 (ENSG00000005810),4.364572432295856
FBXL3 (ENSG00000005812),3.865918814552213
ITGAL (ENSG00000005844),0.2509615735332188
PDK2 (ENSG00000005882),3.368768349090334
ITGA3 (ENSG00000005884),7.121637118290914
ZFX (ENSG00000005889),3.558267634055736
LAMP2 (ENSG00000005893),6.155425431747197
ITGA2B (ENSG00000005961),1.0772429989324606
ASB4 (ENSG00000005981),0.2630344058337938
GDE1 (ENSG00000006007),5.985728110419125
REX1BD (ENSG00000006015),3.4208865749755315
CRLF1 (ENSG00000006016),1.967168607532628
OSBPL7 (ENSG00000006025),1.9373443921502325
TMEM98 (ENSG00000006042),6.024807233400572
YBX2 (ENSG00000006047),0.6507645591169022
KRT33A (ENSG00000006059),0.0
MAP3K14 (ENSG00000006062),5.520422248526446
ABCC8 (ENSG00000006071),0.6690267655096305
CACNG3 (ENSG00000006116),0.01435529297707
TMEM132A (ENSG00000006118),5.081936081719432
AP2B1 (ENSG00000006125),6.983335675247047
TAC1 (ENSG00000006128),0.0
ZNF263 (ENSG00000006194),4.62993940943954
CX3CL1 (ENSG00000006210),0.0565835283663675
SPATA20 (ENSG00000006282),5.570766496527611
CACNA1G (ENSG00000006283),2.5459683691052923
TNFRSF12A (ENSG00000006327),7.77432585048683
DLX6 (ENSG00000006377),0.0565835283663675
MAP3K9 (ENSG00000006432),1.713695814843359
RALA (ENSG00000006451),4.512226886513957
BAIAP2L1 (ENSG00000006453),5.580447019598664
KDM7A (ENSG00000006459),1.2078928516413328
ETV1 (ENSG00000006468),1.0908534304511135
AGK (ENSG00000006530),5.272396509037485
ALDH3B1 (ENSG00000006534),5.427270935173585
TTC22 (ENSG00000006555),0.0
PHTF2 (ENSG00000006576),4.203201156316611
CCL26 (ENSG00000006606),2.8257856274647914
FARP2 (ENSG00000006607),3.910732661902913
USH1C (ENSG00000006611),1.883620816285672
GGCT (ENSG00000006625),6.382321407114501
DBF4 (ENSG00000006634),4.97223312380739
TBXA2R (ENSG00000006638),0.5459683691052926
IFRD1 (ENSG00000006652),5.777682717073553
LGALS14 (ENSG00000006659),0.0
COX10 (ENSG00000006695),4.124328135002202
GTF2IRD1 (ENSG00000006704),2.8196681834964554
PAF1 (ENSG00000006712),5.9481335778404
VPS41 (ENSG00000006715),4.222650022451478
ARHGAP44 (ENSG00000006740),1.7990873060740036
ELAC2 (ENSG00000006744),6.345005983008724
SCIN (ENSG00000006747),0.070389327891398
ARSD (ENSG00000006756),2.885574364371426
PNPLA4 (ENSG00000006757),3.734438666137167
MYH13 (ENSG00000006788),0.0
ADIPOR2 (ENSG00000006831),5.732811872082943
CDKL3 (ENSG00000006837),1.550900664647523
UPP2 (ENSG00000007001),0.0
PRSS21 (ENSG00000007038),0.2630344058337938
MARK4 (ENSG00000007047),2.1795110502715103
PROM1 (ENSG00000007062),0.070389327891398
CCDC124 (ENSG00000007080),6.17672169288105
CEACAM21 (ENSG00000007129),0.0
PAFAH1B1 (ENSG00000007168),6.459431618637297
NOS2 (ENSG00000007171),0.2141248053528473
DNAH9 (ENSG00000007174),0.0285691521967709
KIAA0100 (ENSG00000007202),5.869377924031328
SLC13A2 (ENSG00000007216),0.0
GAS7 (ENSG00000007237),1.1243281350022014
TRAPPC6A (ENSG00000007255),3.823749360308273
MATK (ENSG00000007264),0.1634987322828795
CEACAM7 (ENSG00000007306),0.0285691521967709
CD79B (ENSG00000007312),0.0840642647884745
SCN4A (ENSG00000007314),0.0976107966264223
ST7L (ENSG00000007341),3.4342946179599254
TKTL1 (ENSG00000007350),0.0
PAX6 (ENSG00000007372),0.8875252707415875
RPUSD1 (ENSG00000007376),3.963474123974886
RHBDF1 (ENSG00000007384),3.4342946179599254
LUC7L (ENSG00000007392),5.5530532527664125
CACNA2D2 (ENSG00000007402),0.2750070474998698
BAIAP3 (ENSG00000007516),0.1634987322828795
TSR3 (ENSG00000007520),5.328046556270742
PIGQ (ENSG00000007541),3.8904466926799057
CRAMP1 (ENSG00000007545),2.475084882948783
TEAD3 (ENSG00000007866),1.6599245584023783
SELE (ENSG00000007908),0.0
DNAJC11 (ENSG00000007923),4.554588851677638
FMO3 (ENSG00000007933),0.0
MYLIP (ENSG00000007944),1.922197848396367
NOX1 (ENSG00000007952),0.4222330006830478
E2F2 (ENSG00000007968),1.480265122054463
PSMB1 (ENSG00000008018),7.758622982440239
SYN1 (ENSG00000008056),0.0
JARID2 (ENSG00000008083),2.3950627995175777
CDKL5 (ENSG00000008086),2.669026765509631
CAMK1G (ENSG00000008118),0.0840642647884745
CDK11A (ENSG00000008128),3.792855352362489
NADK (ENSG00000008130),4.344828496997441
TFAP2B (ENSG00000008196),0.0
TFAP2D (ENSG00000008197),0.0
DLEC1 (ENSG00000008226),0.0285691521967709
CYTH3 (ENSG00000008256),4.138323004056484
ADAM22 (ENSG00000008277),0.1763227726404629
SYPL1 (ENSG00000008282),6.678635347822744
CYB561 (ENSG00000008283),4.098453246309274
SPAG9 (ENSG00000008294),5.824258696603374
CELSR3 (ENSG00000008300),1.7180875839605168
AASS (ENSG00000008311),0.070389327891398
PLEKHG6 (ENSG00000008323),0.9781956296816516
SS18L2 (ENSG00000008324),4.471187460386985
MPND (ENSG00000008382),2.639232163249277
MGST1 (ENSG00000008394),9.969530423894982
CRY1 (ENSG00000008405),4.224194663970433
PGLYRP1 (ENSG00000008438),0.0
NFIX (ENSG00000008441),0.8639384504239714
ST3GAL1 (ENSG00000008513),2.2839217723076177
MMP25 (ENSG00000008516),0.1890338243900171
IL32 (ENSG00000008517),4.627606838129649
PKD1 (ENSG00000008710),3.643856189774725
MAPK8IP2 (ENSG00000008735),0.8639384504239714
MED24 (ENSG00000008838),5.2471680003747725
RHOBTB2 (ENSG00000008853),3.2249663650002742
HEATR5B (ENSG00000008869),3.2047667506546134
SEC62 (ENSG00000008952),6.520422248526446
RPS20 (ENSG00000008988),10.703903573444665
CSDE1 (ENSG00000009307),7.35244074691265
UBE3C (ENSG00000009335),5.474111513942408
REV3L (ENSG00000009413),2.702657543390911
TENM1 (ENSG00000009694),0.0
PAX7 (ENSG00000009709),0.2141248053528473
MASP2 (ENSG00000009724),0.2750070474998698
IYD (ENSG00000009765),0.0
FAM76A (ENSG00000009780),2.18269229751619
TRAF3IP3 (ENSG00000009790),0.137503523749935
POMT2 (ENSG00000009830),4.1034976397033365
VTA1 (ENSG00000009844),5.893119475835918
MLXIPL (ENSG00000009950),0.903038270112912
BAZ1B (ENSG00000009954),5.561020577829269
RANBP9 (ENSG00000010017),3.771885578515366
ETV7 (ENSG00000010030),0.0426443374084937
SPRTN (ENSG00000010072),3.6392321632492775
EEF1AKNMT (ENSG00000010165),5.286511557664227
DYRK4 (ENSG00000010219),4.731726322715782
ZNF207 (ENSG00000010244),7.583082767502933
UQCRC1 (ENSG00000010256),7.5351976012068445
STARD3NL (ENSG00000010270),5.970853654340483
CD9 (ENSG00000010278),7.421307468009088
HHATL (ENSG00000010282),0.0
NCAPD2 (ENSG00000010292),6.196134880765161
IFFO1 (ENSG00000010295),0.8639384504239714
GIPR (ENSG00000010310),0.5459683691052926
PHF7 (ENSG00000010318),1.0908534304511135
SEMA3G (ENSG00000010319),0.6599245584023783
NISCH (ENSG00000010322),3.19377174339668
STAB1 (ENSG00000010327),0.01435529297707
FUZ (ENSG00000010361),2.9049657186840263
SLC6A13 (ENSG00000010379),0.3561438102252753
IDS (ENSG00000010404),5.507794640198696
PRSS3 (ENSG00000010438),2.792855352362489
ZNF200 (ENSG00000010539),3.032100843167024
CD4 (ENSG00000010610),0.2141248053528473
LRRC23 (ENSG00000010626),4.017921907997263
BTK (ENSG00000010671),0.0976107966264223
HFE (ENSG00000010704),3.7311832415722
SCMH1 (ENSG00000010803),3.114367024952
